"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MMP27",-3.13880774913423,-0.414561384164757,-15.9824690300857,2.06687171229119e-45,4.23729369736818e-41,92.3481413711111
"C16orf59",3.81433417439382,0.860204387060866,15.4219929767137,5.6045292457486e-43,5.74492270335461e-39,86.8219553930835
"UBE2C",4.48964822265217,1.97305528177605,15.3132780591864,1.65119291611147e-42,1.12837019910671e-38,85.7561914115898
"TROAP",4.38619117816064,1.6154639696543,15.1680876635046,6.96668411625119e-42,3.57059977668164e-38,84.336194361563
"KIF18B",4.55963481813885,1.46306406894005,15.1270613735251,1.04564228732239e-41,4.28734250647926e-38,83.9356588175687
"CDK1",3.5462917606906,1.25908441872569,14.7484611831659,4.36542997897877e-40,1.49159466665073e-36,80.2549431582619
"GPR112",-3.45638981216856,-0.285944490585807,-14.6261627771168,1.44808427487211e-39,4.24102510273617e-36,79.0722267154967
"UHRF1",3.77661380854101,1.12225948204261,14.5282527429965,3.77309978973616e-39,9.66903984867263e-36,78.1276740299543
"KIF20A",4.01342251214356,1.44617038619553,14.1509486301083,1.48117664606923e-37,3.3739558245628e-34,74.5078916760327
"HJURP",3.6763806816562,1.32578356152617,14.0792209558184,2.96462462566059e-37,6.07777694506677e-34,73.8235186440363
"CDT1",3.68763920338295,1.05403784298377,14.0572274188837,3.66662187701572e-37,6.83358319097267e-34,73.6139221021852
"SKA3",3.60666248733907,1.275028605164,13.9092597701193,1.52707827964858e-36,2.60888598425629e-33,72.2069038063391
"CDC25C",3.96690021949849,1.38619068496729,13.8867920304932,1.89553989185656e-36,2.98926640945779e-33,71.9937377594405
"IQGAP3",4.05500027339822,1.21396605107878,13.8042825960175,4.18775377216173e-36,6.13236714879198e-33,71.2120198538111
"GTSE1",3.67841928411294,1.11567198350075,13.7513631161339,6.95617647105541e-36,8.28456964408763e-33,70.7115683180346
"TK1",3.46422181558354,1.23710261679755,13.7513396207791,6.9577427862686e-36,8.28456964408763e-33,70.7113462876963
"AURKB",4.05437311623661,1.83036811366461,13.7496592390945,7.07068206892484e-36,8.28456964408763e-33,70.6954671090373
"TTK",3.98688363165,1.3198626920409,13.7467019332633,7.27390144839653e-36,8.28456964408763e-33,70.6675231127789
"NEK2",4.09250142221774,1.30425515686345,13.7121405875451,1.01277257339678e-35,1.09278160669513e-32,70.3411178415001
"PKMYT1",3.87308233032424,1.24443022070982,13.6818441632981,1.35333538703585e-35,1.3872364384811e-32,70.0552498709826
"ASF1B",3.29881058084437,1.1078216960838,13.6240668193764,2.35070726110223e-35,2.2948499790408e-32,69.5107551244719
"NCAPG",3.61261544634199,1.16158706134232,13.5102151557675,6.95938315215855e-35,6.48519609101829e-32,68.4404432019107
"CDCA8",3.46403910694221,1.20606853223615,13.465216760998,1.06769977955145e-34,9.51691877416705e-32,68.0183921193124
"KIF2C",3.51774920304404,1.57086889404959,13.4598131777738,1.12396755319336e-34,9.60102450334047e-32,67.9677481738455
"CDC45",3.89274730260107,1.51126195493523,13.3778630494517,2.44674470753348e-34,2.00642852996575e-31,67.2006850363036
"CDC20",4.04983348739705,1.7575661431552,13.3685251949628,2.67319956556852e-34,2.10781785745078e-31,67.1134011038371
"BIRC5",4.027900191957,1.56877035704117,13.2754446277524,6.45123002930408e-34,4.89839506780604e-31,66.244700316927
"RAD51",3.0101061767429,1.30116883575876,13.2115774954319,1.17908281885789e-33,8.63299173907345e-31,65.6500809282452
"CCNB2",3.59889511463316,1.43199687320522,13.0693263981987,4.49789476101932e-33,3.17970139640197e-30,64.3299790469315
"TPX2",3.85754610625239,1.30797852763381,13.0127828940325,7.64553635775721e-33,5.22470469567935e-30,63.8069246569623
"CDCA3",3.31507105520378,1.25732476876487,12.9610299868421,1.24141606759081e-32,8.20976477473525e-30,63.3290338476989
"EME1",3.28216237862449,0.758183940422186,12.914079891452,1.92567446415233e-32,1.23369538092459e-29,62.8962010104014
"ORC6L",3.23614173107512,1.17194292135252,12.8745867467721,2.78443200690934e-32,1.72980729011056e-29,62.5326402710391
"CENPA",3.96770805904349,1.39415549626603,12.8435615365421,3.71880307923376e-32,2.2423288802168e-29,62.2473724425741
"FANCA",3.11689984213893,1.10032986400283,12.806558459078,5.24942511009347e-32,3.0748132623436e-29,61.9075336260259
"MYBL2",4.54158803090254,1.76232597032233,12.8031379774532,5.41927295786694e-32,3.08612541414528e-29,61.8761414133228
"SKA1",3.4470254386517,1.54184145588339,12.770327214683,7.35387128757295e-32,3.99927776791881e-29,61.5752011716594
"RAD54L",3.3751890409015,1.37734441833017,12.76680845449,7.59845188309145e-32,3.99927776791881e-29,61.5429473411397
"RECQL4",3.10063827655046,1.11019074152736,12.7654906463906,7.69212113183315e-32,3.99927776791881e-29,61.5308689955739
"ZWINT",3.07813055463894,0.918583480649493,12.7639500152824,7.80308817700367e-32,3.99927776791881e-29,61.5167490687021
"CLEC3B",-4.80674985177275,-1.17555803072036,-12.7570276458612,8.32169887580738e-32,4.16105240616895e-29,61.4533146630106
"MELK",4.04782589436898,1.49582570162883,12.7294482449375,1.07518637254411e-31,5.23940529780042e-29,61.2007371783006
"KIAA0101",3.45520005934386,1.23779661283586,12.7270944689637,1.09894360180195e-31,5.23940529780042e-29,61.1791920812237
"NUF2",3.89407308789,1.5656515512604,12.689949329065,1.55117895787818e-31,7.22743632169558e-29,60.8394220692021
"DLGAP5",3.91094766076994,1.50314281383374,12.6776728124034,1.73816553049673e-31,7.91869589793634e-29,60.7272251367821
"CENPM",3.22930811693667,1.02324840773234,12.6571201002749,2.10278902668463e-31,9.37158213827426e-29,60.5394997023534
"NCAPH",3.67202889084725,1.24217372149741,12.6447641948738,2.35769463897386e-31,1.02840633603411e-28,60.4267084952874
"PI16",-8.76906584867193,-0.742614481484594,-12.6045911071456,3.41903086526963e-31,1.4602823285186e-28,60.0603304725955
"BUB1B",3.54758975847147,1.04024986920818,12.5736147625696,4.55207675026584e-31,1.90453317259592e-28,59.7781867651427
"KIF4A",3.61138510085721,1.28295063562071,12.5440207723149,5.98192325852255e-31,2.45270817445942e-28,59.5089287621603
"AURKA",3.01902181809595,1.0475898964455,12.5324547717725,6.65534360685856e-31,2.65887822745946e-28,59.4037752644413
"MKI67",3.46047809393767,1.12869937583025,12.5310174095008,6.74414261879381e-31,2.65887822745946e-28,59.3907104304066
"POLQ",3.4677664365298,1.53961171246154,12.5189539993624,7.53747442087232e-31,2.91558043589252e-28,59.2810876616126
"TOP2A",3.66079212999365,1.37168075498802,12.442030406466,1.53008189097845e-30,5.80892756424984e-28,58.5832080110443
"MEN1",1.46511056350809,0.322633416758824,12.4103396665818,2.04711398442655e-30,7.63052432631432e-28,58.2962758829912
"BLM",2.68364425456312,0.868302043877231,12.4002433127279,2.24589550454621e-30,8.22198281048248e-28,58.2049335377728
"CMTM5",-4.75965723462167,-1.16999837718505,-12.328410013628,4.33817132995335e-30,1.56029562167322e-27,57.55605558416
"EXO1",3.53701918481703,1.06773469921504,12.3001726107293,5.61680675354474e-30,1.98534750438656e-27,57.3014685380671
"CDC6",3.01063477523444,1.40183208208513,12.18969117808,1.53907885359536e-29,5.34790772500991e-27,56.3080339762206
"SPC25",3.32931288020047,1.0475332454471,12.170999923211,1.82448202949458e-29,6.23395101444472e-27,56.1403877223819
"MYOC",-6.49700184839643,-0.528602618422369,-12.127835030052,2.7011422821072e-29,9.0780521189311e-27,55.7537042583818
"FAM54A",3.03357734423264,1.43872662049588,12.1154571462645,3.0224582828316e-29,9.9940995574727e-27,55.6429418513002
"GPR172A",1.75832534259344,0.818209421380077,12.1082081529411,3.22801918833514e-29,1.05043843460411e-26,55.5781002554783
"SPAG5",2.93154835324664,1.03568215462273,12.0662708760725,4.72165499017968e-29,1.48200982206551e-26,55.2033444264695
