"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NEK2",4.7413676932413,1.24952066248322,36.296369565606,1.50430854040304e-195,3.08398293868028e-191,436.674486152187
"MMP11",5.86291017524054,2.56423881201798,34.6062109034371,8.44001033680048e-183,8.65143259573733e-179,407.408846389772
"GPAM",-3.63172247431539,0.549093529797344,-34.1596496167309,1.97613675570232e-179,1.35042598762178e-175,399.673794200659
"COL10A1",6.89625721601976,4.14033030259687,34.0059432677385,2.85410655705951e-178,1.27074911176504e-174,397.011634718395
"PKMYT1",4.78363280627264,0.309939640368421,34.0012000012141,3.09923689518813e-178,1.27074911176504e-174,396.929485542217
"KIF4A",4.41592724551786,0.712686810400756,32.7871423234091,4.41856301416152e-169,1.50974933922209e-165,375.914560241119
"LYVE1",-5.05257816957491,-0.271664902146124,-32.0741635817807,1.03090835089406e-163,3.01923601452558e-160,363.591040479023
"KIAA0101",3.65770422690964,0.243031411305807,31.7757534563128,1.80860765810405e-161,4.63478319984888e-158,358.439004629164
"CAV1",-3.36944755732785,0.046817645354641,-31.327047710129,4.24851293442192e-158,9.67764040762041e-155,350.700095310807
"UHRF1",3.81037100120849,0.449027526535998,30.9551415324161,2.62138879139371e-155,5.37410916123625e-152,344.294087232951
"CDC25C",4.14805418904393,0.647437095663941,30.8846683885629,8.84827577521443e-155,1.64907728788792e-151,343.081140946784
"IQGAP3",4.07161006374196,0.691025403205845,30.5419813841769,3.26522547762228e-152,5.57836562639453e-149,337.187623893961
"MYOC",-7.11938694657702,-0.629920193852475,-30.5366278033715,3.58087293309093e-152,5.6470366154844e-149,337.095616746935
"SPC25",3.35873653697168,0.547877051718161,30.4189639194424,2.72000581435309e-151,3.94286334717748e-148,335.073950146556
"TNS1",-2.84093122496571,0.0439322121891115,-30.4155479561777,2.88488123543545e-151,3.94286334717748e-148,335.015272983321
"HSD17B13",-5.39595023292344,-1.0596720543152,-29.717403523125,4.73491318688961e-146,6.0669034527765e-143,323.042061145055
"MYOM1",-3.94835676399207,-0.396945242410039,-29.7004537032835,6.33445969883698e-146,7.638985781521e-143,322.75187281718
"PAFAH1B3",2.55736575042394,0.635533189017521,29.6662197751251,1.1401550318068e-145,1.29857323928173e-142,322.165850210562
"FIGF",-6.51874642370862,0.529532656392764,-29.5991746756216,3.60356767936379e-145,3.88824952603353e-142,321.018462117576
"CA4",-7.79673708709051,-1.92591827505137,-29.5045844545339,1.82611408439991e-144,1.87185824221413e-141,319.400366800508
"ASF1B",3.06050346068677,0.391479144714815,29.4883368900943,2.41297690550128e-144,2.35563997808008e-141,319.122512510204
"FHL1",-4.32872478223089,-0.508728888739067,-29.4545175282945,4.30956547260823e-144,4.01592735245188e-141,318.544236356254
"NUF2",4.00169575363036,0.809715040402068,29.4343584420673,6.08909181328186e-144,5.42749875061267e-141,318.199587541994
"CPA1",-5.26041275718494,0.161852536973445,-29.3962715692781,1.16984787857619e-143,9.992938066121e-141,317.54854140177
"PPAPDC1A",5.6755882859435,1.51685239866372,29.32952223274,3.67256080618196e-143,3.01164676350146e-140,316.407879130435
"UBE2C",4.29962643955643,0.327700643518029,29.1491616333078,8.06340358406569e-142,6.3579937260358e-139,313.327903607938
"FAM13A",-2.57853813526877,-0.51705063441284,-29.0231743897588,6.96294976662069e-141,5.28694196909225e-138,311.178373515977
"PAMR1",-4.11481975872699,-0.0789339626576167,-28.758199956295,6.45072694036302e-139,4.72308403587079e-136,306.662902691896
"GPR146",-2.74071061870536,-0.0241582186600704,-28.6585972571126,3.53244158620122e-138,2.49719258478314e-135,304.967513843665
"HSD17B6",3.07733292383285,0.242394475653494,28.5939464678951,1.06450406694477e-137,7.27446595881154e-135,303.867649074044
"PYCR1",2.54151895923196,1.19152822207138,28.580214831589,1.34547170183172e-137,8.89790818040393e-135,303.634101555121
"CAV2",-2.97857993905626,-0.49777723606349,-28.5758015955884,1.45066424450399e-137,9.29377114893008e-135,303.55904581304
"PPP1R12B",-2.24350926795129,0.123136705518212,-28.4417208413867,1.42675115971421e-136,8.86358349251548e-134,301.27980020406
"KIF20A",3.84874204926111,0.698580368742687,28.3991313938176,2.94785697676218e-136,1.77747105531181e-133,300.556255184609
"HJURP",3.66536883963305,0.319476795029727,28.3804163938276,4.05477297123254e-136,2.37505430523538e-133,300.238376409249
"UBE2T",3.16374038657194,0.582173704284504,28.2704307626684,2.63823898830556e-135,1.47905173277327e-132,298.371083139686
"NAALAD2",-3.24837996566923,-0.102056347528106,-28.2697413958973,2.66937779194238e-135,1.47905173277327e-132,298.359383900668
"TROAP",3.93969206484136,0.135739542218056,28.2426420080742,4.2336337511518e-135,2.28404540874639e-132,297.899525804192
"HMMR",3.46091564158369,0.516265570349476,28.2370516147083,4.65617705656237e-135,2.44759707273295e-132,297.804671699491
"NPR1",-3.50247894584912,0.139289190871584,-28.2180243359588,6.43634921449483e-135,3.29878988115896e-132,297.481857814773
"GABRD",3.53496250055875,0.533595139479553,28.1684183046924,1.49669777602746e-134,7.48385392837535e-132,296.640457113581
"DLGAP5",3.8340267022354,0.665494834710834,28.1479263831228,2.12076369154366e-134,1.03518515334135e-131,296.292968178429
"GSN",-2.37296065909097,0.0752776496596146,-28.1152532489792,3.69638462057357e-134,1.76231583968323e-131,295.739025261082
"SDPR",-4.71471524460196,-0.948234566109391,-28.1109178894744,3.97913468150938e-134,1.85400545694599e-131,295.665533174192
"WDR62",3.22839693979611,0.220827663218433,28.1095535386852,4.07251357150553e-134,1.85534668287633e-131,295.642405474607
"ADAMTS5",-3.53985912662011,1.10376113047658,-28.0922498535868,5.46535431691266e-134,2.43576584458753e-131,295.349103332445
"NUSAP1",3.1525411074716,0.375321472391028,28.0656921483217,8.58353899700356e-134,3.74406665909723e-131,294.899015734925
"SIK2",-2.22839354581069,-0.158645946775757,-28.0267266542219,1.66432726063792e-133,7.10841107715374e-131,294.238806894382
"ITIH5",-4.23903931183932,0.0989541467585933,-27.9325801219398,8.23591718269001e-133,3.445806901272e-130,292.644436687078
"PBK",3.75289928531973,0.562690109226511,27.8863286127408,1.80595136230683e-132,7.40476177573046e-130,291.861584322643
"PDE2A",-3.40945133399507,0.0766983195672436,-27.768334126312,1.33685461026017e-131,5.37389340489094e-129,289.865674230415
"TPX2",3.45559689583796,0.502275128571483,27.7177131416151,3.1536428309036e-131,1.24332368608375e-128,289.009969671856
"LOC572558",-4.57164849006806,-0.577492138094655,-27.6400342015762,1.17620096125515e-130,4.54967847296071e-128,287.697541769571
"TK1",3.05987718064356,0.360876115720719,27.4960510818945,1.34636660703923e-129,5.1114558909095e-127,285.267044928686
"C16orf59",2.98841760716278,0.180174945862109,27.4089189778054,5.87790313118849e-129,2.190961674409e-126,283.79761666991
"MELK",3.93657463020969,0.581842317344224,27.3831902656715,9.08097865305993e-129,3.32444898868539e-126,283.36392295089
"KIF18B",3.90480692329717,-0.0939008161018749,27.2871691494076,4.60038890772385e-128,1.65460654381134e-125,281.746186747047
"KCNIP2",-5.09226564896822,0.820948323195106,-27.2853900883106,4.74072708688272e-128,1.67568355186522e-125,281.71622615624
"PLK1",3.53929428732942,0.261126831549022,27.2013967442036,1.95774263538373e-127,6.80265792677997e-125,280.302245457086
"BUB1",3.5810255617542,0.490502034674755,27.1697341580761,3.34053635770853e-127,1.14140559782304e-124,279.769491795308
"SLC2A4",-4.46146171145658,-0.569453238705075,-27.0789393889058,1.54493132931522e-126,5.19223560365431e-124,278.24260593728
"CENPM",3.19161978971694,-0.123454067959163,27.057560726042,2.21531307602193e-126,7.32518280185896e-124,277.883262478879
"CDK1",3.06495276599094,0.642321268252614,27.0151407902467,4.52822684507593e-126,1.47354251668098e-123,277.170450632874
"DTL",3.11664348070506,0.889467556479351,26.9888191727518,7.05553501131296e-126,2.26008630104573e-123,276.728287213828
"RRM2",3.58163029304463,0.390568446086674,26.9731338382016,9.18928330801092e-126,2.89829995534665e-123,276.464847459556
"EBF1",-3.0360798752365,0.829928966840909,-26.9464323903613,1.44074826724371e-125,4.47526973132777e-123,276.016475404454
"CEP55",3.45592626224357,0.576369468364849,26.9130211969054,2.52874920779092e-125,7.73759515058532e-123,275.455587168864
"CDKN3",3.02158385506185,0.312336086189226,26.8422280279923,8.32395222391116e-125,2.5095491844471e-122,274.267722052212
"LPL",-4.70069952969573,1.39212110039523,-26.8299013197615,1.02421296609104e-124,3.04310000258441e-122,274.060967366618
"SORBS1",-3.37972662536556,0.699345702437235,-26.8144415340105,1.32839452707322e-124,3.89048802850401e-122,273.80169550529
"GLYAT",-6.96503402793906,0.822174590534267,-26.7869456888372,2.10935386144143e-124,6.09068500188883e-122,273.340662918366
"SPRY2",-2.8930907496207,-0.967185305084451,-26.7860235237993,2.14231730578149e-124,6.09995098414255e-122,273.325202713177
"BTNL9",-4.37581310480592,0.108884685846385,-26.7101164692458,7.67387514463213e-124,2.15509745671374e-121,272.053073805039
"SPTBN1",-1.88829485530816,-0.294702981781358,-26.7015365954268,8.86387962487178e-124,2.45565400256076e-121,271.909341078429
"CCNB2",3.36734820088824,0.323288041673908,26.6899025170973,1.07773496518091e-123,2.94595260282317e-121,271.714462173064
"HSPB6",-4.69923207330325,-0.125563293469838,-26.6775599186935,1.32604886657797e-123,3.57701681759408e-121,271.507738775471
"AOC3",-3.6341860459561,1.06385768040254,-26.6621523118039,1.71772440103702e-123,4.5733854474883e-121,271.249714575121
"LHCGR",-4.37565698646696,-0.0811901019610661,-26.6465411697025,2.23262230216079e-123,5.8680756175126e-121,270.988320840003
"ACVR1C",-5.00881772440625,0.17969260813291,-26.6018974359657,4.72427805073382e-123,1.22598005465942e-120,270.241021379519
"BUB1B",3.27231956220164,0.523152279889673,26.5685766789001,8.26423164626736e-123,2.11781266225159e-120,269.683470308754
"CKS2",2.49037327194672,0.177061046195216,26.5371825810177,1.39944074180932e-122,3.5419672404732e-120,269.15832377295
"CCDC64",3.07142972665711,0.147657626737019,26.5348831500906,1.45447573960376e-122,3.63636672409959e-120,269.119866268086
"TNXB",-4.46981234688707,0.229322764512504,-26.5254507684706,1.70380525440087e-122,4.20839897837015e-120,268.962120742107
"AQP7P3",-4.63358820389285,-0.221992608755043,-26.4955998517633,2.81084848595963e-122,6.86014342984028e-120,268.462995783312
"ZWINT",2.55196970237083,0.514334588424759,26.4668157347016,4.55432880190431e-122,1.09845052668047e-119,267.981847938575
"POC1A",2.07943484925505,0.350264749087132,26.4147928777608,1.08910248281439e-121,2.59624302327649e-119,267.112597117397
"PALMD",-2.94685179450612,0.923359580782996,-26.409584784154,1.18840548657457e-121,2.80040240003049e-119,267.025599906391
"LRRC3B",-4.90133076199852,-0.328674628467204,-26.4022058510541,1.34478529469374e-121,3.13289128710413e-119,266.90234827674
"RDH5",-4.19912013131183,-0.807743538638094,-26.4010518415502,1.37103656901638e-121,3.15815962937132e-119,266.883073477711
"NDC80",3.41574660818164,0.394302396189082,26.3088847102449,6.41657643205037e-121,1.46162481592738e-118,265.344381453859
"ASPM",3.82012925074589,0.777743799843143,26.3004306083423,7.39182470286728e-121,1.66527250806024e-118,265.203315914332
"CAT",-1.82204393849159,0.0121113427766663,-26.2706909699632,1.21582446859055e-120,2.70930624245379e-118,264.707175974647
"NEIL3",3.81596472119223,0.441429292336643,26.2481601735232,1.77239022456395e-120,3.90707225739629e-118,264.331400536951
"PYGM",-3.681714896004,-1.07423946549058,-26.2383493918186,2.08844868787473e-120,4.55481771809786e-118,264.167800641125
"KIF2C",3.50867847696505,0.38060697720806,26.2029862295824,3.77257783068977e-120,8.14122295862852e-118,263.578239371543
"NKAPL",-2.92603983007257,0.211322872162521,-26.1912583218346,4.58973800308078e-120,9.80148112512075e-118,263.382763939546
