"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DLGAP5",8.43278383686485,2.4748383698219,20.4235576149106,3.56481345833806e-59,7.30822407093885e-55,122.686800859609
"CDC45",7.6989598919707,2.51488095161976,20.1660577323287,3.34320586154927e-58,3.42695316838107e-54,120.514799496392
"NCAPG",6.67917587835408,1.92064124333475,18.8950555806452,2.21867156327484e-53,1.51616619062325e-49,109.72946715971
"NEK2",7.42141203392972,2.4597687411935,18.6687421672391,1.61418517490193e-52,6.89911936164082e-49,107.799762628587
"CDC20",6.89022244409791,2.52763408863359,18.6640084503578,1.68262995991435e-52,6.89911936164082e-49,107.759375647143
"TROAP",6.68971037522376,2.41199877195044,18.5592344678068,4.21940350366016e-52,1.44169985380895e-48,106.865230889831
"MELK",7.21486150410718,2.50639339054153,17.9809807020382,6.77671690317595e-50,1.85689135277267e-46,101.923321279128
"KIF18B",7.31760254298827,2.34049113291214,17.9733618054083,7.24605181317077e-50,1.85689135277267e-46,101.858141082926
"EXO1",6.53552830849749,2.22700404633587,17.7333331448507,5.97701491512528e-49,1.3614975863887e-45,99.8039986280145
"CDC6",6.01715307671026,2.12318146227974,17.6634693928301,1.10473745572488e-48,2.26482225798157e-45,99.2058944909347
"ESRP1",7.03503674250826,2.8954917205292,17.5771347692725,2.36019321220553e-48,4.39875645849323e-45,98.4666726012064
"TPX2",6.4595232095342,2.02027571638974,17.4790604926796,5.59092685338955e-48,9.55163261844493e-45,97.6268058188556
"RRM2",7.08404873321853,2.54152388135045,17.3497654168591,1.74284403644871e-47,2.74846504547961e-44,96.5194154666623
"C1orf172",6.35476572945148,2.45718290841003,17.1750032045584,8.10295366123761e-47,1.18656180720737e-43,95.022418440404
"CENPA",6.76622659018768,2.47345786184551,16.968130789118,4.99486611492309e-46,6.82665001480255e-43,93.2502901109001
"FOXM1",6.62023436438645,1.82697087692223,16.8864540517761,1.02404767978052e-45,1.31212509269878e-42,92.5506563902398
"KIF4A",6.35790585658308,2.1947665115644,16.8564571754989,1.33297000912323e-45,1.60748342100207e-42,92.2937167450603
"UHRF1",6.93532563284305,2.39191926151494,16.8091521077464,2.02010363549998e-45,2.30078581285473e-42,91.8885372141034
"SKA3",5.99689261001934,1.85724081571333,16.7805840839284,2.59658842093284e-45,2.80171890618654e-42,91.6438547362011
"PKMYT1",7.02230403450298,2.41068326842166,16.5324437468042,2.29670511095229e-44,2.35423757398164e-41,89.5189827616423
"KIF2C",5.4239584689926,2.46000735589374,16.4633467406257,4.21310880054989e-44,4.11299731047968e-41,88.927470366984
"MCM10",7.14001056331485,2.1896642373391,16.4358507122886,5.36340238957444e-44,4.99795965403025e-41,88.6921143573816
"CCNB2",6.69715136888569,2.21563686257145,16.4021359810974,7.21066364475984e-44,6.42720936440094e-41,88.4035507990073
"OIP5",6.58558028872073,2.31518330652169,16.3698107162065,9.57630978095835e-44,8.18016361747613e-41,88.1269038468649
"NUF2",6.84583311858237,2.36104198772375,16.3229400279157,1.4449117225809e-43,1.18488540898525e-40,87.7258183502068
"MYBL2",7.34936228733621,2.71059055970725,16.1709137242503,5.48329233469763e-43,4.30004243891199e-40,86.4252901441425
"AURKB",6.66690429107816,2.68628455894215,16.1672325520493,5.66319427591941e-43,4.30004243891199e-40,86.3938074149858
"RAD54L",5.89655897448694,2.3981397896695,16.1460051532982,6.82186686570682e-43,4.99482473620912e-40,86.2122711800794
"HJURP",6.61054526060691,1.85389734726508,16.0972803962695,1.04576691305769e-42,7.39285085675717e-40,85.7956327251682
"TTK",6.31424876625547,2.18269582696251,15.7017259476688,3.34068995988625e-41,2.28291616225427e-38,82.416614728858
"CDCA8",5.53033818832519,2.00145520698453,15.6086858731646,7.53650459381071e-41,4.98406066702302e-38,81.6228299895745
"ASPM",7.35325714050199,2.31440569813827,15.5169358595081,1.68028426581386e-40,1.07648461667031e-37,80.8404905555672
"NCAPH",5.94503898524388,1.95139351365796,15.4062891195306,4.41572085986139e-40,2.74323313175813e-37,79.8976445341161
"CEP55",6.6821070709779,2.45564331521763,15.4008349178258,4.63102423919223e-40,2.79237140963764e-37,79.8511865333306
"SPC25",5.05610544360333,1.89806242650117,15.1392121459526,4.53243395653263e-39,2.65484081551073e-36,77.6249447530043
"UBE2C",6.07043472374346,2.3810605738541,15.1097308349839,5.8590009289891e-39,3.33653827903348e-36,77.3743676109426
"CDCA2",6.2362355016288,2.07473690660167,14.9581618481255,2.19047400600136e-38,1.21370020532524e-35,76.0871146358173
"SGOL1",6.57104662691405,1.94183198298479,14.9213868308777,3.01555775887889e-38,1.62689341091516e-35,75.7750558289053
