"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C20orf117",3.93427412117266,-1.47405910880053,19.5749044871653,1.08898725883512e-23,1.70571954144905e-19,43.6630325014785
"IQCE",4.181978487147,0.109983576892629,19.2021570467044,2.36826648206024e-23,1.70571954144905e-19,42.9100324862629
"KLC2",3.47568039909786,-0.534659075661054,19.1771470915102,2.49605318001422e-23,1.70571954144905e-19,42.8590541653453
"KIAA0556",2.88177904723295,-0.370062146602119,18.925404532373,4.24909980034796e-23,2.17776987517334e-19,42.3426920099086
"VPS24",2.8027071509504,-0.384225576888568,18.7735144108547,5.87303939682586e-23,2.26755988707536e-19,42.0282739398724
"ZDHHC13",4.14404055303345,-0.552416452296687,18.6752907517357,7.24829209302644e-23,2.26755988707536e-19,41.8237856268209
"SRCAP",2.56691038144026,-0.324445322509509,18.6445792029181,7.74250973587995e-23,2.26755988707536e-19,41.759659974638
"PRSS16",7.03902029371631,1.23951380812155,18.4319911076,1.22512558389766e-22,2.91617265722014e-19,41.3132978988581
"CCDC112",4.07808654099341,-0.392555948716383,18.4117161734494,1.28020847348818e-22,2.91617265722014e-19,41.27049997621
"PDCL3",2.27858094255543,-0.36390709808671,18.0534281216427,2.8022232999871e-22,5.23286327845246e-19,40.507578731644
"LCMT1",2.83172962577502,-0.4789368271339,18.0525352397552,2.80774089376016e-22,5.23286327845246e-19,40.5056616961122
"PKM2",5.42578961310161,-1.09480644340471,17.8312534147463,4.58218187518008e-22,7.41376045031506e-19,40.0281169017797
"PIP5K1C",2.67078100750855,-0.655423561761912,17.8197274460873,4.70117974021247e-22,7.41376045031506e-19,40.0031086077835
"H2AFY",2.43611346471896,-0.317366716789691,17.7826640008878,5.1056208837421e-22,7.47645240982834e-19,39.9226001292805
"SMARCA4",2.86382994578434,-0.380158396428729,17.6955328861779,6.20198099945066e-22,8.38974204718428e-19,39.7327894863959
"ZNF213",3.17875948880801,-0.656193735783167,17.6712884161094,6.54777195039015e-22,8.38974204718428e-19,39.6798374460733
"ILF3",2.4853750578933,-0.316580257387723,17.5821286564837,7.99755972917531e-22,9.41819253567192e-19,39.4845906685806
"TMED3",3.98983292385297,-0.433514424977433,17.5672707160099,8.26922909331714e-22,9.41819253567192e-19,39.4519751734467
"SPINT1",6.06237562151829,1.03275607162457,17.5211649202063,9.17365018395358e-22,9.89836854848592e-19,39.3506220236682
"LRRC1",5.3122396998088,-0.89094921468014,17.4605806677043,1.05174424098503e-21,1.0780904342217e-18,39.2171098740616
"RAB3D",4.13765832451548,-1.220640188183,17.3705505046342,1.28949041617959e-21,1.25884966771894e-18,39.0180084296254
"YEATS2",3.17922941102628,-0.821582148636116,17.3420229043154,1.37573510859703e-21,1.28199752097035e-18,38.9547449595328
"RBM3",2.95362445189528,-0.049287256728634,17.2679568901894,1.62815293208477e-21,1.45125057655086e-18,38.7901002262885
"FUS",2.24293747359911,-0.295616652971477,17.2406457206029,1.73273167647163e-21,1.4801138374727e-18,38.7292449491613
"FBXL19",3.27580347312823,-0.459710648565579,17.2073182254176,1.86967571260596e-21,1.53320887136539e-18,38.6548785569728
"HCFC1",2.34734496346471,-0.431339925281383,17.1329928650918,2.21620788047413e-21,1.74747991375385e-18,38.4886116870093
"FANCI",4.40765576799147,-0.798539484740411,17.1073338631065,2.35049023574482e-21,1.7498416834322e-18,38.4310775678195
"CNOT6",2.51599447058037,-0.638799130999816,17.091014793229,2.4401787268766e-21,1.7498416834322e-18,38.3944499720256
"HMGN4",2.81914434828823,-0.285354168972278,17.0847964438833,2.47526505143817e-21,1.7498416834322e-18,38.3804857226909
"MGC57346",3.68842966295249,-0.433003744574377,17.0288950248467,2.81471067424052e-21,1.8732148945375e-18,38.254767514655
"LOC541471",3.75283444469203,-0.00533759487936596,17.0171759080693,2.89168690415707e-21,1.8732148945375e-18,38.2283702368523
"RUNDC1",2.4961477708809,-0.53813561006943,17.0123657020001,2.92390013293009e-21,1.8732148945375e-18,38.2175310568986
"CD2BP2",2.46156488028973,-0.129965586006842,16.9354322870325,3.49179972040309e-21,2.16925412327223e-18,38.0438383407112
"TAOK2",1.97479337667559,-0.238003395856158,16.7963026253942,4.82071621969493e-21,2.90675009470488e-18,37.7281252378325
"UBE2A",2.09819230131515,-0.285430025217766,16.7307287652129,5.61589971390658e-21,3.2894731438514e-18,37.5786065099063
"SPATS2",3.60192965846768,-0.244019166919772,16.6760485873026,6.38052677353753e-21,3.6335327606748e-18,37.4535732706198
"C2orf29",1.78380711031537,-0.036576206432365,16.6268440192505,7.1590510829586e-21,3.96669476356038e-18,37.3407847176167
"RNASEN",2.33853476134652,-0.32608220864165,16.5563685845979,8.44609697397038e-21,4.55666931745702e-18,37.1787812630113
"MCM3",3.25049744162144,-0.274347542067826,16.4397925415529,1.11150421537486e-20,5.76314266813858e-18,36.909618121582
"ANKRD52",3.17333666596855,-0.564042285679946,16.4348854760602,1.12446079081773e-20,5.76314266813858e-18,36.8982555870987
"SIPA1L3",3.50160881486342,-0.0390602161309837,16.4162166310478,1.17517609156668e-20,5.87616708614844e-18,36.8550029000667
"DNAJC9",2.43140029546815,-0.239360943073109,16.3758333076007,1.29300278672118e-20,6.31139288823115e-18,36.7613104179313
"STK39",5.02170170928809,-0.824072403217032,16.3497494810915,1.37543928981904e-20,6.55764671641396e-18,36.7006985865968
"SPINT2",5.08214398662395,-0.0208199117276649,16.3144907737208,1.49545674774e-20,6.96780881486767e-18,36.618647650688
"KIAA1609",3.06388315567126,-0.49268194440697,16.2591859087663,1.70559712906476e-20,7.7703214984348e-18,36.4896705439872
"CLIP2",4.38190100956465,0.575696055908704,16.2160774397161,1.89009076949947e-20,8.42364149250187e-18,36.3889019382426
"ERCC3",2.06521394257879,-0.124411049343711,16.1469241413365,2.22954230327311e-20,9.72507377859617e-18,36.2268208112427
"ITPR3",5.37708284966603,-0.501665604436569,16.1199429182637,2.37827916224341e-20,1.01577293969067e-17,36.1634379040822
