"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TPX2",4.51134546627811,1.65847996027182,15.8923415424013,4.8484064449665e-37,9.93971805282583e-33,73.485975620284
"NEK2",4.85313658691832,1.51962307299264,15.4529808958417,1.03550168173039e-35,1.06144099885774e-31,70.4696498623655
"UBE2C",4.7033957008105,1.55280854874614,15.1298785800053,9.89833336186508e-35,5.96050172364833e-31,68.2449113320289
"BUB1",4.58839048488811,1.65483640175608,15.1068323553028,1.16296799641936e-34,5.96050172364833e-31,68.0860402133114
"CDC20",4.51406013302609,1.27906814475976,14.8320551416589,7.95988241441407e-34,3.26371098755806e-30,66.190176269676
"CDC45",4.94159222493453,1.18073183206351,14.7948286375465,1.03315294871148e-33,3.530111433589e-30,65.9331093365332
"BUB1B",4.50177688212126,1.67741370427651,14.7115735096192,1.85151494683417e-33,5.42255827500677e-30,65.3580243127482
"NCAPH",4.41505828642152,1.49000923479161,14.6628880693691,2.60452034128793e-33,6.32242638375979e-30,65.0216272163258
"CEP55",4.34015861890287,2.12753771456253,14.6462847114937,2.92600853224809e-33,6.32242638375979e-30,64.9068881537841
"KIF2C",4.21040058464025,1.37381775201198,14.6387850953171,3.08395999402945e-33,6.32242638375979e-30,64.8550586787156
"KIF18B",4.4574185368469,2.19617795588525,14.6225901677525,3.45475796119383e-33,6.43872663294862e-30,64.7431307422874
"KIFC1",4.11606224576272,0.575340849451501,14.5488097292735,5.7955499426848e-33,9.90121411458175e-30,64.2331188574646
"RAD54L",4.16067250723481,1.09264986058281,14.5223496666677,6.97726424693194e-33,1.10031457174117e-29,64.0501763065978
"DLGAP5",4.57362623430413,1.98593137959957,14.4498241879053,1.16041751186868e-32,1.59103389026189e-29,63.5486514054249
"CENPA",4.78002327721035,1.51263167269897,14.4493707697155,1.16411435315001e-32,1.59103389026189e-29,63.5455155507944
"EXO1",4.45239944532873,1.61876460307908,14.3774850232768,1.92762775712864e-32,2.46989354055589e-29,63.0482930026001
"CDCA5",4.10219750433054,0.68887801237514,14.2905293199067,3.54831485037348e-32,4.27905898514746e-29,62.4466907134431
"CLSPN",3.91915982940929,2.76394723228584,14.266177918918,4.20962199391412e-32,4.79452558317963e-29,62.278190397583
"MELK",4.34607362402135,1.78342857751406,14.2464482696152,4.83481855236031e-32,5.21676921799678e-29,62.1416629441325
"HOXC9",6.20954697591814,1.39793870054716,14.1098239573475,1.2614758803446e-31,1.24579321391597e-28,61.1960722849634
"CDCA2",4.28828748965117,1.82329916612897,14.1081802930766,1.27611616468637e-31,1.24579321391597e-28,61.1846947971638
"MYBL2",4.79100630603165,2.08115097791009,14.0103807169076,2.53561266444653e-31,2.36284523790083e-28,60.5076717495196
"TROAP",4.29747670002971,1.62612619988013,13.9812130022224,3.11187044389681e-31,2.73866086958718e-28,60.3057396972759
"NUF2",4.60073929884553,1.43716771121545,13.9769650962715,3.20608072143273e-31,2.73866086958718e-28,60.2763303293741
"FAM54A",4.15281107787522,1.4147386781332,13.9459414047819,3.986343506621e-31,3.26896112916948e-28,60.0615414462162
"KIF4A",4.3650945352124,1.36011695215859,13.922824684167,4.68884046564514e-31,3.69715070716119e-28,59.9014917271683
"UBE2T",3.86045008283015,0.752177042681319,13.9150167279648,4.95307321311233e-31,3.76085014600059e-28,59.8474323228518
"GTSE1",3.95008339912501,1.4905927684709,13.8897482645522,5.91463514609914e-31,4.33056911179209e-28,59.6724808630287
"BIRC5",4.41060021034215,1.12189799849945,13.8727249079758,6.66559657258112e-31,4.65687612342549e-28,59.5546146509762
"ORC1L",4.39799922824426,1.41977922231743,13.8695761444521,6.81460824851298e-31,4.65687612342549e-28,59.532813149854
"KIF14",4.53847647744659,2.31821051743162,13.8363548222734,8.60491475533526e-31,5.69062443222994e-28,59.3027926602427
"PLK1",3.94746072496195,1.85774474090132,13.8014539090856,1.0994464854698e-30,7.04367262456763e-28,59.0611405289607
"AURKB",4.70036641545507,1.41610485357708,13.7394611255822,1.69908157444443e-30,1.05554155629349e-27,58.6319045796233
"NUSAP1",3.99749657087785,1.11624071317814,13.65809074775,3.00839650738053e-30,1.81397461170025e-27,58.0685097238726
"MCM10",4.64294809615616,1.56893012248295,13.5931282697388,4.74690946482614e-30,2.78046831252573e-27,57.6187418806729
"CDC25C",4.4957022830377,1.27391372938974,13.5702383368464,5.57443167511434e-30,3.17448399365331e-27,57.4602701140392
"KIF11",3.54051175529098,1.66098354279069,13.5618851291291,5.91110055986179e-30,3.2752289885872e-27,57.4024401556393
"NCAPG",3.92925596977036,1.50049988048807,13.5554978684579,6.18218503767177e-30,3.33528882782392e-27,57.358221010619
"ASPM",4.42428168447144,2.37138825518701,13.5475003057917,6.53920462345271e-30,3.43744189706164e-27,57.3028542118346
