"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"FTHL3",-6.44756859139738,-5.61836921945818,-20.6042722900183,1.08635877657823e-46,2.22714412786304e-42,95.0367512218235
"RRM2",7.82555916425283,0.737828403026699,16.7709944365909,5.90242379006202e-37,6.05027950600308e-33,73.1780788596266
"UBE2C",8.512775167899,0.718493660024049,16.1382511630404,2.79796356539018e-35,1.91203503513547e-31,69.4016894016259
"CMTM3",3.42717276350103,1.1364171148858,15.5569909907677,1.0020896123782e-33,5.13595978584138e-30,65.896799539583
"NDC80",7.55713975982703,0.610587381139113,15.3189303447315,4.3763338698943e-33,1.79438441333406e-29,64.4522073914218
"ATP5EP2",3.86866358356435,1.85608914805989,15.0290936209394,2.65006669122596e-32,9.05483620613723e-29,62.6867831373548
"PBK",7.83125582995535,1.82550694943465,14.9270381608337,5.00417965812271e-32,1.46558124530248e-28,62.0634998053211
"NCAPG",6.91645065147841,0.726728442351795,14.7649483580089,1.3756103078224e-31,3.52517336508338e-28,61.0718823680752
"PA2G4P4",2.60529026734685,0.766905225689923,14.7234763053687,1.78233689827253e-31,4.05996541683168e-28,60.8178456115789
"CCNB2",7.33503217699802,0.545845382369507,14.6811567462146,2.32186346828017e-31,4.76005229632117e-28,60.5584850702699
"KIF20A",7.29458823079332,0.306759744918753,14.6512992496858,2.79831231473317e-31,5.2152909785768e-28,60.3754202729167
"CEP55",5.85748728388406,-0.404445644199501,14.5289324204682,6.01699530991668e-31,1.02795350707168e-27,59.6244813320249
"DLGAP5",7.8328162924871,0.473522863838506,14.4325327641353,1.10054336040984e-30,1.73555687936631e-27,59.0321561801844
"GNAI3",2.14512706259592,0.434152339463356,14.2679088285516,3.09030342049994e-30,4.52530788740495e-27,58.0191861886112
"ZNF90",4.1808034570131,1.25888623360587,14.137810320177,6.9959896402494e-30,9.56165224098353e-27,57.2174359140994
"BUB1",6.37072391872516,0.622256199547664,14.0535067481663,1.18852844590997e-29,1.52287635435002e-26,56.6973567382459
"CDK2",3.75905911759437,0.0505611231146306,13.9916189496467,1.75419159924296e-29,2.11545188094588e-26,56.3153009510134
"BIRC5",7.91151788059688,1.27146419575873,13.9420082174577,2.396998313942e-29,2.73004791300694e-26,56.0088805854488
"MYBL2",8.32902269714889,0.550700734701581,13.8171665553346,5.26145975296506e-29,5.6771150734493e-26,55.2372095270352
"AURKB",7.36116193106729,0.564685956198445,13.6392316294008,1.61545736905352e-28,1.65592457614831e-25,54.1359977761734
"TOP2A",7.81536908940379,0.687138870369449,13.4856085229656,4.2597308003694e-28,4.15851148277967e-25,53.1840783659303
"RPS27",4.15559179906499,-0.493719988288986,13.3460856984569,1.0283704338135e-27,9.58301011982295e-25,52.3186920173016
"ASF1B",6.03035646964851,0.302510116434338,13.3269557305768,1.16052144017548e-27,1.03442826282772e-24,52.1999817978803
"HJURP",6.49914259850623,0.679093229468955,13.281135221246,1.55035590525622e-27,1.32432693390241e-24,51.9155918579702
"MELK",7.44439301123092,0.692425507924645,13.2616330274892,1.75377495524154e-27,1.43816561429627e-24,51.7945274383898
"LOC442454",-4.06600747585821,-4.05487829304028,-13.2349029769216,2.0766729587362e-27,1.6374566279635e-24,51.6285737600464
"WEE1",4.36914989059379,0.413289502213862,13.1558907720435,3.42269454222622e-27,2.59883928926591e-24,51.1378923502599
"EPR1",7.43774312852722,1.39641170979756,13.0260268749523,7.7835926352209e-27,5.69897973623799e-24,50.3310148446516
"CENPA",6.09572903171628,0.885463279126397,12.9046510714622,1.67809493205406e-26,1.18056521286429e-23,49.5764891768147
"CDC45",7.69432990646769,0.532030526588368,12.9000609525512,1.72757213725812e-26,1.18056521286429e-23,49.5479485249633
"F2R",4.79979138961823,1.1387140211534,12.7911867158794,3.44198595905871e-26,2.27626303698912e-23,48.8708655412499
"EIF4EBP1",3.68415131305683,-0.0161136077049162,12.7257095701412,5.21059722256387e-26,3.33820167686819e-23,48.4635688727643
"NUSAP1",5.75023249521504,0.852346232846686,12.6381036114385,9.07522539471797e-26,5.63791502476101e-23,47.9185287313427
"KIF4A",5.84791743818482,0.877319287220171,12.6104298091221,1.0813923056978e-25,6.52047754679725e-23,47.746338012913
"TROAP",6.78275608059101,0.473954392779813,12.5469040001886,1.61711099005789e-25,9.47211211633625e-23,47.3510441769775
"NACAP1",-3.96835773839777,-4.55096715698885,-12.4533959016032,2.92407809296364e-25,1.66518124955132e-22,46.7691348487881
"ACTL6A",3.02152037492855,0.0226439165692953,12.4217194368994,3.57383957455369e-25,1.98019689507906e-22,46.5720013135209
"TGIF1",3.05487519875638,-0.410447051866902,12.3862866150108,4.47316633588308e-25,2.41327323820892e-22,46.3514884810748
"APH1A",1.65186036349716,0.20327860051275,12.3237308861859,6.64829532264751e-25,3.49478724127171e-22,45.962178671266
"KRT33B",-3.98752535194158,-0.571519506651882,-12.3066033806644,7.41016918867714e-25,3.78116616833761e-22,45.8555882978202
"CENPK",5.62910118194923,1.19343713604354,12.3034021766823,7.56196346040886e-25,3.78116616833761e-22,45.8356661910358
"E2F8",6.50726596744766,-0.0571863327768478,12.2218059709708,1.26792759914206e-24,6.18899612143127e-22,45.3278817080348
"KIAA0101",6.32182955792242,0.373187207298425,12.1594187559011,1.88233298254473e-24,8.97435080817429e-22,44.9396658744468
"FAM64A",7.07447050869274,2.5308960576515,11.9568382718042,6.78823409377647e-24,3.16285425355708e-21,43.6793787296353
"RP2",2.61388231227742,0.742978086042701,11.8987424966658,9.80505966818468e-24,4.46696729461009e-21,43.3180786220647
"VIM",3.55630412888929,1.77424968256933,11.7709079629351,2.20149539580005e-23,9.81149067593408e-21,42.523335318968
"PABPC3",2.65600230237019,-0.354922341142292,11.7653416880877,2.28038737582764e-23,9.94685565783883e-21,42.4887393685814
"IKBIP",3.12608775798046,0.336921202516079,11.6802199306739,3.90653611645746e-23,1.6684978525728e-20,41.9597952381767
"NRM",3.41939474131574,0.287124651340289,11.6393014773901,5.05983583728272e-23,2.11412952727938e-20,41.7056090618343
"MAPK9",-1.99694910846903,0.176181324389702,-11.636318092155,5.15616196107355e-23,2.11412952727938e-20,41.6870783863572
"EZH2",4.91130014275743,0.965022618647808,11.6258178917607,5.5099935750267e-23,2.21490937807103e-20,41.6218609875392
"PGM2",1.87859663438323,0.0980346695784527,11.5030835632467,1.19657917342047e-22,4.71751339121019e-20,40.8598470377372
"GPX7",3.15516749264482,1.21281298652722,11.4751616958226,1.42732921764396e-22,5.52107099828657e-20,40.6865720704178
"OIP5",5.40995072750178,0.819418862747653,11.4597069347104,1.57364398827942e-22,5.97431025994746e-20,40.590678346262
"SYDE1",2.70255443180767,1.40512787469747,11.4516239815255,1.65604050513317e-22,6.17281570831548e-20,40.5405292886671
"SPARC",3.25096330673491,1.74331418608332,11.447490537255,1.69982766329744e-22,6.22288695093944e-20,40.514885255055
"GNG5",2.73880024005742,0.246838346933955,11.4423396861175,1.75601454097949e-22,6.31579896572291e-20,40.4829302330519
"DYNLT1",3.03773900501905,0.647188974169277,11.4013892340494,2.2740101217796e-22,8.03784163906959e-20,40.2289223139338
"SGOL1",6.3268369521603,0.828036623553015,11.3755100733516,2.67745276071498e-22,9.30346763515558e-20,40.0684381990627
"GPR78",-4.3090794502836,-0.276598153101915,-11.3537132203212,3.07221548673626e-22,1.04972482822634e-19,39.9332941443193
"KIF2C",5.45383086998308,0.652105710993019,11.3257620165055,3.6646409879679e-22,1.23161975236607e-19,39.7600258107664
"TGFB1I1",3.7353850881314,0.578039532205269,11.272080989747,5.14110440356335e-22,1.69996421576536e-19,39.4273696129862
"NSF",-2.66349675108497,0.582301243963569,-11.2576419412156,5.63108094918731e-22,1.83242524665538e-19,39.3379177895245
"SHOX2",8.24413748877539,3.52038261853593,11.2349985823601,6.49503275046128e-22,2.08054166276885e-19,39.1976616955673
"IQGAP2",4.96213172137752,-0.0697300736952782,11.2028586536204,7.95331221843284e-22,2.50847467369372e-19,38.9986308612655
"CDCA2",5.85895525554843,0.29524275319935,11.1968398115601,8.26073580065312e-22,2.56595976741196e-19,38.9613648019168
"MLF1IP",5.04993419676754,0.652919636187522,11.1763402844331,9.39960021140048e-22,2.87613737214808e-19,38.8344561313905
"CDK1",5.04168238864142,0.361571102749386,11.1629991181098,1.02236901514624e-21,3.08229223228132e-19,38.7518765552868
"KIF18A",5.28152560873295,0.353241840369745,11.103907554332,1.48324446608891e-21,4.40695576801288e-19,38.3862370373405
"HYAL2",2.40272975990242,0.393145444163134,11.0786645271957,1.73867952321034e-21,5.09209555790503e-19,38.2301065847818
"KIFC1",5.95593330012085,0.199579421687975,11.0437902132828,2.16534139842017e-21,6.2523470435228e-19,38.0144723179838
"CASP6",2.73321342380778,-0.527588956577486,11.0196123003479,2.52104832640857e-21,7.17833496384751e-19,37.8650223277291
"KIAA0513",-4.22236406153902,0.876390163161069,-11.0090287373636,2.69457624301936e-21,7.56732980248491e-19,37.7996147784362
"GTSE1",5.48211821443658,0.769403626201856,10.967905926862,3.48969350591295e-21,9.66786575198937e-19,37.5455435492109
"C1orf144",1.65698728996258,0.178864621099605,10.9649616858073,3.5548835719514e-21,9.71715574781008e-19,37.5273574581193
"GOT1",-2.81429510882895,-0.539572462393824,-10.9209321557158,4.68812416942741e-21,1.25952377476826e-18,37.2554672940208
"BTG1",2.08886149842598,-0.164572069317241,10.9194944874125,4.73066341432886e-21,1.25952377476826e-18,37.2465917738747
"BUB1B",5.33258812693942,0.339459259699705,10.8939288353953,5.55484253992526e-21,1.45999778091036e-18,37.0887860423032
"RAB42",4.88478823276915,1.44922084591855,10.88881420707,5.73618676227855e-21,1.48857676979079e-18,37.0572214159338
"CMTM6",2.11020164477237,-0.437873889424659,10.8821499304345,5.98136956069392e-21,1.53280071704733e-18,37.016096139457
"SLC22A8",-5.62031671279553,-0.193520775981025,-10.8751862096758,6.24875094916773e-21,1.58155115072701e-18,36.9731265309726
"RIT1",1.7611883942336,0.455074601657778,10.8329631006795,8.1454835884173e-21,2.03647023227004e-18,36.7126675956574
"NME4",2.16643295804465,0.381044434577128,10.8008603149183,9.96338816225991e-21,2.4609568760782e-18,36.5147294109906
"NECAP2",2.17810625027874,0.598911415434648,10.7767099353168,1.15931426266366e-20,2.82941686891281e-18,36.3658776792296
"PPP3CB",-2.53366642508789,-0.0912575707174906,-10.7713889968989,1.19865600026167e-20,2.89101725427818e-18,36.3330881896142
"KIF14",5.64434353707587,0.486979434583182,10.7514766098171,1.35807542961463e-20,3.2374307421546e-18,36.2104015231023
"CDCA7",4.47721465096206,1.24704032454158,10.7208326278337,1.64570515155449e-20,3.87800015080675e-18,36.0216579422842
"RAD51AP1",3.99375113261598,0.563689883985208,10.6993316397767,1.8830770763824e-20,4.38692762987678e-18,35.8892753036432
"CHST14",2.62521898712033,0.476532452984433,10.6630926758552,2.36295622530895e-20,5.33261735249382e-18,35.6662399261165
"FAM111B",5.92578903203303,0.0998854799865421,10.6630758636544,2.36320502901931e-20,5.33261735249382e-18,35.6661364806734
"PL-5283",2.09661233610268,0.794483029691637,10.6628165189789,2.36704638347855e-20,5.33261735249382e-18,35.6645407364559
"TSPAN6",3.2067723721696,0.907232293658959,10.6258519546989,2.98343689821537e-20,6.6481999837297e-18,35.4371591042371
"RBBP8",2.69757726789062,0.139068251253873,10.6115744496712,3.26230553473309e-20,7.15397883251574e-18,35.3493660297204
"NUP37",2.34770028877122,-0.0804024031850923,10.6105993057952,3.28227441815272e-20,7.15397883251574e-18,35.3433704957222
"NUF2",5.24429644229805,1.0482545127736,10.6090092742576,3.31509677132333e-20,7.15397883251574e-18,35.3335945973577
"DAP",1.76005815847094,-0.183774249994881,10.5937480639375,3.64726613807828e-20,7.78881282257738e-18,35.2397767183513
"MAST3",-3.82426778073105,0.495348842723891,-10.5851575530902,3.84864193057868e-20,8.1341245586385e-18,35.1869761857404
"FOXM1",5.04322688643848,0.932268679858136,10.5691485961669,4.25397879960276e-20,8.89906320108737e-18,35.0885973053882
"MAPRE1",1.71192382908799,0.54366457673428,10.563347475793,4.41114507725581e-20,9.13463487159812e-18,35.0529539261497
"KIF12",-6.9484651644014,-6.363022754407,-10.5556389756364,4.62898488840387e-20,9.48988191971678e-18,35.0055960650639
"GNB2L1",2.08702838346627,-0.378187877635294,10.5510173281964,4.76470355646656e-20,9.67140471397237e-18,34.97720524423
"RAD51",4.50083956406825,0.248217890602272,10.5023249349014,6.45962392142683e-20,1.2983210785605e-17,34.6782113696208
"SERPINH1",3.87887258548705,-0.334846605024873,10.4661370906662,8.09788929633653e-20,1.61179445110869e-17,34.4561507321596
"PKMYT1",5.22815700067478,0.120485329989177,10.4585565844923,8.49039606585247e-20,1.67366932448117e-17,34.4096506989564
