"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GPRIN1",2.66643662028382,1.19801165937988,20.4008262364133,1.01866208181867e-69,2.08835913393646e-65,147.908305774354
"GLT25D1",1.73039189044042,0.522522682552375,19.1370889705036,2.71846465743537e-63,2.78656219710413e-59,133.241353586439
"HOXC6",4.68856457879781,-0.617626551893971,18.0857042085036,5.18956348793577e-58,3.54637470220571e-54,121.188161400051
"CDCA5",2.36913142880178,1.45039200218465,17.9871674542411,1.60798997143813e-57,8.24135060111326e-54,120.067132838333
"TGFB1",1.88069555225864,0.884520324722548,17.9133709250129,3.74673499430218e-57,1.53623628236378e-53,119.228634313553
"MYBL2",2.61145143319298,1.78671752199531,17.8571370881001,7.13378825438032e-57,2.43749655005085e-53,118.590312751785
"ADIPOQ",-7.37464043682022,-0.514648100458391,-17.7573021813815,2.23478953952572e-56,6.54506004997382e-53,117.458421057782
"HOXD11",6.24171242274559,3.89430407772921,17.6991041819302,4.34482613112965e-56,1.11341600642861e-52,116.799406139653
"MYOC",-6.2436844135238,-1.39908518991578,-17.458622855458,6.73300206959711e-55,1.34548845427362e-51,114.082817206442
"COL13A1",2.95670303652544,1.16361480576231,17.4532539871193,7.15694570647908e-55,1.34548845427362e-51,114.022290953961
"C14orf180",-3.53748989609176,-1.81525834402733,-17.4507335664685,7.36505948707667e-55,1.34548845427362e-51,113.993878730607
"HOXC9",4.69086636410497,0.107167995759654,17.4448393462335,7.87564579839201e-55,1.34548845427362e-51,113.927439016406
"HOXA10",4.67947806106706,-0.167296450648003,17.3781622545249,1.68029001669616e-54,2.64981735632984e-51,113.176316280901
"COL4A1",3.1271555316605,0.166835712995745,17.1884796757456,1.44389769706017e-53,2.11438190624503e-50,111.044260811165
"KIF2C",2.35273017063319,1.55114883093446,17.1744270810328,1.69285215404061e-53,2.31367746733243e-50,110.886592098904
"HSD17B6",2.55448485524091,-0.97944863588301,17.1298558572703,2.80295616554322e-53,3.5914627718626e-50,110.386771374931
"CENPA",2.47231646843498,1.57068835755514,17.1233105409811,3.01829315391044e-53,3.63988399695988e-50,110.313406297077
"PLK1",2.33069412156809,1.64219880320116,17.054361540688,6.57883619229383e-53,7.4929289321231e-50,109.541104158103
"MGC12982",2.61108760597918,-0.23952405850953,17.0125181587056,1.05511423531471e-52,1.13846825990458e-49,109.072892163146
"NETO2",2.33424865796711,1.14127433268859,16.969323127639,1.7175520751925e-52,1.76057675467607e-49,108.58993884145
"PKMYT1",2.48433603357696,1.78540300856421,16.9496192662128,2.14477383470989e-52,2.09380992311369e-49,108.36976488191
"MFAP2",3.40737966425606,1.81471755320486,16.8290994931169,8.33052764370657e-52,7.7629157828922e-49,107.024856562715
"ZIC2",4.9870276459854,2.91317334705454,16.7653357181303,1.7056844542035e-51,1.52035813024461e-48,106.314569430244
"ADH4",-4.23477227469514,-1.07971788063883,-16.6676658342401,5.10344578407239e-51,4.3594059174695e-48,105.22832400781
"BIRC5",2.4378713622323,1.66914251901249,16.6395656523045,6.9924608116275e-51,5.73409756396701e-48,104.916198596649
"CA9",6.45214425302552,2.88394299774491,16.5592769292859,1.71781453057005e-50,1.35449675735448e-47,104.025366566958
"COL4A2",2.84941806665298,0.14180094471412,16.5184008168413,2.71307235933762e-50,2.06002579402891e-47,103.57239621564
"CEP55",2.43660700534566,2.00424107759556,16.4501612863398,5.81357389242244e-50,4.2565742274483e-47,102.817056582167
"FOXM1",2.47539563047057,1.45950494362291,16.4365319769078,6.76850727152831e-50,4.78486784736558e-47,102.666324346962
