"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RALYL",-9.26578096847788,1.04825556314535,-36.0909819817854,8.56493941265657e-56,1.75589822898872e-51,116.331442386134
"TSG1",-4.35212323262152,-0.151821397015433,-33.0883168790184,1.3542284024621e-52,1.38815182394377e-48,109.181945471676
"UPK1B",-8.33489554648055,-1.47104674077491,-31.2849148265079,1.49197680357347e-50,1.01956721500199e-46,104.596307681655
"UGT3A1",-10.8923622111874,2.34740335069067,-30.7569664571214,6.16848045569815e-50,3.16150044555669e-46,103.209078974123
"MYH8",-8.16745275289503,1.16135049874854,-30.4400376279209,1.46025730143621e-49,5.98734698734876e-46,102.366188514705
"UGT2A3",-10.3742116604015,1.44547798411981,-29.3878791266069,2.69308825446065e-48,9.20183371744964e-45,99.5118102428394
"TMEM207",-9.32693429269189,2.31488138066155,-28.8331182848677,1.29589153604241e-47,3.79529605434362e-44,97.9710632000663
"SLC9A3",-9.47082168415461,1.4602972316896,-27.3883288197272,8.71446680633379e-46,2.23319104995811e-42,93.8370536736845
"UNCX",-6.56668993850833,1.51762029671505,-26.9052179822569,3.70146922352458e-45,8.43153561683083e-42,92.4140765644455
"IRX1",-9.47914244609214,0.368276207259543,-26.5800470244545,9.91117480368219e-45,2.03188994650289e-41,91.4444349286075
"PTGER1",-8.84853649315776,-0.166512222304375,-25.6615283133125,1.68499034020581e-43,3.14036245132358e-40,88.6525053163514
"DACH2",-6.33732736993638,-0.47250558633548,-25.3342396216046,4.71152510571228e-43,8.04924801601728e-40,87.6383208174108
"FBXL21",-6.35517114642007,0.0953264632598671,-25.0129704235348,1.30546209694836e-42,2.05871372688756e-39,86.6326610582845
"GP2",-9.48176146073654,-0.0966621959058851,-24.939440713993,1.65068030009024e-42,2.41718548801071e-39,86.4010666930267
"SEMG2",-6.68946115547954,1.20383076002695,-24.1090530081659,2.42222634626148e-41,3.31053748831377e-38,83.7480561353602
"CLDN19",-11.1351793765544,2.37506688834002,-23.7317780086002,8.3944848966449e-41,1.07559584291323e-37,82.5194612636564
"AQP2",-13.1921175091979,5.91215239602532,-23.6206997300512,1.21368036464714e-40,1.46362712680182e-37,82.1549148990493
"DACT2",-7.88157750102007,-3.09375083391673,-23.3949522505575,2.57740573129362e-40,2.93552193873614e-37,81.410042832961
"NAPSA",-7.44158182057396,0.00288644812920599,-23.3736765813068,2.76774016230711e-40,2.97854884353356e-37,81.3395645350485
"SLC5A8",-8.45617889822362,-0.139593576312008,-23.3591528573742,2.90575956639536e-40,2.97854884353356e-37,81.2914253378673
"FUT6",-8.74445020752521,-1.91291323300259,-23.0748751156171,7.56545430752415e-40,7.38568470278822e-37,80.3446580005579
"CAPSL",-5.23189540694878,-1.18644203819634,-23.0400732387896,8.51061490092403e-40,7.93073254926562e-37,80.2281587068338
"LOC723809",-7.89149831411886,0.973618580755229,-22.929574844307,1.23780878197743e-39,1.07550637976805e-36,79.8574011577703
"C8orf84",-5.54122442114462,-0.594875394038214,-22.9245607883456,1.25906800226493e-39,1.07550637976805e-36,79.8405461529928
"GABRA2",-9.08042886453221,0.627790519882263,-22.8949587841947,1.39230655903602e-39,1.1417470706719e-36,79.740982125177
"LOC153328",-7.69276156601584,-0.554127885831413,-22.7744108413802,2.09917652548582e-39,1.64032200143568e-36,79.3345481570109
"MORN5",-5.59093095399054,-0.9958411080014,-22.765998141722,2.16031871805099e-39,1.64032200143568e-36,79.3061253876472
"VGLL1",-8.178443234602,-1.21357891246736,-22.6081832491335,3.70702766262953e-39,2.71420621827028e-36,78.7715093257766
"LOC441177",-5.5775044787127,0.417888176392932,-22.4830866287284,5.69813011642469e-39,4.02818501782147e-36,78.3457934747517
"VIL1",-8.48303098131544,-0.883520548238184,-22.2621685072561,1.22244552567753e-38,8.35378524063832e-36,77.5897756667717
"FOXJ1",-7.69097931997618,-2.94519881446786,-21.9439064558061,3.70529523593499e-38,2.45039540748075e-35,76.4910893053991
"C5orf38",-7.53381027570285,-2.23392334033824,-21.8299621051141,5.52598359841841e-38,3.54025592972425e-35,76.0949744704194
