"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEMG2",-6.28422759236643,-0.0214985733149011,-47.5906749977713,9.39575087145023e-207,1.92622288615601e-202,462.389685870976
"UNCX",-5.19445969203105,0.39999913653117,-42.3921258064831,2.3518900776428e-183,2.41080492408775e-179,408.779053547295
"ATP12A",-9.15366401071943,-1.22114443108597,-42.2774859334558,8.01520985344206e-183,5.47732724018052e-179,407.558413039579
"TMEM207",-8.87728527558143,1.05956388127432,-40.9304919832584,1.63756787503289e-176,8.39294475151231e-173,393.091629283928
"C16orf11",-8.88457912689317,0.72261845334664,-39.8648410338184,1.88891097332173e-171,7.74491277281377e-168,381.48434026379
"RBP2",-5.57062069019107,-0.613680405575826,-37.7481697621186,3.24735330677795e-161,1.10956650237091e-157,358.008910196299
"POU3F4",-6.21722882859811,-0.0661414832323239,-37.2860493119737,5.99343973384882e-159,1.75530725690907e-155,352.81039066675
"GP2",-7.98527792763432,-1.38862210786209,-37.0353586354041,1.0272331279314e-157,2.6324132944652e-154,349.979485863862
"MFSD4",-4.99138694013025,1.67326500545438,-36.4042530926238,1.35697022027031e-154,3.09102738730684e-151,342.81940531502
"PVT1",4.99075657793393,0.190911090413705,35.9733392154839,1.88446929401931e-152,3.86335049966898e-149,337.903399703253
"GADL1",-6.35275369489374,0.0295194598025455,-35.1893502108171,1.57516300089439e-148,2.93567424375782e-145,328.903809413748
"FXYD4",-11.8841334144326,0.818129685223898,-35.0983074614819,4.51615876144521e-148,7.71548089736568e-145,327.854120947328
"HELT",-4.12919208501542,0.124607969995872,-35.0761242646186,5.83835095738317e-148,9.20707945979327e-145,327.598213866473
"CDKN2A",5.70233417164562,-1.18498710173875,34.9735507963485,1.91543966914352e-147,2.80488776122223e-144,326.414190591841
"PIK3C2G",-9.27985321493907,-1.37337578375805,-34.9335307468585,3.04594442151003e-147,4.16299377235847e-144,325.951908332258
"ATP1A1",-2.87925496465408,0.108018732356348,-34.3488588730657,2.72708659640011e-144,3.49425014454991e-141,319.177663818477
"ACPP",-6.43839183191772,-1.56528358566654,-34.3271510101351,3.51250501221209e-144,4.23587442678588e-141,318.925413584368
"AQP2",-14.563240574749,2.55707301460366,-34.152140919064,2.70770174050868e-143,3.08392185456491e-140,316.889857443198
"ELF5",-8.863092043773,-1.78869570117511,-34.0177509797076,1.3022597898968e-142,1.40513831329865e-139,315.324474147405
"SLC9A4",-10.2973483312712,-0.0240093758486609,-33.8834008047774,6.27250451002102e-142,6.42963074799704e-139,313.75758440995
"ESRRB",-6.87345795468615,1.50809757525772,-33.4437772706341,1.08991446267981e-139,1.06401601901899e-136,308.616760784544
