"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ATP12A",-9.27196737998166,-1.29615948036671,-34.3069579578749,1.25061538057017e-109,2.5638865917069e-105,239.464598262203
"FRMD7",-7.79090569476488,-0.376672711714178,-33.6332848032489,1.85922586589719e-107,1.90579947383791e-103,234.50904017994
"ATP6V1G3",-9.47778126325677,0.93321990092746,-32.6897191612883,2.25359026711863e-104,1.5400284688733e-100,227.471752075831
"TMEM207",-8.95547941548893,1.05253318440284,-32.0344727421072,3.33107395390131e-102,1.70725867822327e-98,222.518233996521
"GP2",-8.4100936446146,-1.24274264078714,-30.6652781690068,1.35478127617385e-97,5.55487418856802e-94,211.990476722754
"OLFM3",-5.71466640403121,-0.891655834149964,-30.4154664743388,9.63544470277132e-97,3.29227086419191e-93,210.043822434667
"UMOD",-15.1209296851211,4.28664130427119,-29.945188460916,3.95386237788963e-95,1.15797332298736e-91,206.357568617816
"C16orf11",-9.70487588999193,0.859780509107583,-29.6720142690251,3.46411602662376e-94,8.87723033272672e-91,204.203359109481
"INSRR",-7.88589856984298,-1.28463389616213,-29.0844439261218,3.8079741705466e-92,8.67414205226399e-89,199.5377310137
"UNCX",-5.27202835076494,0.504812546411691,-28.7214040960881,7.0982854695543e-91,1.45521950411333e-87,196.633151296525
"HEPACAM2",-9.29607089809647,-0.900239564959152,-28.1480913760396,7.44545104131795e-89,1.38762901634599e-85,192.012471703044
"SEMG2",-5.32634235232671,-0.0281537582194797,-27.9392883203304,4.09464314269557e-88,6.99535658903349e-85,190.319389377182
"HCRTR2",-4.36212010188141,-0.413480489327782,-27.7673311747198,1.67355863164947e-87,2.63920196211121e-84,188.921003045869
"MUC15",-10.5908612345256,-2.96641906581129,-27.6244553951072,5.40570724114774e-87,7.91588601076927e-84,187.756325887779
"SLC4A9",-8.99429151157374,1.05637468553892,-27.489925380789,1.63419694761167e-86,2.23351144153245e-83,186.657377254541
"LOC284578",-9.86142253241044,-0.738423336772733,-26.1678262647484,9.66220805346609e-82,1.17175299640544e-78,175.740227380902
"FOXI1",-10.8852007122449,-0.568516346839227,-26.1671582817049,9.71650209204058e-82,1.17175299640544e-78,175.734658592148
"HMX2",-6.11503861658273,-0.601842234635288,-26.0333504964159,2.98844662175009e-81,3.40367467736103e-78,174.618080458295
"FAM184B",-6.22306154812667,-1.82560318954825,-25.9801698350051,4.67327060360868e-81,5.04245898129377e-78,174.173722616872
"RALYL",-8.7108349484327,-0.19913723990009,-25.7749191747228,2.63249024077024e-80,2.69843412130154e-77,172.455625134204
"AQP2",-14.6491769971412,2.2178970928239,-25.6981217888407,5.03277704058554e-80,4.91318867185925e-77,171.811515674232
"SLC9A4",-10.1477678783899,0.0164158337103969,-25.679866993414,5.87150434065938e-80,5.47144138581173e-77,171.658309946162
"KCNJ10",-8.05458966717695,-0.11941910146349,-25.6549071709035,7.24945877689261e-80,6.46178932109024e-77,171.448769095758
"HELT",-4.34473163899119,0.246236345935565,-25.5362876167645,1.97623738663528e-79,1.68811844430875e-76,170.451961553846
"BSND",-9.89533621885297,0.897209258490894,-25.4263459149572,5.01334444988955e-79,4.11114298268743e-76,169.526635309681
"SLC12A3",-10.1879178442872,1.99142753367472,-25.3228278879937,1.20596314782325e-78,9.50901942058631e-76,168.654112827138
"PIK3C2G",-9.03203027717142,-1.39529920966518,-25.0188545558901,1.5985232209456e-77,1.21375276120762e-74,166.085006360107
"CALB1",-10.3048508257309,0.683416812418901,-24.9722201833655,2.37850131009782e-77,1.74148769136841e-74,165.689947170322
"MFSD4",-4.67453261895083,1.79521824329882,-24.8540358824233,6.51843565201274e-77,4.60808445868666e-74,164.687675882318
"FXYD4",-12.0124452149169,0.682728247462255,-24.8378322721263,7.48557041324589e-77,5.11538930139847e-74,164.550139269608
"TRPV5",-6.12849251161487,0.392527812618509,-24.6972270398996,2.48940955511325e-76,1.64630275127022e-73,163.3554644511
"SLC4A1",-11.1960035108288,1.68110948493371,-24.4044922551388,3.05897910033852e-75,1.95975407925125e-72,160.861276377433
"FLJ42875",-9.71861465221478,-1.28996432508537,-24.2929875653722,7.97273520950864e-75,4.95300134939808e-72,159.908793926775
"SOST",-8.39934599830743,-0.0879813063221571,-24.2859898843945,8.4671075191552e-75,5.10541680147649e-72,159.848974887585
"POU3F4",-5.90335335968819,0.013593763762363,-24.2615369553818,1.04485065364997e-74,6.12013807156513e-72,159.639900343938
"CGA",-5.23484229768591,-0.864572103873809,-24.1035020266151,4.0727484800344e-74,2.31539459941076e-71,158.287162060495
"RBP2",-5.15529791173375,-0.53093765320354,-24.1005187745529,4.17880104278806e-74,2.31539459941076e-71,158.261600880682
"TFAP2B",-10.0299271868513,-0.424290610914659,-23.7129053497576,1.18842174905071e-72,6.41153533612859e-70,154.932578413885
