"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"GABRD",5.17658888833569,0.148754804631492,24.9287151659315,5.97049263464159e-85,1.22401069502787e-80,182.852234317865
"PLVAP",3.40952428276074,-0.269869943508861,24.5134543705398,3.97065220084362e-83,4.07011703847475e-79,178.689607881249
"CLEC4M",-8.78962647007039,1.49547914188722,-23.2532246967719,1.45522076704705e-77,9.94449364841056e-74,165.980600865217
"BMP10",-5.19891885061046,0.910734028034039,-22.827411548556,1.12800303616079e-75,5.75272200569193e-72,161.664083945696
"CXorf36",2.87131273899323,-0.728411151879539,22.8060796797536,1.40303448751084e-75,5.75272200569193e-72,161.447586338976
"CLEC1B",-8.53667416980472,1.88362169642211,-22.5825571685931,1.38210148475208e-74,4.7224104231504e-71,159.177698115637
"CDH13",3.36244404010434,-1.20788409731448,21.8792351249448,1.87269071954918e-71,5.48457606306825e-68,152.021142938791
"CLEC4G",-8.03839885028005,1.5963536935647,-21.5526363005556,5.36187133042988e-70,1.37404655181429e-66,148.691850989643
"MND1",4.85478777343708,-0.849604708262961,20.6701865139167,4.68314219595626e-66,1.06676775732555e-62,139.684179347624
"TOMM40L",2.21922937928489,0.540464629943605,20.5844347017052,1.13171071426426e-65,2.32012013531316e-62,138.80831520376
"SLC26A6",3.21749876285091,-0.0170079603523353,20.5366771278126,1.84992674560238e-65,3.44775892832677e-62,138.320505312157
"UBE2T",4.17824252971754,-1.19090268361525,20.5086345717129,2.46872292390802e-65,4.21760738858653e-62,138.034066211529
"HIGD1B",3.98271576759524,-0.70899265200105,20.3870497463785,8.62621114663164e-65,1.36035349782381e-61,136.79212367764
"GDF2",-8.13215888361019,2.3998276302343,-20.3684208351251,1.04488915968692e-64,1.53009090448154e-61,136.601835229059
"COL15A1",4.71391674421491,-1.97167668412131,19.9354491338065,8.98974324351252e-63,1.22865817490167e-59,132.179544808892
"CDKN3",4.86317936608858,-0.555235057245761,19.5716134421397,3.79086279854796e-61,4.85727988956449e-58,128.464986857989
"MSTO1",2.26463713841821,-0.351694564028745,19.5237116762235,6.20292880236526e-61,7.48036725748766e-58,127.976119704561
"CD34",2.63023905980897,-0.578571794307874,19.402565496795,2.15450985492389e-60,2.45386702976637e-57,126.739988630607
"AMIGO3",2.56461199512891,-0.3220675622171,19.3144904650011,5.32568381928038e-60,5.74641284100353e-57,125.841542372399
"NCAPG",4.80347716326649,-0.967089648263057,18.9560635235731,2.11203816671262e-58,2.09058398490578e-55,122.187773851693
"CDC25C",5.3071411811331,-0.426802476168429,18.9547148831965,2.14146937627537e-58,2.09058398490578e-55,122.174034646459
"MELK",4.9306985721928,-1.45232443547691,18.7312556465088,2.11873545525838e-57,1.97437252582963e-54,119.898603877398
"STAB2",-7.17547811022736,0.880810634693238,-18.6987973457043,2.95512573953261e-57,2.634044903746e-54,119.568273391213
"IQGAP3",4.8798792082373,-0.947840285299454,18.6843082663858,3.42824610747298e-57,2.92843639372098e-54,119.420833040369
"VPS45",1.69338687365937,-0.8174344101185,18.6630250658416,4.2638609515532e-57,3.49653653471168e-54,119.204274206963
