"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PYCR1",3.75595392944044,1.20926374298027,28.6832129356099,5.75638736776419e-113,1.18011697426534e-108,247.074117138797
"RTKN2",-4.50742422585122,1.65544337216367,-24.8156949421784,6.06831922206004e-93,6.22033061857264e-89,201.237121960992
"C16orf59",3.77899208862776,-0.210431938802038,24.1006354342195,3.23810935818025e-89,2.15412070013044e-85,192.702111869806
"PECAM1",-2.21925433225966,0.792651255871066,-24.0789120863345,4.20295731940966e-89,2.15412070013044e-85,192.442739559284
"OTUD1",-2.00933044479267,0.0381452583291915,-23.9563906637192,1.82971123238076e-88,7.5021819950076e-85,190.979821071124
"STX11",-3.21879835606018,1.10536332617163,-23.4399359501617,9.01749162009283e-86,3.08112659505872e-82,184.813357596067
"C13orf15",-2.89065257818381,1.11352601001387,-23.0574431220522,8.88562009917513e-84,2.60234425218842e-80,180.247734953962
"EPAS1",-2.62169524021085,1.17728908815986,-23.0439256831566,1.04501956750131e-83,2.67799326916806e-80,180.086423283609
"RAMP2",-2.87193854634654,0.0118919344519769,-22.9202019774202,4.610546190982e-83,1.05023119401469e-79,178.61011268933
"ACVRL1",-2.53529208347863,0.782735449029545,-22.9095891823264,5.23649898881569e-83,1.0735346576971e-79,178.483491561133
"LOC158376",-2.66325461211037,0.386673064433965,-22.7584485902532,3.2085232037543e-82,5.97981220001518e-79,176.680504766633
"S1PR1",-2.86989338953454,0.387634960493476,-22.5991324059439,2.16711536550289e-81,3.70233600901455e-78,174.780599249425
"SLC6A4",-8.30279267988174,1.48157093367509,-22.5066299793061,6.56761312353062e-81,1.03571258958078e-77,173.677798234381
"ANGPT4",-4.92899950856939,0.227186955615949,-22.4015343123854,2.31390521445538e-80,3.38838362868213e-77,172.425182960024
"TMEM177",1.71471825647051,-0.118973321303842,22.1656887709724,3.90047418541573e-79,5.33090808501386e-76,169.615572602101
"FAM107A",-4.90112123048486,-0.13359582941897,-22.1385087803894,5.4005402753895e-79,6.91977976161001e-76,169.291913996476
"EDNRB",-3.79190169838165,-0.178191543455718,-22.1141736083517,7.22694195365806e-79,8.71526688187906e-76,169.002156568821
"FAM83A",6.44359194175793,5.22208560445224,22.0969087555186,8.88601914415731e-79,1.01206821374649e-75,168.796599631937
"ALDH18A1",1.67627402443328,0.0508987337436335,22.0352154418166,1.85943119125729e-78,2.00632625536662e-75,168.062174717486
"EMP2",-2.83929388283468,1.60764067362084,-22.0285333253365,2.01422750776347e-78,2.06468390683295e-75,167.982637483112
"TEK",-3.49270051169512,0.552255712048536,-21.990637528257,3.16989684113028e-78,3.09457405428628e-75,167.531600383841
"LDB2",-2.67163690231701,0.508129207141119,-21.9391990922264,5.86564045897351e-78,5.46597704770072e-75,166.919479784708
"CAV1",-4.00001065119789,0.619449342990057,-21.8993334178672,9.44970657136105e-78,8.42297540954229e-75,166.445158222956
"MND1",3.77304598138574,-0.172722651280909,21.873196320179,1.29176483769829e-77,1.10343628906886e-74,166.134219165465
"WWC2",-2.39115301238038,0.848374731068301,-21.732054423985,6.98350954257401e-77,5.72675716529239e-74,164.455698663982
"KANK3",-2.86621103920154,-0.0102849279405335,-21.6801221122081,1.29905048441326e-76,1.02430130695986e-73,163.838348739331
"RAMP3",-3.10150277453309,0.187938800627609,-21.4782370410317,1.44843169364681e-75,1.0997888204242e-72,161.439800460205
"IQGAP3",3.84414295743253,0.301852459301209,21.3069151452933,1.1189677769048e-74,8.19284228368759e-72,159.40621192821
"UBE2T",3.37245683701353,0.160832606393414,21.2567319739432,2.03589274150981e-74,1.43923576185147e-71,158.810881444923
"ADM2",3.50389196715831,0.662703899862507,21.2281515860929,2.86261705364441e-74,1.95621707389213e-71,158.471900177449
"FHL1",-3.90808187359505,-0.673653446500116,-21.1907964111608,4.46866998676393e-74,2.9552323676983e-71,158.028924773862
"CLEC3B",-4.16808596163225,0.705944707985526,-21.1437509920503,7.82905521433766e-74,5.01573315466051e-71,157.471169508251
"LIMS2",-2.89429119978368,-0.204213839435714,-21.1264644275382,9.62004507418352e-74,5.81226747307602e-71,157.266263013794
"C13orf36",-7.21181666258084,0.664409058258462,-21.1257207702711,9.70567524054844e-74,5.81226747307602e-71,157.257448519103
"RS1",-4.83029359910033,1.15052508973862,-21.1238633109428,9.92289944674214e-74,5.81226747307602e-71,157.235432405327
"FABP4",-6.1769603965893,0.532946537820749,-21.1061250133284,1.22583979624997e-73,6.98081712858906e-71,157.025195596005
"ROBO4",-2.85624751641216,0.286584758074882,-21.0925409640337,1.44120039456098e-73,7.98541872672827e-71,156.864210128431
"SPOCK2",-3.46057854987719,0.631169082899345,-21.0488353523277,2.42572282268435e-73,1.30867746283821e-70,156.346338887775
"AGER",-6.68784175932138,3.14612769025332,-21.0145221693486,3.65026166521259e-73,1.91882088201342e-70,155.939853342521
"PPP1R14B",2.14567426636522,0.353524564113673,20.9559042603607,7.33561482275765e-73,3.75968598703386e-70,155.245640882594
"HSPA12B",-2.85017644014785,0.0158887083160604,-20.9486812528678,7.9942750257216e-73,3.9973324951785e-70,155.160116000673
"C9orf140",3.59521159198788,-0.258783341993154,20.8892181384672,1.62231976409203e-72,7.73826388856868e-70,154.456182325374
"CELA2B",-3.26506039216351,0.460167513566726,-20.8891793439107,1.6230688610724e-72,7.73826388856868e-70,154.455723155333
"ETV4",3.86781048745654,1.56228815001587,20.872179799315,1.98693792114009e-72,9.15916793904531e-70,154.254528468655
"KIF20A",3.50982026117047,0.0932841980054968,20.8711910512304,2.01045098901048e-72,9.15916793904531e-70,154.242827010871
"CDH5",-2.56413590019947,0.700168564459955,-20.7625112918007,7.3228320749888e-72,3.26359522542055e-69,152.957100626323
"ANGPTL7",-5.2780759929698,-0.430674338555442,-20.7322582330636,1.04925212966328e-71,4.57674849153766e-69,152.599358677626
"PALM2-AKAP2",-2.49247466472348,0.437450705883412,-20.7248898052011,1.1453000607111e-71,4.89162428013297e-69,152.512238168489
"GOLM1",2.57211324405843,0.598252509308615,20.661605163856,2.42966882954623e-71,1.01654368723525e-68,151.764173343707
"TAL1",-2.9139633769478,0.331706386981232,-20.6164190233679,4.15601188730613e-71,1.70404799403326e-68,151.23024487817
"TOP2A",3.83242568305555,0.384764409470992,20.6031031847763,4.86814340867554e-71,1.95689819649524e-68,151.072934626762
"PRX",-3.3610638535571,0.835325577687298,-20.5922823580886,5.53573463055948e-71,2.18246337809808e-68,150.945110813509
"CDC25C",4.1198182154772,-0.0147224464078957,20.5634915631133,7.7920575678114e-71,3.01405607920191e-68,150.605060193018
"OVCH1",-5.32209839495649,1.27345531564358,-20.5525263050069,8.87550346250938e-71,3.36956845342416e-68,150.475567057835
"SH3GL3",-5.91668915197872,-0.563069827798745,-20.542110160871,1.00438051573854e-70,3.74378271875559e-68,150.352568137108
"EFNA4",2.23017607173393,0.585852234832927,20.520137860886,1.30368727649031e-70,4.77265943845142e-68,150.093139018928
"PTPN21",-2.53840321599488,0.12069140495346,-20.5126930376104,1.42413144781523e-70,5.12212610730879e-68,150.005246697867
"CDC20",3.91223126155615,0.043901646881763,20.4624476199575,2.58523966211463e-70,9.13793074362278e-68,149.41218400796
"SGCG",-4.69104300693764,0.688769504803711,-20.4551760622923,2.81817784120858e-70,9.79245151230797e-68,149.326373842763
"C10orf67",-5.32001606047121,0.281681219037325,-20.4479370893409,3.07090277308447e-70,1.04927629585008e-67,149.240952847066
"NME1",2.27180291300612,-0.0927526401254267,20.3905958301081,6.06228218981378e-70,2.03742372415364e-67,148.564482268666
"E2F8",3.54855361587361,0.669292393986457,20.3639052604225,8.31912790570787e-70,2.75081356765995e-67,148.249707368588
"CALCRL",-2.85598915929787,0.685041223737794,-20.3261523077785,1.30147638025813e-69,4.2351694082019e-67,147.80457960006
"SRPK1",1.60414210611769,0.502487158242304,20.2284591072972,4.14104093648803e-69,1.32649187873345e-66,146.653340035218
"HTR3C",-5.017592485049,1.09656369154762,-20.2241298458893,4.35889439748567e-69,1.37479529296698e-66,146.602343901774
"GCOM1",-3.6644035327829,0.857823542935834,-20.1796458352506,7.38120022684289e-69,2.2927573613713e-66,146.078453060893
"UHRF1",3.52013716462684,-0.127064171136212,20.1242522320883,1.42187454338326e-68,4.35072388267168e-66,145.426348503457
"BUB1B",3.68188871785279,-0.145657366870144,20.1188208657093,1.51625602054766e-68,4.57128892312463e-66,145.362425636389
"NUF2",4.01770180619098,0.182306833250143,20.0631510220501,2.92941433723474e-68,8.70375700400716e-66,144.707405395645
"MYOC",-5.4344963524156,-0.0565310008051152,-20.0556039386906,3.20290564737289e-68,9.38039552525595e-66,144.618629176816
"KIF2C",3.87511404340734,-0.0426501482680339,19.9623551728929,9.64451230361561e-68,2.78481896811864e-65,143.522225610052
"KIF4A",4.1437700005982,0.00670219362957586,19.9339511395997,1.34904987730512e-67,3.84123215758783e-65,143.188434652109
"GPM6A",-6.07243576505692,0.456182264167798,-19.9279197094053,1.44867830196498e-67,4.06840463953207e-65,143.117566999356
"GYPE",-3.79955982262825,1.07890335230117,-19.9092318922496,1.80650131183913e-67,5.00474099919108e-65,142.898014652518
"PAICS",1.87313345948594,-0.246025366729551,19.8866523031355,2.3585631135371e-67,6.44705365208321e-65,142.632789562938
"C20orf160",-2.65576046606839,0.093472300166871,-19.8789989110946,2.58164125714718e-67,6.96397729115453e-65,142.542903383366
"SFXN1",1.63780986962264,-0.170902032867072,19.8568002696858,3.35521478789204e-67,8.9331504372175e-65,142.282224308808
"SEMA3G",-3.07233888692161,-0.0137475152397431,-19.8244766841653,4.91382382186293e-67,1.29151669451297e-64,141.902742916426
"DLGAP5",3.99651897419876,0.323649198697396,19.8218142385133,5.0706751650854e-67,1.31587229822045e-64,141.871490654653
"OTX1",3.74728936079506,1.61097965898518,19.8037750723735,6.27358283138829e-67,1.60768402032864e-64,141.659764086557
"SPAG4",3.10124016109967,1.10115155784314,19.7929043863802,7.13214083877466e-67,1.80513604118172e-64,141.532191524436
"CD300LG",-6.42947099124728,-0.0440773687748315,-19.7702799556545,9.31398212788275e-67,2.32860911711859e-64,141.266725004578
"NECAB1",-3.67745707261452,-0.037325146629076,-19.7640507759649,1.00241159285732e-66,2.45207631619439e-64,141.193644096918
"SH2D3C",-2.26368230776331,0.372975765807882,-19.7638570972416,1.00470421228393e-66,2.45207631619439e-64,141.19137192175
"PTPRQ",-5.72368620841833,0.664545469987295,-19.7248290301332,1.59194190891487e-66,3.83957659701926e-64,140.733592692525
"CD5L",-4.7831695769406,0.554624202207855,-19.7192531582644,1.70011765230537e-66,4.05280371975726e-64,140.668204483768
"SDPR",-3.67696965671619,1.48881541376263,-19.7132548240367,1.82470348841674e-66,4.29979841563582e-64,140.59786596512
"RCC1",2.13241293349244,0.675772123305951,19.6734386310869,2.91755352858767e-66,6.79690510108816e-64,140.131070752888
"ORC6L",3.15175661633841,-0.297396525692449,19.6625822313219,3.31574573164492e-66,7.63776440948906e-64,140.003824267494
"PTPRB",-2.80779634694985,0.794127739937063,-19.6049829631493,6.53540572820564e-66,1.48869280926604e-63,139.328937056954
"PRKCE",-1.93688895253635,0.402777922664748,-19.5959922364017,7.26534423320232e-66,1.63677826510858e-63,139.223627901328
"CYP1A2",-5.07336479407619,0.259330190273918,-19.585254335488,8.24461757193424e-66,1.83720548741548e-63,139.097866301029
"CDC45",3.96885046800608,-0.114464943301718,19.5714962684599,9.69441513113381e-66,2.13704521078897e-63,138.936752433093
"ATIC",1.32096888741602,0.107731485532075,19.5531135898713,1.20366422779637e-65,2.6251404610695e-63,138.721516764317
"HBM",-2.46321148616977,0.0533202940854966,-19.5476265633026,1.28397070497622e-65,2.74346534014968e-63,138.657279018993
"GRK5",-2.58507166484657,0.471456629287192,-19.5475795061353,1.28468207723706e-65,2.74346534014968e-63,138.65672812648
"OR6K3",-2.97532364279853,0.637216276190786,-19.5401862748632,1.40148196751552e-65,2.96203936247791e-63,138.570179726717
"CHRNA2",-4.37246735440639,-0.357492301981767,-19.5383078978246,1.43281042786526e-65,2.99735169200669e-63,138.548191655147
"ITLN2",-7.43427908578622,1.92784014799811,-19.5337336337369,1.51206015932414e-65,3.13118639659638e-63,138.49464758233
"B3GNT3",4.34779462081067,2.82639444981105,19.5069209446447,2.0729770007214e-65,4.24981014917895e-63,138.180841594946
"STARD13",-2.11363073363975,-0.267886269741205,-19.499522571354,2.26150258486953e-65,4.59040242499111e-63,138.094268838544
"FOXF1",-2.75393864471483,1.54485756099231,-19.4852215496208,2.67584701758669e-65,5.37819016740635e-63,137.926942722481
"CYYR1",-2.25825058631912,0.27265002322002,-19.4654360721641,3.37697661442508e-65,6.71395015484211e-63,137.695487519725
"JAM2",-2.54683613404607,0.204571046641757,-19.464710024872,3.4059353987785e-65,6.71395015484211e-63,137.686994946923
"SLC39A8",-2.7325138606754,1.96492763038358,-19.4396093355486,4.57534055963757e-65,8.93324350601236e-63,137.393431633447
"SPAG5",3.20104619050395,-0.107264677317171,19.4364393455783,4.74908477763199e-65,9.18499877605976e-63,137.356362700188
"MMP11",5.2766197399584,0.355389354254346,19.3850083481434,8.69261647383574e-65,1.66548906850567e-62,136.755116002302
"PLK1",3.38102452673437,-0.0144642265650701,19.3637413162233,1.11601818854177e-64,2.11847119289766e-62,136.506592364815
"HJURP",3.82084061393908,0.137401729548679,19.3606987523819,1.15663087063551e-64,2.17542105310996e-62,136.471041982018
"CTHRC1",3.88029495205404,1.37403887112752,19.353149100878,1.26389733471235e-64,2.35555993263071e-62,136.3828341989
"NEK2",3.74479122635495,0.391054717755726,19.3481054985961,1.34103979660656e-64,2.47681593425506e-62,136.323910287521
"COL10A1",4.79298489628634,3.05760213590873,19.2936402416788,2.54218478300737e-64,4.65333305682447e-62,135.687801943009
"CAT",-1.95563541572521,0.168919794250901,-19.2719918152586,3.27767529813498e-64,5.94651515814736e-62,135.435071002305
"CDCA8",3.06466406760873,0.139788120489664,19.1836873759169,9.23531087200626e-64,1.66081673848246e-61,134.404800483024
"ADCY8",-5.71361022632917,-0.512469529051639,-19.1724406189452,1.05370476695247e-63,1.87843490672109e-61,134.273654554791
"EZH2",2.68063873717866,-0.110559676181483,19.1659382834272,1.13716881320498e-63,2.00974981375132e-61,134.197839852381
"MYCT1",-2.30116648736997,0.620848522987154,-19.1641314153852,1.1615128052069e-63,2.0352285486792e-61,134.176773462306
"TMEM184A",3.13966748010093,1.89746223285848,19.1335602439378,1.66202877603323e-63,2.88756372351333e-61,133.820407608653
"OTC",-4.12889409487742,-0.125825521393709,-19.122426471103,1.89364584868946e-63,3.26232214655315e-61,133.690652848665
"ECSCR",-2.38561968826904,0.42497992148746,-19.1049469462354,2.32401183238673e-63,3.97038054798003e-61,133.486977032605
"TUBB3",4.00036646076991,0.579525249515287,19.0711515627538,3.45259952017788e-63,5.84973080687328e-61,133.093300920808
"GPIHBP1",-4.47086851805712,0.860066532148413,-19.047140069269,4.57346698502115e-63,7.6852989065507e-61,132.81368921327
"PLEKHN1",3.50534211061767,1.26575847480521,19.0307329271716,5.54187818832341e-63,9.23691420640799e-61,132.622674563572
"GIMAP8",-2.55116266409144,0.681447072053724,-19.0077312366525,7.25382843997402e-63,1.19928013587022e-60,132.354947038005
"GPR146",-2.2581195719936,0.201848623980978,-18.973455327616,1.08323435243559e-62,1.77659099674256e-60,131.956128597444
"CHRM1",-5.38539266894824,-0.978646325142102,-18.9714064347328,1.10950835575352e-62,1.80524053978594e-60,131.932293784295
"EFNA3",2.73179265909764,-0.417395658362552,18.9608763935278,1.25492583964786e-62,2.02576650697802e-60,131.809806793694
"ERCC6L",3.01797810341539,0.0900021103204889,18.9519354584802,1.39324797421456e-62,2.23148255620099e-60,131.705816628949
"BIRC5",3.95936754640899,0.0798443243435192,18.907984730585,2.32905964857047e-62,3.70139936863125e-60,131.194797401364
"CLEC1A",-2.37080717962463,0.438079534901113,-18.9044848401693,2.42630641390522e-62,3.82628521472853e-60,131.154115520571
"SCUBE1",-4.52781516823942,0.443163054087092,-18.8818420603553,3.16125580681308e-62,4.94724467904389e-60,130.89096317712
"CDCA3",3.35822607777575,-0.440835150250102,18.8635327409333,3.91523587033024e-62,6.04260772686118e-60,130.678227146701
"CCNB2",3.28060308942061,-0.058597071846894,18.8634256960843,3.92013476256054e-62,6.04260772686118e-60,130.676983532762
"CLEC14A",-2.28608415882758,0.751519715046729,-18.8543914116096,4.35643962448391e-62,6.66502751802571e-60,130.572031907967
"CDC6",3.40095697137722,0.0820911647001342,18.8335643206464,5.55607058709574e-62,8.43740763748517e-60,130.330127329501
"MSTO1",1.6046565154996,0.236296399045331,18.8127726909317,7.08267035291684e-62,1.06766047724374e-59,130.088696851193
"RASIP1",-2.42317527045861,-0.152811761985826,-18.7944962389338,8.76698221827123e-62,1.31191169676481e-59,129.876523989776
"KCNA4",-5.08370944812147,1.28059713265775,-18.7653751665286,1.23150729155697e-61,1.82950224523256e-59,129.538555362819
"C20orf202",-2.63364843928399,0.279321584235639,-18.7589000061196,1.32814686202901e-61,1.95887329629185e-59,129.463423827427
"RECQL4",3.20616887606083,-0.309017644375045,18.7422151713779,1.61352071002172e-61,2.36277057686824e-59,129.269857393651
"LYVE1",-3.45933236558863,1.0139285536714,-18.7198091543501,2.09536483375242e-61,3.04660102530202e-59,129.009982078599
"PAFAH1B3",2.18063565672875,-0.0506042350830063,18.7015757041418,2.59171501791472e-61,3.74174292832886e-59,128.798556947092
"SGEF",-2.92842870732398,0.620305073211479,-18.6979358200824,2.70405638621142e-61,3.87663356459583e-59,128.756356752418
"CLIC5",-4.52908341863359,2.11108547687633,-18.6642674641954,4.00346391244354e-61,5.69965372701423e-59,128.366105307265
"FGD5",-2.32979760725815,0.446080562369028,-18.6589879832331,4.25747957308571e-61,6.01948887778139e-59,128.30492600118
"NCKAP5",-4.59284226334687,-0.0520670145949147,-18.6447712425241,5.02443168393164e-61,7.05519684604675e-59,128.140201424969
"WNT3A",-5.37245333970147,1.67817600434326,-18.6365313451445,5.53061515564658e-61,7.71313886434766e-59,128.044742465517
"PPAT",1.93300396357645,0.0044945013356169,18.6192070693375,6.76712589478329e-61,9.37384107898327e-59,127.844074759331
"ARHGAP6",-2.69359330214062,-0.295039565088874,-18.6159801818716,7.02626524673955e-61,9.66748079351728e-59,127.806702634639
"DEPDC1B",3.65449842510461,-0.108943385053479,18.6003452761868,8.42926751109819e-61,1.15205608830016e-58,127.625649752864
"C16orf88",1.36184680988058,-0.173837479964235,18.5354924189204,1.79298282411615e-60,2.43430072034471e-58,126.875050593902
"TMEM100",-4.97798560121422,1.59747995687129,-18.5326633775853,1.85297086377774e-60,2.49919445252023e-58,126.842322373708
"AKAP2",-2.83385661478054,1.04486861039486,-18.5305338695316,1.89944455002341e-60,2.54513155032876e-58,126.817687635743
"OCIAD2",2.11527613964567,1.04730890972147,18.5064941452047,2.51218369888904e-60,3.34430376694313e-58,126.539638357969
"C16orf75",2.36593384702564,0.13478465881283,18.4981533060787,2.76803713676413e-60,3.66113092521299e-58,126.44318724382
"STIL",2.53275718118727,-0.0191648359013365,18.4845535663164,3.24219649995521e-60,4.26078656702447e-58,126.285947030335
"RAD54L",3.50346752447209,-0.281558918282868,18.4835787733748,3.2791459579612e-60,4.28189626013774e-58,126.274677586407
