"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KIF4A",5.0255482575605,1.25074051779861,39.1772310666075,1.32427196175493e-161,2.71488994879378e-157,358.982920103102
"UBE2C",5.23081737447289,1.31754137769664,38.6876691060029,2.16172884014206e-159,1.60778939148435e-155,353.905082891777
"CENPA",5.26798105125452,1.51363228970491,38.6795574471284,2.35274775594022e-159,1.60778939148435e-155,353.82069320393
"TPX2",4.97404579015831,1.28168687534958,38.5177676314784,1.27582848622652e-158,6.53893994903249e-155,352.135785456925
"KIF2C",4.80883543748229,1.19567475772634,38.4313864589441,3.15048729916291e-158,1.29176280240278e-154,351.23485098104
"BIRC5",5.46851621988618,1.60474981193377,38.3939382533978,4.66334772889376e-158,1.59338819650085e-154,350.843984475351
"PLK1",4.50405879590413,1.21146550263402,38.219222311977,2.91295225837801e-157,8.53120489271536e-154,349.018059236225
"CDC20",4.98367638499505,1.34177483008015,38.1514127084258,5.93709626314933e-157,1.5214551311353e-153,348.30836301172
"HJURP",5.09083203443294,1.33455173329995,38.1136789885408,8.82598863977214e-157,2.01046214559965e-153,347.913192122923
"TROAP",5.3734777365106,1.41910852922586,37.7105422086828,6.1684092131445e-155,1.26458557278675e-151,343.680186464063
"BUB1B",5.02793718743967,1.2618876898757,37.53473402785,3.95600914739801e-154,7.37292213916424e-151,341.82782162865
"CDC45",5.55556404226898,1.77936520601106,37.5107909861515,5.09684131595216e-154,8.70752865152794e-151,341.575253251705
"NEK2",5.04450849048544,1.39443054811112,37.4422574336097,1.05306643797351e-153,1.66068577268423e-150,340.851918069231
"TTK",5.24462344114294,1.50282546436906,37.3772847508747,2.09637006361133e-153,3.06983447672113e-150,340.165626881919
"MYBL2",5.31031531006576,1.66824482643279,37.1386459043255,2.64028500709641e-152,3.6085655286989e-149,337.640444490133
"DLGAP5",5.10799075562492,1.51361159447563,37.0602749876072,6.07607606971528e-152,7.78535221907707e-149,336.809614903091
"DEPDC1",5.16778848387793,1.41681676770504,36.7557331347711,1.56069897170561e-150,1.8821111540551e-147,333.573885060987
"CCNB2",4.64669562714527,1.36311411266115,36.7271618650718,2.11751221055622e-150,2.41172876825628e-147,333.269730888577
"EXO1",4.92841094565261,1.423974607526,36.5923780166952,8.94345905121239e-150,9.64999231625817e-147,331.833540587233
"CDCA5",4.19780862622947,1.24073738045599,36.3938424114587,7.49685509255663e-149,7.68465131262517e-146,329.713978320528
"CDCA3",4.61505692848817,0.939308910503706,35.8884786748912,1.71657412670966e-146,1.67578505579403e-143,324.296976269723
"ANLN",4.6902733813626,1.31226649087667,35.7895082296601,4.99311671128598e-146,4.652903895367e-143,323.232471083916
"CDCA8",4.06126288255429,1.17742533282245,35.6300983173847,2.79469911514424e-145,2.49104898085096e-142,321.515397763945
"RAD54L",4.84839308077553,1.24324362302541,35.4877118849337,1.30479365187503e-144,1.11456561071209e-141,319.9790968724
"KIF23",3.96311019635466,1.4641217697734,35.4721807823914,1.54383437258307e-144,1.26600593889302e-141,319.811373818115
"NCAPH",4.42074159949654,1.549880186567,35.3281853735521,7.3545455849401e-144,5.79905919372527e-141,318.254961605217
