"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"C19orf21",4.61222867411764,4.21982010005501,6.02460890197297,9.15103094763013e-09,0.000187605285457365,9.35040848369955
"FXYD3",4.74493839294506,3.61119250005241,5.67040855233627,5.49220430292773e-08,0.000562978402071606,7.75836765214526
"B3GNT3",4.32703336933845,4.54231950843077,5.4022301993562,2.03521499798451e-07,0.00139079808912268,6.59634184239812
"SOX3",-2.97551920315661,-0.908916156038882,-5.29857510903332,3.33867386264219e-07,0.00171115382145069,6.15771586786365
"ESRP1",3.09563564880503,2.00056105654176,5.16243483635362,6.33329071845605e-07,0.00217694506692364,5.5908285985652
"MLPH",3.52542339730633,2.93982202605129,5.16115320606749,6.3712357453499e-07,0.00217694506692364,5.58554230409923
"AGR2",6.25240706521035,5.57843219238818,5.05090842006548,1.06102575051649e-06,0.00310744127304835,5.13439268164964
"PITX1",6.17087189502357,1.96437708398365,5.02007781569703,1.22202824477309e-06,0.00313160013076163,5.00950102199398
"PSG8",-2.39977792020413,-0.388306452032731,-4.96425482870873,1.57583812522629e-06,0.00358958415614047,4.78480264827193
"EPCAM",2.82932654223543,2.80701210157185,4.8266991936488,2.92379804201336e-06,0.00599407836593159,4.23911062314002
"PADI6",-1.61484277792614,-0.267000462167212,-4.80024290305054,3.28828324744299e-06,0.00612846316871171,4.13547802677296
"C1orf210",2.91280674536569,2.1112477047646,4.67266053392648,5.75743392304665e-06,0.00973071114860662,3.64180666287819
"CD5L",-4.25437004980722,-0.88106146229126,-4.65671077710645,6.17039387990274e-06,0.00973071114860662,3.58080577364049
"ARHGEF16",2.57735878963449,1.87850855700225,4.57127637937146,8.91671873288849e-06,0.0130572607673534,3.25679853008849
"CACNG3",-2.86191597892532,0.109211196582123,-4.54189476726547,1.01088795643786e-05,0.0138161426632884,3.14644537991669
"RSPH1",2.64399459686695,1.22589122571572,4.4963294920556,1.22664535453961e-05,0.0151375728827519,2.9764071086914
"PKP3",3.12261123372336,2.86480250978948,4.4859162476921,1.28184031087726e-05,0.0151375728827519,2.93773582500204
"ERBB3",2.98380777036811,0.931947208419478,4.47733949276268,1.3290879073681e-05,0.0151375728827519,2.90593745402228
"TSPAN1",3.77536810029566,3.17903929913752,4.45144349838367,1.48212553959843e-05,0.0159921345722671,2.81021803635765
"CGN",2.7799393062014,2.2002492787466,4.43382434601082,1.59578672750879e-05,0.0163576118503289,2.7453422000675
"CAPN8",5.14963505830531,6.21665813348513,4.40205504171325,1.82223124381891e-05,0.0174788631561629,2.62887719528386
"ALAS2",-4.0304113338728,0.157006309047621,-4.39511042430367,1.87568893924972e-05,0.0174788631561629,2.60350673353183
