"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ACTL6B",7.97356227251808,9.79220490524286,13.177035335288,2.74348756363908e-28,5.62442385421648e-24,53.4294251499622
"BEX1",4.54253315315879,8.46690929168223,12.9372546647823,1.39609072413494e-27,1.43106279677452e-23,51.8430559647972
"INA",6.28954737041153,8.82925857046705,12.5252338123323,2.28036683064053e-26,1.5071622104576e-22,49.1188126471959
"FBXL16",5.54316844107039,4.75977060549291,12.4861886074462,2.97067068553312e-26,1.5071622104576e-22,48.8608459063994
"SNAP91",6.80133558427163,8.57797922577471,12.4547356424969,3.67582608277059e-26,1.5071622104576e-22,48.6530729218297
"CHRNB2",5.93395697334821,7.08043820411335,12.2140712659587,1.87307827462625e-25,6.39999628468545e-22,47.0644119518998
"C1orf230",7.64156934723854,6.0582113062262,12.1475696863408,2.93610509783937e-25,8.10234240552627e-22,46.6258319047416
"CDK5R2",6.59972490094657,9.97488542015464,12.1366130562205,3.16173548823034e-25,8.10234240552627e-22,46.5535916604198
"GRIK5",6.36363145490962,5.62878232786693,12.0243748425391,6.74753933889461e-25,1.53701448874087e-21,45.8139051233815
"GNAO1",5.29326152259963,5.41047850652083,11.9680773490006,9.86648355677223e-25,2.02272779397387e-21,45.4431287229762
"KCNH2",4.81332522651741,6.04371473530092,11.9442810246997,1.15848011201966e-24,2.15909097968318e-21,45.2864574758115
"SVOP",6.56933398584153,9.38835282388685,11.7708938922099,3.72787015634587e-24,6.36875550627056e-21,44.1459080235786
"CHRNA3",6.59908755364057,10.843499567601,11.6395196312137,9.02488210394677e-24,1.39255860346572e-20,43.2830127296158
"LHFPL4",5.7795980664223,8.08364476436729,11.6317385600301,9.5096924289157e-24,1.39255860346572e-20,43.2319428697788
"CELF3",6.76424040557158,10.8562116822666,11.6148740017367,1.0651557073188e-23,1.45578381038284e-20,43.1212700964994
"MPP2",5.22238391280833,3.83838301461439,11.5137176956444,2.10181950419546e-23,2.69308760346945e-20,42.4578861875996
"SYP",4.38280775598593,7.80304462719945,11.4119699277463,4.16033551710957e-23,5.01711990801549e-20,41.7914420094189
"MYT1L",6.39597403882561,9.45841360045304,11.3931477530287,4.71998176597862e-23,5.37579701024043e-20,41.6682521473048
"REEP2",5.59058945011224,5.77726624779765,11.355399962449,6.07887819944206e-23,6.55910957719798e-20,41.4212877237523
"MARCH4",6.67875720428103,7.12194696007195,11.3312321883148,7.14735643439893e-23,7.32639771308063e-20,41.2632362259342
"PKIA",5.67178827658559,4.06532273441625,11.3174798050618,7.83701609627458e-23,7.65079366617739e-20,41.1733222361548
"SNAP25",4.65363205913983,7.52476277791548,11.2887519033735,9.49935843688493e-23,8.67713410290668e-20,40.9855526940016
"PTPRN",6.58975127229329,10.456592498306,11.2816464128073,9.9621353995064e-23,8.67713410290668e-20,40.9391218999634
"UNC13A",5.16707212038651,7.05139491377187,11.2787363163245,1.01581005058173e-22,8.67713410290668e-20,40.9201072359968
"FAM155A",5.68743467685615,5.38326371890812,11.2474439704036,1.25245235488778e-22,1.02706102910217e-19,40.7156919559363
"GPR158",6.47129321773063,6.06244895341966,11.1706214290685,2.09344037922636e-22,1.65067773901999e-19,40.2142499308898
"CRMP1",5.18950521608598,4.20977651614021,11.1061197039499,3.22089099591056e-22,2.44561060396898e-19,39.7936798904323
"CCDC64",5.12790961660096,1.75509636183877,11.0110393711251,6.07357935517759e-22,4.44694465573199e-19,39.1745143392178
"RIMBP2",5.7834056654506,8.15896347167865,10.9643710569297,8.28883004317388e-22,5.85963119707268e-19,38.8709655597239
"CTNND2",6.07532918079442,5.55417814254641,10.9110009383111,1.18250201091361e-21,8.08082457524664e-19,38.5241240374668
"CACNG2",7.20539876520444,7.66457651584837,10.8998424854829,1.27363765458774e-21,8.42285340538817e-19,38.4516485967047
"APLP1",6.04453018267572,7.49544361610992,10.8821135048911,1.43305601549601e-21,9.18096292927614e-19,38.3365264689188
"KIF1A",6.46963707815348,8.85290389731406,10.8605009121623,1.65454142814234e-21,1.02787132782867e-18,38.1962360012256
"NOL4",6.4085317067015,6.83427622467436,10.787291192931,2.69100039792867e-21,1.62259409288046e-18,37.7214348911605
"SYN1",5.06195609085386,5.89990135903753,10.7806000067969,2.81323344040233e-21,1.62584417499213e-18,37.6780716916836
"AP3B2",4.15602345917235,5.51815412458609,10.7783798516246,2.85500172185341e-21,1.62584417499213e-18,37.6636848727227
"ORM2",-6.85143297169262,-2.84199584542202,-10.7121119791006,4.43126495494588e-21,2.45528007679312e-18,37.2345456789887
"ST8SIA3",6.00974540910153,11.7447696769908,10.6686943140568,5.90856390013298e-21,3.18767022412174e-18,36.9536831112129
"SPEG",5.19608026689952,4.57595516441348,10.6609235030019,6.22063277510873e-21,3.26997929544882e-18,36.903440648125
"CPLX2",7.02074712023747,12.1945417082776,10.5886451920478,1.00362720153672e-20,5.14384031467607e-18,36.4365054090303
"OGDHL",5.25863920085526,5.93268300236757,10.5847341590317,1.02992220065892e-20,5.14986220383132e-18,36.4112591867315
"TMEM151A",6.3691256964089,7.06000971103177,10.5480316937891,1.31269620416073e-20,6.38332442414321e-18,36.1744418905277
"SPTBN4",4.25482796432676,5.34359446826232,10.5450429217616,1.33887590965396e-20,6.38332442414321e-18,36.1551654381572
"L1CAM",6.32620155347402,8.10144877753542,10.5348924705202,1.431733986554e-20,6.6709041950781e-18,36.0897081064032
"MLLT11",4.4863360535749,4.36014872086779,10.4687327615338,2.21574715833182e-20,1.00944516651024e-17,35.6634178640159
"SYT1",6.31363031767577,7.07090409649631,10.4547474390098,2.42983174743767e-20,1.08291262291782e-17,35.573385382604
"KCNQ2",6.74587547924273,10.3735091263682,10.4487827849628,2.52729564039559e-20,1.10238484944149e-17,35.5349956766447
"PTPRN2",4.9740870158863,5.32387267900273,10.4413826652659,2.65364730152598e-20,1.1333838193455e-17,35.4873741997589
"UCHL1",5.3389406981235,5.96189063638379,10.4223546992906,3.0081927832068e-20,1.25859102548005e-17,35.3649615061597
"PDZD4",4.39713799957318,4.71314047906297,10.3402099989952,5.16596449560789e-20,2.11814876248915e-17,34.8371156907158
"MAPT",5.87679319008361,4.69702087396848,10.300362787943,6.71289153245397e-20,2.65721852114612e-17,34.5814334312154
"PPP2R2C",6.32644176290667,4.74931037850877,10.2997509264285,6.73993283740296e-20,2.65721852114612e-17,34.5775092910782
"SCG3",6.18307715246074,9.80790082264067,10.2759944961365,7.87815306259084e-20,3.04735879124858e-17,34.4251938197892
"SCAMP5",3.16598425948441,3.70467113398673,10.2247246532767,1.10292588880858e-19,4.18723771230828e-17,34.0967777664222
"SCN2A",5.32484323150668,5.60701344794337,10.2175851534325,1.15579205069823e-19,4.30816233297536e-17,34.0510779579793
"RAB39B",4.1753134118244,3.92233894640996,10.1674690535395,1.60512513163658e-19,5.87619112922883e-17,33.7305181025823
"GNG4",5.48428521952654,6.30469747414331,10.117224935909,2.23008028140487e-19,8.02085541211953e-17,33.4095541669844
"MAP1A",4.61497332229368,3.88208385928808,10.0716173593804,3.00464049857917e-19,1.06203680795468e-16,33.1185760140613
"SCG5",6.13759197665712,7.60702745356961,10.0458827042858,3.55451263489253e-19,1.23510277165986e-16,32.9545447471256
"CLIP3",4.36190869090233,3.46334415913359,10.0094306651675,4.50897433727096e-19,1.5406413814732e-16,32.7223980702593
"ENO2",3.93443537475217,3.42356498467774,9.99147590403765,5.06897850453655e-19,1.70336053394661e-16,32.608137923306
"SYT4",6.09056919209618,12.1036527936337,9.9890022302776,5.15137569409736e-19,1.70336053394661e-16,32.5924004745492
"C6orf168",5.85734225190355,2.58055265087747,9.93373140322826,7.38356296650563e-19,2.40270514883066e-16,32.2410539279483
"CAMK2B",6.28689682446387,6.7142684866374,9.91558342135679,8.30898643173012e-19,2.66160204432655e-16,32.125810751616
"PCBP3",4.92134322848022,6.06100814280471,9.90068017885794,9.15464650395106e-19,2.88737550734616e-16,32.031217274098
"ATP1A3",6.03574707066076,9.11698012656476,9.87264432998639,1.09844716373886e-18,3.41200989451671e-16,31.8533796895465
"GPRIN1",4.66306843275243,2.2055087288281,9.83776121453651,1.37770311570331e-18,4.21556590672143e-16,31.6323125615667
"CPE",3.43442148734765,4.01166866026235,9.78727753060881,1.91139717409829e-18,5.68201096065386e-16,31.312785884843
"HAND2",6.33733724176292,10.572614863073,9.78719752763222,1.91238845073468e-18,5.68201096065386e-16,31.3122799078661
"PSD",5.04718405358853,5.80959606522629,9.75282575705651,2.38928233415886e-18,6.99752530465582e-16,31.0950107902618
"DPP6",6.07219121906502,9.09419844548566,9.71098807218477,3.1320290449895e-18,9.04362358469433e-16,30.8308594662253
"GRIA2",5.88456154907659,8.37444697268483,9.6965093196263,3.43933210575375e-18,9.79302048611912e-16,30.7395251692316
"FAM123C",6.81918558682594,8.40087003732213,9.66593810541296,4.19026396262681e-18,1.17677536298373e-15,30.5468144523652
"PCSK1N",6.14597381573705,7.56350122290754,9.65294433001761,4.55691101318578e-18,1.26244909028813e-15,30.464962933548
"RBBP7",-3.24443375342674,-0.379124683167677,-9.63267343541912,5.19364217427342e-18,1.41966477619706e-15,30.3373390803369
"SFTPD",5.36309235634304,1.87666617956429,9.61155947628411,5.95109803553776e-18,1.60530869508631e-15,30.2044965140905
"LOC728392",5.14737680204813,5.87047241904664,9.59503400231323,6.61980710954683e-18,1.76250215003662e-15,30.1005872159058
"C17orf28",3.41072394916624,1.80900465266768,9.55667341982323,8.4743505598962e-18,2.22734180549272e-15,29.8596010063976
"MAST1",5.08857826444087,5.53950215237177,9.53664111072256,9.63975749276252e-18,2.50157808049525e-15,29.7338779094747
"PLCB4",5.19546128933236,3.44046029820351,9.46353261802965,1.54162218017229e-17,3.95059953946401e-15,29.2757725529278
"DYNC1I1",4.76068027949559,5.3196707171253,9.41961086842248,2.04287455448239e-17,5.12716938874651e-15,29.0011106385806
"CHGA",6.14278489567536,16.370738318329,9.41900876818611,2.05076771804894e-17,5.12716938874651e-15,28.9973483852049
"CELSR3",4.83241783619954,3.39654711153599,9.38939839804935,2.47877048389855e-17,6.12256309522942e-15,28.8124255910381
"SPTB",5.67768494540759,4.16900971553089,9.3652534336167,2.89267113925842e-17,7.05983940784961e-15,28.6617800564438
"RUNDC3A",3.92749132223696,7.53189308850367,9.30220238178323,4.32667642300734e-17,1.04354345115381e-14,28.2690126588678
"SLC7A14",6.10854939848525,10.1050892112936,9.27737407851427,5.06875044672718e-17,1.2083075919576e-14,28.1145982416972
"GOLGA7B",4.37111763273925,3.98238318739407,9.27466065196644,5.15715645346797e-17,1.21525131554652e-14,28.0977313057723
"ELOVL4",4.32427794508531,3.51297832371517,9.24890576435513,6.07644954104436e-17,1.41560559137444e-14,27.9377216981566
"DISP2",5.57644985100978,4.66281147667341,9.21471986469444,7.55276825913446e-17,1.73976743910692e-14,27.7255724253761
"FAIM2",5.99530997634347,8.69895575423662,9.19214233230197,8.71811585892051e-17,1.98588992470811e-14,27.5856136159227
"DMRTC1B",5.53075005756496,5.58760893540305,9.13174166220518,1.27901318572089e-16,2.88143399125977e-14,27.2117896812951
"KIAA0802",6.34190938667367,2.46793858591269,9.12810414089803,1.30884166307273e-16,2.91658292767978e-14,27.1893050496287
"DRD2",6.36387321409992,9.50529937474835,9.08188914745623,1.75375656998918e-16,3.86599606896217e-14,26.903918852004
"CYB5B",-3.18690799243265,0.0500347325524375,-9.05844926278029,2.0339353197594e-16,4.43592638195612e-14,26.7593752681092
"FAM25A",-3.75063044410101,-1.40762319061964,-9.04768188341192,2.17713508253679e-16,4.6982575081144e-14,26.6930235149159
"REEP1",4.71792559675574,4.40606784509245,9.03976622463169,2.28875764190008e-16,4.88768962672849e-14,26.6442634566327
"RAB3C",4.85009669380523,6.91466197750864,9.02297624706816,2.54469616855419e-16,5.37822846922983e-14,26.5408902932385
"ATCAY",6.6731918445981,10.7006062324413,9.01198896065993,2.72737663321616e-16,5.70550493444535e-14,26.4732819520176
"CELF4",5.75203880770428,7.333222193249,8.97300578810466,3.48711419426816e-16,7.22114425219106e-14,26.2336540017085
"SCHIP1",4.05827828272676,1.65748071854205,8.97137826298835,3.52304393572792e-16,7.22259237263581e-14,26.2236581402373
"SGIP1",5.40037185352413,3.79231822721521,8.96386697313104,3.69368989641783e-16,7.49745906598633e-14,26.177534475042
"PDZD7",5.74546497678478,3.98401682120144,8.94708554474837,4.10518450765558e-16,8.25101839131833e-14,26.0745394517459
"LETM2",3.62323316209931,1.75072071590435,8.94072314483864,4.27283530598475e-16,8.50460161242655e-14,26.0355096819199
"CHRNA5",5.04446603302297,2.8252873249581,8.92848760205752,4.6145948306877e-16,9.09652005999313e-14,25.9604810649259
"APBA1",4.5465444536481,3.3459693971047,8.91759019532909,4.94176542440335e-16,9.64867933006601e-14,25.8936908284639
"PHOX2B",6.77518867263292,13.1375810298723,8.86421077650176,6.90886346040725e-16,1.33621330001707e-13,25.5669797427262
"TTBK1",5.098166731002,5.32021005144844,8.85795765180193,7.1850988528651e-16,1.37665151011764e-13,25.5287566632841
"SERP2",2.63389001514713,3.25591249119892,8.85337461343449,7.39449777708722e-16,1.40365369377838e-13,25.5007488456597
"RIMS3",5.24333182114596,4.48196417888687,8.85063594587642,7.52250909272649e-16,1.41485283403657e-13,25.4840150093854
"C1orf114",5.45501452136433,4.91638119668659,8.84166418686526,7.95748399908439e-16,1.48305799513845e-13,25.4292097426443
"SLC8A3",7.17439021917863,7.2094673240483,8.82903584365909,8.61237592260215e-16,1.59065152062402e-13,25.3521043426132
"PPP2R2B",4.48148084827394,4.65394011021293,8.81817451090652,9.21826884540482e-16,1.68735472856825e-13,25.2858222325992
"GGT6",-6.62795976059748,-6.71029040104159,-8.80620794348615,9.93492091363383e-16,1.79182841565504e-13,25.2128322951132
"HMP19",6.32672202001604,11.4959039726595,8.80454338770937,1.00388958550367e-15,1.79182841565504e-13,25.2026824338684
"HAGHL",4.96696664472731,2.50648309290676,8.80434706373009,1.00512300765977e-15,1.79182841565504e-13,25.2014853706144
"NEURL",5.79292617193885,5.16654009872316,8.80002059707071,1.03268969655621e-15,1.82510098871542e-13,25.175107888994
"SLC22A17",3.94955068937746,4.52871781711138,8.77757115654078,1.18824766814408e-15,2.0820739696258e-13,25.0383206922046
"HMGA1",3.14154807896669,-0.884482075277082,8.74277895728829,1.47648783548085e-15,2.56520992501634e-13,24.8266007625712
"DBN1",3.34100701237207,0.758114229604505,8.72028571612689,1.69876437874471e-15,2.92658559064247e-13,24.6899015682244
"SCRT1",5.55730718474444,8.27369885544302,8.71596539737212,1.7451148370892e-15,2.98138327293048e-13,24.6636616282207
"PLCD4",4.33713025342233,3.57755141796854,8.70521884579933,1.86592699670796e-15,3.16143548425702e-13,24.5984138756168
"TPD52",3.43672709925942,-0.0953596349284299,8.69488197096712,1.98995806452735e-15,3.34394510498978e-13,24.5356840211862
"RDX",-3.54514841188927,-0.0461265642624681,-8.68621811773669,2.10019519225516e-15,3.50049606800188e-13,24.4831301265149
"GSTA4",-3.32716274948189,1.54783896175334,-8.67085202476128,2.31082515537582e-15,3.82050213793224e-13,24.3899733438084
"ICA1",4.44863663088233,1.89993283737354,8.66842795455276,2.34591593842687e-15,3.84748981229514e-13,24.375283543605
"TMSB15B",3.76291272914467,0.953662010669867,8.66621897585133,2.37835347937303e-15,3.86973211751004e-13,24.3618986429841
"LACTB",-2.02934648995021,-0.554781256736984,-8.65828080164799,2.49863905556468e-15,4.0334330140261e-13,24.3138101685239
"KIAA1409",5.07312938035854,6.72138814157868,8.65413615916836,2.56382213167934e-15,4.10632168137173e-13,24.2887095576105
"LDLRAD1",-4.7310702381359,-1.72364425295913,-8.6519531477686,2.59883034687346e-15,4.13012565436068e-13,24.2754908615592
"UNC80",3.97348692762039,8.3744779011307,8.64770184916553,2.66837453583318e-15,4.20802664300892e-13,24.24975205252
"DDC",6.13597667583432,10.5763594260209,8.64532721663205,2.70802046008406e-15,4.23794866047201e-13,24.2353774632167
"MCF2L",3.79706393999262,2.11028286741056,8.62207566243382,3.1284719630768e-15,4.85884876629071e-13,24.0947118742295
"DDX25",5.07868909683936,6.40037677569614,8.60820289539347,3.40955690314695e-15,5.21834498884845e-13,24.0108593926416
"LOC283174",4.93262147389305,3.94386055112677,8.60814176578078,3.41084936591236e-15,5.21834498884845e-13,24.0104900239654
"SCN3B",5.26931549923988,7.27734811886694,8.60523683777035,3.47283211810297e-15,5.27381712986881e-13,23.9929385742417
"RAB9A",-2.43641232120142,-0.84897702083681,-8.58258880456968,3.99600015686482e-15,5.99995317688806e-13,23.8561839585027
"IQSEC3",5.41329339726467,4.80327530752781,8.58177636584895,4.01615467776331e-15,5.99995317688806e-13,23.8512810139079
"GNB5",2.37219189814438,1.6587253832566,8.58086850096418,4.03879585586338e-15,5.99995317688806e-13,23.8458024142563
"SRCIN1",6.17074464569607,3.22784320117353,8.57859660928108,4.09601108504534e-15,6.04117433485715e-13,23.8320935133577
"MGC16703",4.88443823598135,4.59361435963005,8.53847743460219,5.24972488239533e-15,7.68747212957048e-13,23.590257800098
"KCNQ5",6.68481066893711,4.38486665892386,8.52393427197743,5.74321123107634e-15,8.35046620200681e-13,23.5027095531035
"C14orf132",4.59138320941643,4.64997280762048,8.51347835118713,6.12619247717019e-15,8.84458253341311e-13,23.4398047676353
"SEZ6L2",3.26210977903295,4.27081698811962,8.50321694811689,6.52666542597987e-15,9.35686488797297e-13,23.3781018346604
"C6orf174",3.44775500360699,4.99236201811352,8.48183873286492,7.44632415262415e-15,1.06011869064547e-12,23.2496532595975
"FAM57B",5.25559218111217,7.16434501716584,8.47804132175924,7.62263647721646e-15,1.07773565806493e-12,23.2268512670193
"LPAR3",-4.91644715463767,-4.5249344867466,-8.4740531257862,7.8122671823159e-15,1.09698143496341e-12,23.2029083493074
"TMEM63C",4.04272996812306,5.69444098151754,8.46169017586367,8.43035042671137e-15,1.17571846325177e-12,23.1287184804574
"CADPS",5.98093296901849,7.1591938715234,8.44010144151471,9.62817229049147e-15,1.33369702788761e-12,22.999275573781
"CLGN",5.43015170603119,5.09732323417556,8.43353013188804,1.00252299124437e-14,1.37937743916113e-12,22.95990303126
"CKMT1B",3.90137624871394,2.21331925773851,8.42313653728996,1.06866545280662e-14,1.46058069653256e-12,22.8976558056728
