"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SIM2",3.03671509218751,3.90377515349002,18.4022947972085,2.83764958802679e-59,5.81746542041373e-55,123.909680162352
"EPHA10",2.31022509244104,2.67987762646523,17.6914213179287,9.14591157219098e-56,9.37501665707437e-52,115.928052670231
"HOXC6",4.02221965282871,2.10685628576552,17.5363749106441,5.2677694385129e-55,3.5998180419651e-51,114.198003252532
"PYCR1",1.5940059822591,2.2241451244539,17.4639642730289,1.19157756652674e-54,6.1071329228412e-51,113.391454270932
"HPN",2.86680390715587,4.89407088578461,17.2866042987437,8.76318248143416e-54,3.59308008103763e-50,111.419887728956
"SLC19A1",1.60580852717368,1.1917867014526,16.948619726856,3.86181860425669e-52,1.31951905343111e-48,107.679094746397
"LRFN1",1.64784911822023,1.2045460240314,16.6045627932162,1.77895342898347e-50,5.21004632108429e-47,103.894502825428
"MARCKSL1",1.5729106071223,1.08586901496814,16.4153725799597,1.44583512327433e-49,3.54824247529341e-46,101.824136054194
"CGREF1",2.3843603376878,2.19451485262846,16.4086308679419,1.55768900432373e-49,3.54824247529341e-46,101.750504921396
"NKX2-3",4.77968845769268,3.14636482859442,16.2620204578256,7.85484310628362e-49,1.61032138521921e-45,100.151800847844
"DLX1",5.79342885276638,4.56082229970588,16.1574736328531,2.4824276808973e-48,4.62656817146141e-45,99.014788392978
"SBK1",1.64242222410776,1.19097849111819,15.9492360128258,2.4371874760791e-47,4.1637317039248e-44,96.7577748440333
"DLX2",4.77456095492994,2.7680469462848,15.490901150046,3.5785651211869e-45,5.64339719611175e-42,91.8280182732797
"LOC100128675",3.32886196132122,1.97689371791854,15.4519196648906,5.45627585353846e-45,7.989936519528e-42,91.4112598312394
"RAB17",1.60647844958908,1.71914765459888,15.4351944623051,6.53791416500733e-45,8.93558521978769e-42,91.2325724313418
"STX19",2.16267795278033,4.390565530042,15.211792610818,7.26703520466631e-44,9.311343045679e-41,88.8531239220447
"TRIM36",1.88069755191513,4.08386535824247,15.1729062280082,1.10356318270389e-43,1.33083228285956e-40,88.4403600255317
"HOXC5",3.35296893827407,0.735034759207915,14.9459927614841,1.25255249536283e-42,1.42658770596852e-39,86.0403694003323
"ULK3",1.05139675576985,0.485982860953855,14.7881360688563,6.72744627025146e-42,7.07567496869365e-39,84.3796551632926
"PODXL2",1.81040107808631,2.24098379670243,14.7857147931855,6.9027608103933e-42,7.07567496869365e-39,84.3542404386367
"TRPM4",1.8601301845684,3.58833984513197,14.3129063421122,1.01284839501895e-39,9.88781187918265e-37,79.4262754054145
"HOXC4",3.34653947647009,0.596186847036288,14.2275504460772,2.47370625657817e-39,2.30515690755042e-36,78.5442500017515
"MSL3L2",1.35296329395781,1.68108650057659,14.1083935049071,8.56965910580957e-39,7.63854701426965e-36,77.3169832787869
"SMR3B",-4.03419906434828,0.286842935756403,-14.0852168173196,1.09063836379276e-38,9.31632379004805e-36,77.0788269101936
"PCSK6",2.01817139359864,0.783836720010408,14.0208564891969,2.12842560096889e-38,1.74539412981853e-35,76.4184366573682
"SDCCAG3",0.835018738360882,0.0705159599534674,14.0001895529909,2.63737593005607e-38,2.07957092084921e-35,76.2066767581728
"EZH2",1.71417023220402,-1.417095249367,13.9153824173867,6.34738940470026e-38,4.81954926613926e-35,75.3392569447239
"DND1",0.806031682058893,0.303933335382326,13.7138290938525,5.06636453297962e-37,3.7094835460934e-34,73.2878414052037
"RAB3D",1.01836620431069,2.02858686888228,13.6936453696672,6.23286541100847e-37,4.40620599279602e-34,73.0832066396289
"QSOX2",0.938592286398246,0.00923667603054519,13.6086225854492,1.48959766121811e-36,1.01794138842108e-33,72.2228099456219
"SAMD10",1.08160299002179,0.749069903029707,13.6046579803424,1.55126154206495e-36,1.02588428625399e-33,72.1827537953524
"ICA1",1.01604140669866,1.98677573024632,13.5778330953636,2.04085081256577e-36,1.30748382838784e-33,71.911881056754
"TMEM132A",1.87509154408886,-0.0425780906813518,13.5545127212366,2.58988988511031e-36,1.60894947074686e-33,71.6766104335328
"GOLM1",2.14071402842462,2.85319171511937,13.5495885140801,2.72344361937686e-36,1.64215640120133e-33,71.6269574778236
"PKP3",1.01223582250983,2.51636143218523,13.5204666885896,3.66592756303946e-36,2.14729088485348e-33,71.3334918980574
"TARP",2.86909899302571,9.36972838907722,13.4767056766398,5.72628298648725e-36,3.2609590973882e-33,70.8930945990402
"SLC25A22",1.0600615580855,0.461876027868463,13.4399359762377,8.32489197070457e-36,4.6126651430112e-33,70.5236063287579
"PIK3C2G",-4.40639268790841,-0.261499860760036,-13.4341061772582,8.83331249632288e-36,4.76557209176619e-33,70.4650707159834
"MCF2",-3.38562635737118,0.676978631706597,-13.3569010358427,1.93440044733352e-35,1.01684983514832e-32,69.6910768114768
"GNL3",0.901784326615934,0.95011070790668,13.3401898301747,2.29141054004692e-35,1.17440518703755e-32,69.523840615366
"PMM2",0.795455647969203,0.315573710036778,13.3310294674456,2.51422358430952e-35,1.25717311468121e-32,69.4322139130489
"LOC145837",2.65315792750431,5.23842985090298,13.3114462790783,3.06558666150707e-35,1.49637124160849e-32,69.236439755101
"YPEL1",1.12299249686294,0.787286378380377,13.2368773152115,6.51358273034091e-35,3.10546417569114e-32,68.4923120083428
"SNHG3",2.20625739554443,0.220543670410044,13.2080287655156,8.71357002211102e-35,4.05992952325677e-32,68.2050045129461
"NDRG4",-2.22472598012996,-1.59353837822244,-13.1870663530308,1.07631157162066e-34,4.90343633995449e-32,67.9964383918924
"C19orf48",1.67005789859387,2.34573342422398,13.1468055623919,1.61410304123805e-34,7.19363618443939e-32,67.5963415088508
"POLR2H",0.898385028597961,0.0657198035982444,13.1061026139462,2.42984200484403e-34,1.05164988139096e-31,67.1924942006569
"SLC27A4",0.879998411580046,0.228800639908918,13.1047819367654,2.46227961108073e-34,1.05164988139096e-31,67.1794015617969
"HJURP",2.63913538176857,-1.54223111470284,13.0853486576948,2.99260521697869e-34,1.23136497397887e-31,66.9868275080693
"TRAF4",1.06075735255767,0.434579778518045,13.0849969997736,3.00318270810905e-34,1.23136497397887e-31,66.9833441239489
"SMPDL3B",1.87069995637472,2.02071957658826,13.0825011502845,3.07933292061235e-34,1.23783145500929e-31,66.958622627703
"ADRBK1",0.751396140127644,0.935998194862308,13.055391015458,4.04121473739591e-34,1.59324891021834e-31,66.6902539732336
"CSK",0.612690575047687,-0.0383337716490553,13.0472748088797,4.38359762971882e-34,1.69562518880878e-31,66.6099665429156
"RAP1GAP",1.88387222671688,2.15422046158587,13.0402937773779,4.70111109784107e-34,1.78476812253407e-31,66.5409294112663
"ESRP2",1.08745106058534,1.22216709281731,13.0375474349463,4.83220920680135e-34,1.8011840172479e-31,66.5137754546048
"TMEM120B",0.944439533114307,0.29468680837274,13.0324768195306,5.08389946238137e-34,1.86116112282644e-31,66.4636485399423
"BIK",1.46128087606106,3.22191432786703,13.0122984142779,6.22164771120441e-34,2.23771929346319e-31,66.2642707827685
"C2orf88",-2.66886326074018,-0.649338789728379,-12.9862112198915,8.07593911602746e-34,2.85456599685653e-31,66.006750146546
"GAL",3.43313786087637,2.3605322733887,12.9786052178146,8.71366906790963e-34,3.02777846713924e-31,65.9317184076613
"SLC45A2",4.70168818705587,3.2727040096573,12.9338745218684,1.36181106360915e-33,4.65308143584188e-31,65.4909279575934
"SGEF",1.58982310629532,3.12372893046011,12.9306699739163,1.40603384169609e-33,4.72542619485434e-31,65.4593801958547
"ARHGEF38",2.06085199568775,4.78809201034468,12.926563737268,1.46479647243186e-33,4.84351491634283e-31,65.4189616414789
"SLC26A6",1.3591101209094,0.734268820174496,12.9028894503626,1.85454803940577e-33,5.96734809726217e-31,65.1860633236527
"SERPINA5",-3.54005293077512,-1.00978532022081,-12.9024390820547,1.86288609445773e-33,5.96734809726217e-31,65.181634972406
"TMEM184A",1.36502322729932,2.7367508714052,12.8084494446502,4.7422756400167e-33,1.49571373686127e-30,64.2592632050921
"MOGS",0.68472664762671,0.502583100559693,12.7631798264987,7.42813001056785e-33,2.27450384424933e-30,63.8162967953068
"LRRC56",1.26959598740567,1.42731769729454,12.7631084644524,7.43338166746524e-33,2.27450384424933e-30,63.8155991786205
"SYNGR2",0.888998123784535,1.48820621532014,12.7454746167918,8.85122907378245e-33,2.66851540061197e-30,63.6432797497385
"HIST3H2A",2.00013472990731,2.02511973865618,12.7368697283842,9.63785243220295e-33,2.86355960453033e-30,63.5592387287549
"QPRT",-2.213115201686,-2.28365038951037,-12.7010493900632,1.37329379517904e-32,4.02198515642363e-30,63.2097235116438
"GSTM3",-1.85395368393715,0.172907752960839,-12.6918088680754,1.50451728165484e-32,4.34424067481771e-30,63.1196460908404
"SLC2A9",-2.0381518483441,-1.0044298055253,-12.6434388899034,2.42443090937573e-32,6.90323028793219e-30,62.6487128646668
"TLCD1",1.41406932421986,0.983137492946318,12.5721581008622,4.88870935596136e-32,1.37292370556937e-29,61.9565091197664
"VAV2",0.868855502126109,0.0960861324715952,12.5690901141638,5.03828722851915e-32,1.39580981718745e-29,61.9267642337105
"NOC2L",0.617208385798394,0.291691043125739,12.5473462640536,6.23731069835955e-32,1.70494808836092e-29,61.7160666685797
"APOBEC3C",-2.41507628383169,-0.89456658746524,-12.5457125194577,6.33811407805985e-32,1.70970627255664e-29,61.7002438185727
"ZIC2",4.8983542748303,1.27099597121241,12.5426321826066,6.53260588284991e-32,1.73346041533107e-29,61.6704137797481
"EFNB1",-1.31353333116842,-1.19462747721113,-12.5416589258548,6.59528376156399e-32,1.73346041533107e-29,61.6609895823316
"AMACR",3.07877088106633,3.37484787934624,12.5220532157391,7.99347867670469e-32,2.07435830824206e-29,61.4712303087531
"MYBL2",2.63807920855533,-2.37927659079383,12.5026973650639,9.66282911483788e-32,2.47622074604114e-29,61.2840501933775
"AQP2",-4.6491648282262,-0.319707061527365,-12.4992051444159,9.9990328487269e-32,2.53074286952778e-29,61.2502958376893
"FOXA1",1.74270429332318,6.91764711082714,12.4864892075346,1.13246406438993e-31,2.83129826634854e-29,61.1274329775169
"VARS",0.712692861588275,-0.267027613048519,12.4719149996116,1.30603570197851e-31,3.22590818388693e-29,60.9867005271463
"EIF3B",0.707658863482418,0.147038290975459,12.4633219861134,1.42053220643635e-31,3.46694413858947e-29,60.9037668250849
"LETM1",0.702642706016845,-0.192560715343905,12.4416312549538,1.75595834883281e-31,4.23516495404958e-29,60.6945644919587
"NUDT19",0.763821274155412,0.814985840818189,12.4357475716228,1.85982250021056e-31,4.43351407869962e-29,60.6378526152858
"PDCD2L",0.810407193922304,0.145988365724398,12.3808489888484,3.17706847111715e-31,7.48656100303134e-29,60.1094156473658
"NUP210",1.28971301458808,0.251789333502095,12.3495971051565,4.30684220600288e-31,1.00334740983256e-28,59.8091792513842
"EPCAM",1.2321588613128,2.43369228612964,12.3249054263151,5.47550711205427e-31,1.26127383487893e-28,59.572268121941
"C9orf140",1.53119295013458,1.2260485417235,12.3094859405887,6.3602979117182e-31,1.44880519431261e-28,59.4244570260426
"DBNDD1",1.46417924398422,0.542809250080989,12.3069640110203,6.51797818312031e-31,1.46840737068296e-28,59.400291750201
"ENTPD6",0.871213123297935,1.27233968129533,12.2876472189544,7.86204003817773e-31,1.75195307415958e-28,59.2152898189192
"LOC100130872",2.95390476979252,3.97199642001772,12.2729592795349,9.06564870441017e-31,1.99843939880766e-28,59.0747295363386
"SPTBN2",1.21034941068134,2.41150598113234,12.2595829224163,1.0320540870121e-30,2.25086604657821e-28,58.9468035976265
"C8orf84",-2.34289493220766,0.52540346729991,-12.2571776148214,1.05638740399152e-30,2.27968401781369e-28,58.9238086156822
"KIF9",0.958077788727672,0.548955875895751,12.2447892654753,1.19105504068041e-30,2.5435228530197e-28,58.8054152794134
"MAZ",0.965401400227861,0.848500463709508,12.2394201268749,1.25460405369248e-30,2.65161213451026e-28,58.7541244420227
"POLD2",0.801565347294081,0.394301337092591,12.2192785517096,1.52455740916373e-30,3.18928075972099e-28,58.5618279303851
"RGS10",1.27001348802428,1.61901534140638,12.2131077196937,1.61829869466013e-30,3.35118601406337e-28,58.5029495462312
"LRTOMT",0.728536074314078,1.42754236349164,12.2080212244421,1.69986453883398e-30,3.48489229106355e-28,58.4544299845361
"C9orf7",0.898441320201592,0.85781583693069,12.2031789534724,1.78131177370004e-30,3.61571016560639e-28,58.4082507499185
"C17orf28",0.897464302691914,3.19352600256123,12.1826722223877,2.17153890477673e-30,4.36458030263017e-28,58.2128002311397
"B3GALT6",0.964929346628969,0.453072627709831,12.1500439075109,2.97494425464475e-30,5.92129438490019e-28,57.9022056166157
"TTLL12",0.921395337613118,0.908386671331158,12.1451464463359,3.11875432227648e-30,6.14784445778751e-28,57.855626983851
"LASS4",1.04831021625283,2.16530464265068,12.1393152971559,3.29902902707742e-30,6.4412756270585e-28,57.8001822937628
"C17orf70",0.721875011489234,0.0918728460066422,12.0932119232191,5.14171952440763e-30,9.94437660093215e-28,57.3623531544466
"SMARCA4",0.608630447128474,0.11658345834662,12.0883179481228,5.38941858319435e-30,1.03260252686044e-27,57.3159328980089
"PPP1R14B",1.33168942538686,-0.235335210041874,12.0810597542417,5.77880453221224e-30,1.09695621958225e-27,57.2471075290342
"B4GALT3",0.624167893878591,0.307450654438658,12.0726248519892,6.26661153821164e-30,1.17864039582456e-27,57.1671540464543
"ARVCF",0.881928627721346,1.06555486500965,12.0574058752483,7.25268648214118e-30,1.35170295973069e-27,57.0229766512997
"CCDC108",2.26051772907406,3.04816767817175,12.0425001459624,8.36786420805733e-30,1.54549174891336e-27,56.8818687208285
"CLU",-2.01057907346669,-0.564783619198811,-12.0056907647037,1.1907498882863e-29,2.17524572386378e-27,56.533838970066
"SPDEF",1.97976905520285,8.49080755507115,12.0048060117778,1.20088031360699e-29,2.17524572386378e-27,56.5254813102668
"NME1",0.991580666460914,-0.181526923669065,12.0040512720269,1.20958983718097e-29,2.17524572386378e-27,56.5183520793632
"CRTAC1",-2.849218097996,-0.548498480957153,-11.9925856323152,1.34989930330157e-29,2.40645961886831e-27,56.4100803026586
"TOR2A",0.771121569490375,0.325241733280736,11.9768234508937,1.56957850219452e-29,2.77395938564567e-27,56.2613338769613
"SLC25A10",1.07966107661575,1.06044167147653,11.9709588523262,1.66009932454559e-29,2.90886292756488e-27,56.206019213195
"GPRC5B",-1.75638401728398,-1.04418909891355,-11.9673295929785,1.71870004937553e-29,2.98602285697015e-27,56.1717960889825
"CA14",-3.22607261093249,0.0675388960147514,-11.9593143786015,1.85551338122517e-29,3.19662855701657e-27,56.0962358017049
"SLC4A5",0.927814806474435,0.0863498521723047,11.9532116860219,1.96690032207736e-29,3.36028529190899e-27,56.0387248664653
"DNAH5",2.55150041544627,3.50775164580267,11.9443817549428,2.13994192956188e-29,3.62569830561554e-27,55.955543148015
"ONECUT2",3.18534427538677,1.44158425653562,11.9420605643923,2.18789204608502e-29,3.67655531449091e-27,55.9336825024369
"TRIM27",0.563897348733417,0.316599855961192,11.9192305946094,2.72034548896841e-29,4.5341303145806e-27,55.7188054691806
"LMX1B",2.8557528528111,1.12918944908518,11.9121563720358,2.91015183574736e-29,4.81137280521425e-27,55.6522713148942
"MICALL1",-0.824358985647694,-0.366007604524653,-11.906877995188,3.06030573172271e-29,5.01914622448378e-27,55.6026424453383
"C2orf79",1.03856794466318,0.977422045617823,11.9003935357866,3.25535809840397e-29,5.29667431550634e-27,55.5416912828173
"NETO2",2.05851594893288,-0.84270628406352,11.8827356225633,3.85148226893978e-29,6.17418256078755e-27,55.3758131963157
"RSAD1",0.537994238986098,0.296711215114916,11.8825431038098,3.8585467980858e-29,6.17418256078755e-27,55.3740054761964
"AOX1",-2.65859522882336,1.82944876089442,-11.8818245653287,3.88502780518801e-29,6.17418256078755e-27,55.3672586674567
"RHPN1",1.60562736367672,0.435584604494298,11.8132373959049,7.4549908117648e-29,1.17565205101531e-26,54.7243576105805
"FAM136A",0.597545866213742,0.160444856738902,11.8076224181749,7.86280502933479e-29,1.23049897638468e-26,54.6718230138376
"PVRL2",0.79921809264755,1.01729273329562,11.7878435146073,9.48427104816203e-29,1.4730078845331e-26,54.4868863519235
"GLRA4",-2.32714680756659,0.0787719764605419,-11.7846528090435,9.77534548741281e-29,1.50679968298835e-26,54.4570698347272
"C16orf59",1.5314227898912,-0.788187142808401,11.7807251407689,1.01458786556949e-28,1.55224371880896e-26,54.4203731189432
"DUS1L",1.06266977677273,0.960977656800251,11.7767523952185,1.05348766947791e-28,1.59981857125678e-26,54.3832626229625
"CAMKK2",1.55728575929235,2.17447871751791,11.7725016676733,1.0967534866656e-28,1.65327523750966e-26,54.3435636481128
"HN1L",0.70078007671778,1.11101742317777,11.7590200674948,1.24601374051189e-28,1.86456406527257e-26,54.2177107601691
"KCNJ15",-3.02072046539551,-1.87521870597778,-11.7530789719061,1.31804706622421e-28,1.95806397859873e-26,54.1622768941191
