"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SLC7A13",-5.60102605318139,-0.812731652598317,-10.4916461933907,1.0162861621805e-21,1.39436400807364e-17,37.8520344826666
"CLDN8",-8.0199818169523,-4.21454393471763,-10.4524686079098,1.36028877427797e-21,1.39436400807364e-17,37.5767618498408
"MCCD1",-5.93645679308155,-1.06696575257847,-10.3910986313574,2.14581833968423e-21,1.46638072606221e-17,37.1463488806919
"SLC22A24",-4.07048081980537,-0.629691823057539,-10.1418808935204,1.35098855251146e-20,6.92415407875936e-17,35.4087161580254
"TMEM174",-6.7669351937872,-0.862406517505996,-9.59121719267961,7.35622793530111e-19,3.01620057803216e-15,31.6322578737304
"UMOD",-8.96414959709488,-1.10608151726253,-9.40544055169327,2.76959431702997e-18,9.46324218223855e-15,30.3794775042438
"SLC22A6",-7.69090241619673,-1.15426437666871,-8.91329042081012,8.73458929841759e-17,2.55811164581227e-13,27.1179740083795
"PRODH2",-6.9165114955972,-1.37178199449265,-8.49215768231842,1.55193725612185e-15,3.97703321096926e-12,24.3989251746687
"SLC22A8",-7.60824178629859,-0.768466232313851,-8.24817118923678,7.94093331341944e-15,1.80885637620458e-11,22.8565492380093
"SLC34A1",-7.73591697085834,-1.30063773559925,-8.21266360485695,1.00483502179215e-14,2.06001227817609e-11,22.6341983683923
"TMEM72",-6.75254728235927,-1.39213946773907,-8.12398032247881,1.80434173041899e-14,3.36280089230179e-11,22.0812605709881
"AQP2",-9.13718216900693,-1.76867971882332,-8.09860470236509,2.13193267823078e-14,3.64222931970077e-11,21.9236820034567
"NPHS2",-7.10665227998483,-0.46304211006754,-8.0819732672667,2.37788507479681e-14,3.74992476295457e-11,21.8205586929517
"SLC17A1",-6.41435954958478,-1.21772644143573,-8.04809899452191,2.96890414927102e-14,4.34753599744322e-11,21.6109031532485
"FXYD4",-5.50963789745525,-1.5613835895989,-7.98669034450662,4.43373174253811e-14,6.05972896358491e-11,21.2321474110611
"OR2T10",-3.52646154562967,-0.511874371936164,-7.9247293789985,6.63323831237798e-14,8.49925116512881e-11,20.8517222523006
"KCNH6",-6.47932637549233,-2.24879980566231,-7.08455305882499,1.29400563796482e-11,1.56049468140686e-08,15.876249385971
"TMEM213",-6.65366346954904,-2.5777073690047,-7.00390727728506,2.10508307305044e-11,2.39757267114483e-08,15.4176839088285
"PBLD",-4.42424431473697,-1.2886413682018,-6.97305012904857,2.53347658049404e-11,2.63991371470236e-08,15.24315489315
"UGT1A8",-5.05593487825719,-1.84921596332745,-6.96455782198454,2.66573360225174e-11,2.63991371470236e-08,15.1952130520466
"TUBAL3",-6.77708945397554,-2.55785370159071,-6.96216751387394,2.7041699433564e-11,2.63991371470236e-08,15.1817260774947
"PIPOX",-5.34704840746508,-0.439414508751318,-6.83603062313911,5.7297904729619e-11,5.15530460474284e-08,14.4744710067909
"GHRHR",-2.85466059387222,-0.868023398254202,-6.83444736579808,5.78371815565511e-11,5.15530460474284e-08,14.4656495698154
"GGT6",-8.47684502055258,-6.33260568792634,-6.80129582401924,7.03479659769919e-11,6.00918187705963e-08,14.281260512155
"SLC10A2",-5.24580833950681,-1.05065965389493,-6.79407606462659,7.34068141022179e-11,6.01965238363828e-08,14.2411857152728
"HTR3B",-2.9441077384018,-0.70664981769862,-6.78550374959106,7.72088924802828e-11,6.0879211720703e-08,14.1936412463939
"SLC22A12",-7.34283496703187,-1.00957866926843,-6.69630374764526,1.30250920267354e-10,9.88990413481861e-08,13.7013731072287
"CYP4A22",-4.5212590746958,-1.03251715732849,-6.66786693790247,1.53731597803547e-10,1.12558981663233e-07,13.5453888456166
"SLC13A1",-6.66852391458472,-0.84709061938071,-6.59444355960662,2.35326198546488e-10,1.66359392979364e-07,13.1447854280156
"AGXT2",-6.88375832035028,-1.26808976894566,-6.582967940082,2.51446548678481e-10,1.71830189815251e-07,13.0824547333107
"IYD",-6.77818506616801,-4.766479416654,-6.57519040344898,2.62983701220166e-10,1.73917059958537e-07,13.0402538744339
"UGT1A9",-7.60566130292931,-3.60170507567519,-6.55015516654976,3.03765087691093e-10,1.94609001961097e-07,12.9046515975692
"LOC340094",-2.71198202239247,-0.0979764854335367,-6.47264942623587,4.7352172345185e-10,2.94171783408678e-07,12.4871680505133
"TMIGD1",-3.34077289037436,-0.496798369977286,-6.38337259195718,7.86107372451518e-10,4.73999624783193e-07,12.0106746976581
"C11orf54",-2.90543403362678,-0.861812109027857,-6.36379648352227,8.77956580755533e-10,5.1425679605912e-07,11.9068269386718
"TMEM207",-4.86735952717663,-0.273069227863504,-6.32833055864816,1.07191387253408e-09,6.10425175022808e-07,11.7192724465759
"ACSM2B",-7.61629551254091,-1.14654148806384,-6.31300762083074,1.16817871641381e-09,6.47265726086475e-07,11.6384745368038
"BSND",-4.82146211289613,-0.969243557414978,-6.29322529930199,1.30507603284933e-09,7.04088519722212e-07,11.5343721840588
"ANGPTL3",-6.33687313348424,-1.45042832815354,-6.2685262057775,1.4982251463852e-09,7.87567018616485e-07,11.4047289015535
"ACMSD",-6.19763244796307,-2.22106935561737,-6.24419452284736,1.71580050206848e-09,8.79390652322648e-07,11.2773770148076
"SLC13A2",-6.34054027888023,-2.94615084627097,-6.22623074998867,1.8960167524867e-09,9.48054620554387e-07,11.1835866096848
"ENPP7",-5.22925526299807,-1.43065184317652,-6.21097589065076,2.06351817004133e-09,1.00724252390517e-06,11.10409476497
"SERPINA4",-6.4970189447516,-2.46608156921478,-6.19497584881644,2.25477315969304e-09,1.07500243132249e-06,11.020873252512
"UGT1A6",-9.15028803476362,-4.78836638333755,-6.09048110820381,4.00678524414434e-09,1.86688873386825e-06,10.4812498986007
