"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NCRNA00200",-8.90369595088072,-0.392783130930003,-9.3583021397102,1.75612135789511e-15,3.60022439582076e-11,22.5607680530555
"DEFA4",-3.957512117,-0.451164004533457,-7.84400514851993,3.93259886410429e-12,4.0311104656501e-08,15.9568428698497
"RBMY1J",-5.39745038539752,-0.058858743579476,-7.69292151110498,8.37310536551788e-12,5.72190110328273e-08,15.3044986954976
"RBMY1B",-3.48269190708245,-0.0836352507060346,-7.61347316066387,1.24408426541402e-11,6.37624288131322e-08,14.9623750391023
"CELA1",-4.33421321640012,-0.620742662389122,-6.1577496366033,1.39078260437204e-08,5.70248683444622e-05,8.86739462163999
"PCDH11Y",-4.32342330272102,-1.43095934921299,-5.87730359610092,5.02993613151894e-08,0.000156606369352621,7.7470224878598
"RBMY1E",-3.81744893127554,-0.0454760629811254,-5.86381032673882,5.34727372063971e-08,0.000156606369352621,7.69369148874291
"CHIA",-3.80351745250866,-1.67126529472643,-5.49803408493366,2.73771002152785e-07,0.000701572414391781,6.27000736231934
"MDS2",-5.84489913507929,-1.41394995171631,-5.44813655501914,3.40735473796765e-07,0.000776157549811943,6.07927856066742
"FCRL4",-7.18505944683839,-1.27923321478019,-5.37689449048286,4.6488284980959e-07,0.000807625892352409,5.80850378733417
"NOL4",-4.49898541958459,-3.41363886177174,-5.37590081217808,4.66894878870971e-07,0.000807625892352409,5.8047400597765
"OR10G2",-3.14999332883932,-0.296835376758085,-5.37304080929292,4.72733559739959e-07,0.000807625892352409,5.79390932376418
"RBMY1A1",-7.37371415473455,0.0401276641491536,-5.31509877480524,6.07640890631274e-07,0.000935050981850847,5.57513435805587
"FAM177B",-7.60482933798086,-2.32702689925207,-5.29374617108167,6.66305449810318e-07,0.000935050981850847,5.49482745089037
"CHST4",-6.33368920815145,-3.05116963279249,-5.28106350878625,7.03733370081854e-07,0.000935050981850847,5.44720937399986
"P2RX2",-6.69487735528678,-1.90718945008531,-5.27262697781755,7.29760290210895e-07,0.000935050981850847,5.41556745706455
"FAM151A",-8.48981896533117,-2.19136615804221,-5.22630522599013,8.90316733753514e-07,0.00107366960933416,5.24231770999128
"IL21",-3.78504381579254,-0.249526949466831,-5.20771247942622,9.64045332956797e-07,0.00109335168666486,5.17301050690452
"DNAJB3",-5.10685551898611,-0.862246781899033,-5.19114724037087,1.03473195433874e-06,0.00109335168666486,5.11137427382546
"FCAMR",-10.0288249124164,-2.00929928951417,-5.18403024976807,1.06663254150027e-06,0.00109335168666486,5.08492615306656
"HEMGN",-5.49386714360932,-1.09235478475393,-5.10322034838934,1.50338760941823e-06,0.00146766425622301,4.78602480264726
"CCR9",-5.89900268975591,-1.65409314395214,-5.06797895686975,1.74454181470508e-06,0.00162567507923949,4.65649279018369
"OR13C3",-2.07767665477546,-0.14431811998703,-5.02293797948393,2.10816678326854e-06,0.00187910987929514,4.49167971054216
"CR2",-12.9940204997811,-2.78370456465835,-4.8232784688247,4.82495474051219e-06,0.00412151654730169,3.77137466866046
"NPHS1",-8.05497182650338,-1.65277070761538,-4.7699292998824,6.00047963117713e-06,0.0049206333167505,3.5818432126012
"SPIC",-4.73712003411298,-0.917828847239916,-4.67901272873082,8.67296586534433e-06,0.00683863358482401,3.26180411461257
"CLEC17A",-7.38879506519327,-0.824422193383994,-4.64640127798092,9.88822817885807e-06,0.00750111464436795,3.14793195364626
"SAMD7",-2.50507163802823,-0.388007967962827,-4.63035946158387,1.05450327706275e-05,0.00750111464436795,3.09209909998674
"C13orf30",-7.37956959642367,-1.04548546019866,-4.62880647469452,1.0610815310798e-05,0.00750111464436795,3.08670038966175
"FBP2",-4.03014482468525,-1.18448439147021,-4.57354624546123,1.32283833972108e-05,0.00903983626754063,2.8953370655246
"SNAP91",-7.08337182854584,-3.26997031092163,-4.50708676512134,1.72096172730772e-05,0.011381108506947,2.66712153800156
"VPREB1",-2.49439653440152,-0.296022301869271,-4.4927137320834,1.82117700725246e-05,0.0116674843205258,2.61804685517982
"AICDA",-7.88208388228147,-0.845451169818201,-4.43855492573894,2.25191991132155e-05,0.0139898818490919,2.43403863548266
"FCER2",-10.0551516632347,-1.17251056547947,-4.41548067571649,2.46394286771851e-05,0.0148568508032639,2.35608277341584
"SHISA3",-7.54832319441387,-3.90077633079408,-4.39866608800642,2.63044810904858e-05,0.0154076619096014,2.29944231330031
"CNR2",-7.54332917974347,-1.1343909859487,-4.34369124984798,3.25402326381861e-05,0.0185307585920959,2.11525094482852
"FAM129C",-7.62378762835417,-0.818738018713484,-4.3271628525525,3.46784659663423e-05,0.0192146819128644,2.06017295066749
"TCL1B",-7.17432591385892,-0.578840311231684,-4.27029518584403,4.31182980310825e-05,0.023262321787769,1.8717430566868
"TDGF3",-3.03983530678064,-1.99791920616624,-4.25552102774277,4.56155528322684e-05,0.0239785756054957,1.82306314665606
"REG4",-4.91004547782169,-2.68159659177688,-4.23188341255156,4.99027413158082e-05,0.0255764024928846,1.7454157786889
"RASGRP2",-5.43320464582584,-1.50135194601622,-4.17250534029337,6.24490656244005e-05,0.0312260559601423,1.55166279133615
"STAP1",-8.0173548167079,-1.66797874114616,-4.14839688200473,6.83639717438686e-05,0.0333697567790726,1.47353123536831
"FLJ43390",-4.09197380228375,-1.83113716764174,-4.12516131804479,7.45710977552838e-05,0.0355530715135133,1.39852393318676
"GCET2",-4.95045664985789,-1.04148281645118,-4.03901672180389,0.000102643871232408,0.0478250455485362,1.12299796502511
"LRMP",-6.31046358910365,-2.11467878881732,-3.98855732583149,0.000123523258871911,0.0562744517807342,0.96350648104757
"BEND4",-6.78031009180958,-2.82005897911882,-3.98223126641155,0.000126411003783834,0.0563380867080951,0.943611298970833
"ART4",-5.77165057022515,-2.36253845327045,-3.97006024577396,0.000132149413344081,0.0576424494248298,0.905397101458865
"IL17REL",-6.00173001938314,-1.62584173226421,-3.95103476798309,0.000141621146527527,0.0587606004111592,0.845828461183883
"CT47A2",-3.10207624390917,-0.0681835956976125,-3.9444545639707,0.000145045467998445,0.0587606004111592,0.82527343779222
"C14orf115",-4.66639768208455,-0.590997486142246,-3.94088579965242,0.000146935575449392,0.0587606004111592,0.814135696474944
"COX7B2",-6.10761097918545,-0.261200054454313,-3.93896723053642,0.000147961397039374,0.0587606004111592,0.808151023651029
"BANK1",-8.66405439666532,-3.813870272497,-3.93519630461007,0.000149997604323767,0.0587606004111592,0.796394297166843
"TSPAN6",2.5158670306745,-0.589882976038737,3.93169848685346,0.000151910239587895,0.0587606004111592,0.785496259044335
"CCR6",-5.2368250421869,-1.61585214833098,-3.90411392999026,0.000167831038511673,0.0634882571208245,0.699795823881581
"TCL1A",-9.45356675874073,0.0239368720977217,-3.8997248483087,0.00017050669323586,0.0634882571208245,0.686199742921524
"TEX101",-7.50403040965782,0.0982945521527462,-3.89501542467805,0.000173422876872649,0.0634882571208245,0.671623598006466
"DMRTC1B",-5.31969078933613,-3.52494095736556,-3.88959976378179,0.000176835193336569,0.0636017245367194,0.654877286204474
"VPREB3",-7.79418794138699,-1.21905098691328,-3.88317680719233,0.000180965219709483,0.0639649649873121,0.635038027531831
"TDGF1",-4.91225437445069,-3.16945388019328,-3.86924202196145,0.000190243938255821,0.066104931833603,0.592077750842432
"PAX5",-8.19198329051272,-1.59393319384802,-3.8616312655568,0.000195501429483887,0.0667995800974861,0.568661401790512
"HEATR7B2",-2.74794312166749,-0.301676388930226,-3.83652288878791,0.00021384574262082,0.0718696978601545,0.49164697325346
"CD37",-4.91224488999491,-0.535161844153325,-3.80982701097995,0.000235143295266292,0.0777527854234556,0.4101651764488
"CACNG3",-3.32495182953283,-0.758163166858924,-3.78943006886703,0.000252760530452281,0.0822514862667017,0.348189945356788
"TREML4",-4.54416047119384,-0.75132910535528,-3.74344876108343,0.000297192422694143,0.0951990915258222,0.209376645824778
"FCRL1",-8.92573616535958,-1.07665582353731,-3.72805509927917,0.000313658043683872,0.0989277469778931,0.163184680882351
"CXCR5",-8.02823667764961,-0.838732442287362,-3.70154299889674,0.000344065329523647,0.106423194248565,0.0839611026704814
"CR1",-6.23345223230648,-1.24736400767414,-3.69843717980469,0.000347805180949898,0.106423194248565,0.0747078349396002
"CD40LG",-5.57716738639548,-0.749396403464842,-3.68782867884449,0.000360872295655212,0.107023359690822,0.0431453010855023
"TREML2",-6.42405259482531,-1.0349817328823,-3.68455805951144,0.000364993927977782,0.107023359690822,0.0334281751204362
"TMSL3",-3.48968619072162,-1.82902825126219,-3.6842158170239,0.00036542779271048,0.107023359690822,0.032411733008086
"HSF5",-4.7843116594784,-0.865045229553803,-3.66266688673863,0.00039375226596687,0.113624481103049,-0.0314450806745485
"CST2",-11.2288664058162,1.60821315316335,-3.65879888118016,0.00039905188231889,0.113624481103049,-0.0428775670074941
"LGALS14",-2.42920968471544,-0.438489778526635,-3.64040343867579,0.000425194160488311,0.119409664166724,-0.0971238636390304
"TLR10",-6.80369765895341,-1.75462951560715,-3.60838107338328,0.000474612790139013,0.129669828432905,-0.19106265070599
"SSX8",-5.25678735572653,0.350362127804767,-3.60736066755806,0.000476273556024998,0.129669828432905,-0.194045735082174
"CLNK",-4.37551685090449,-1.28372205192356,-3.60465507040215,0.000480703719862483,0.129669828432905,-0.201952265255422
"BCHE",9.70102632808439,3.69369752368764,3.59070369880813,0.000504173367283398,0.133889643338981,-0.242650797504222
"HMSD",-5.1311819495992,-1.53000419180638,-3.58767538912877,0.000509408915684137,0.133889643338981,-0.251469077664301
"GPR142",-3.76781293031546,-0.720148675297277,-3.55913636920576,0.000561338595738447,0.141602607251155,-0.334295161103827
"C12orf74",-3.45811077885063,-1.90734899046674,-3.55544731781585,0.000568405180874853,0.141602607251155,-0.344964752029478
"PRSS1",-2.39925787788189,-2.63468095132336,-3.5459733086312,0.000586940134322433,0.141602607251155,-0.372327068226972
"SMAP2",-1.92782824442973,-0.043815794534186,-3.54532091165763,0.000588237266074247,0.141602607251155,-0.374209232630346
"HMGCLL1",-4.29899616677291,-3.69155447729858,-3.54400816513112,0.000590855548936217,0.141602607251155,-0.377995702292249
"CST5",-9.42711945416832,-0.198900086983152,-3.54015712286257,0.000598600116288908,0.141602607251155,-0.389097413017013
"MYT1L",-7.52389373901475,-0.861283298190882,-3.54006543946508,0.000598785657257102,0.141602607251155,-0.389361603637725
"TNFRSF13B",-7.6868605024267,-1.15901644579188,-3.53757544815434,0.000603845497203989,0.141602607251155,-0.396534645083262
"CD52",-5.73950374295048,-0.649874988801704,-3.53664025048586,0.000605756291219156,0.141602607251155,-0.399227717586406
"CD79B",-5.9721288334194,0.00910191568008347,-3.53113425229385,0.000617122366706214,0.141602607251155,-0.415072190438656
"CPA5",-5.98159003779836,-0.675282094879892,-3.53106839169066,0.000617259533690903,0.141602607251155,-0.41526160140427
"TIMD4",-6.62046139620915,-1.94060785830292,-3.52897250851974,0.000621639659168039,0.141602607251155,-0.421287816262904
"TREML1",-4.41456210335731,-0.49052496743152,-3.51396320110398,0.00065387506813031,0.147308711777357,-0.464363307368941
"NPY5R",-4.79314674883674,-2.18028730360817,-3.50911524501725,0.000664619541084312,0.148101795780103,-0.478246421589426
"LOC100240735",-5.32837153546141,-1.43491271541364,-3.45691664978901,0.000791352406990429,0.172026881141446,-0.62679099225108
"TMEM156",-6.70171016273688,-2.51652756169484,-3.45171944855342,0.000805146360524004,0.172026881141446,-0.641486698809352
"SPIB",-6.83406799282469,-0.292240870104271,-3.45108744206692,0.000806839126605427,0.172026881141446,-0.643272603359036
"RCSD1",-4.2886075661126,-1.11844159661317,-3.4508783274846,0.000807399956221152,0.172026881141446,-0.643863457087991
"PLSCR2",-2.34874965963786,-1.60899422133059,-3.44111228050637,0.000834004244829392,0.172026881141446,-0.671426491082524
"TNFAIP8",-3.62453084070435,-1.42793468554932,-3.44048998211632,0.000835727139695294,0.172026881141446,-0.673180768515227
"C12orf42",-4.41138509573292,-0.391971749191803,-3.44044650775686,0.000835847627835675,0.172026881141446,-0.673303314800193
"MAEL",-8.50476972889038,-2.14651153899075,-3.43881760924536,0.000840373877208963,0.172026881141446,-0.677894015386498
"MS4A1",-9.99686575624378,-1.66306863093411,-3.43626768382022,0.000847505731197798,0.172026881141446,-0.685077039982733
"PCDHB9",5.67268661920957,-0.948873099397761,3.42959637597666,0.000866434913676322,0.173591242906056,-0.703850211368418
"CD180",-4.58675771791954,-0.839889494502406,-3.42760994264845,0.00087214760349855,0.173591242906056,-0.709434583697171
"C14orf165",-1.35609904605315,-0.202520915416522,-3.41423977217747,0.000911529615945766,0.17466803401617,-0.746955977144816
"C7orf66",-1.35609904605315,-0.145094646254805,-3.41423977217747,0.000911529615945764,0.17466803401617,-0.746955977144816
"RBMY1A3P",-1.35609904605315,-0.107330665194484,-3.41423977217747,0.000911529615945764,0.17466803401617,-0.746955977144816
"ZPBP2",-3.66216641524275,-0.504744034264614,-3.41420390938802,0.000911637463525206,0.17466803401617,-0.747056467002263
"PTPRQ",-3.91772345239213,-2.57194917414875,-3.40684987002319,0.000934007923668418,0.175425879910724,-0.767645559089709
"HVCN1",-3.98628924051083,-0.443512661527659,-3.40600304424631,0.000936616774282095,0.175425879910724,-0.770014190743584
"IRX5",3.18868255631127,1.42877788094543,3.40450014539791,0.00094126368421929,0.175425879910724,-0.774216772976317
"DIO3OS",-3.5505234532526,-1.74139256956247,-3.39344743230552,0.000976109693521119,0.180281304746635,-0.805079130442242
"BLK",-7.97210723139488,-0.909708987617874,-3.38596124232724,0.00100039589701546,0.181190595711883,-0.825938124269609
"FCRL2",-7.7603501328917,-1.09605143575105,-3.38407321991379,0.00100660988009762,0.181190595711883,-0.831193080859859
"TSPY4",-5.60197583650862,0.128056470147907,-3.38076205565241,0.00101759540196452,0.181190595711883,-0.840403540266276
"MEP1A",-5.30770871676206,-1.74929256371365,-3.38018124774736,0.00101953392671264,0.181190595711883,-0.842018408941083
"CD19",-9.40475657265211,-1.62478780985165,-3.37441675192993,0.0010389625751268,0.181190595711883,-0.858034121477775
"OR13A1",-3.94153107875142,-1.87860385492337,-3.37343605621435,0.00104230230406075,0.181190595711883,-0.860756690345001
"PLAC8",-7.30429772541009,-2.97101535258349,-3.3732608940729,0.00104289987288436,0.181190595711883,-0.86124290323237
"PASD1",-10.702994238795,0.884467488123392,-3.36934948204873,0.00105632777950565,0.181981309307945,-0.872094990028193
"OR52N4",-4.97843464190109,-1.13298775290478,-3.35979836983542,0.00108980174162267,0.186183545875052,-0.898552679671448
"C17orf87",-5.29779216028446,-1.30391371505139,-3.3524376410021,0.00111627525738116,0.188182055916872,-0.918902455056295
"FOLR4",-2.67690886022428,-0.440135365231822,-3.35145407028876,0.00111985809579329,0.188182055916872,-0.921619015138055
"PLEKHG7",-4.42571733876318,-2.73638167493339,-3.34421003913165,0.00114657992417132,0.191105975816555,-0.941607231333006
"C17orf102",-1.99077097793112,-1.23981350137872,-3.3412015767861,0.00115785229300182,0.19142846660347,-0.949898365907743
"ARL11",-3.87370263816974,-1.2832288583465,-3.3295955933217,0.00120231934873967,0.197189991748095,-0.98182856757944
"P2RX5",-4.1579299699978,-0.650589628867966,-3.32217704677133,0.0012315757377873,0.199610682433362,-1.00219238525011
"NCR3",-6.12439383616386,-0.62220710353789,-3.32093162128557,0.00123655220082128,0.199610682433362,-1.00560754290078
"C5orf39",-3.17653444377506,-0.635211744332404,-3.30654145061377,0.0012954350132741,0.207482134430721,-1.04499420168703
"C1orf158",-1.96280575089959,-1.54554978180179,-3.30077051786494,0.00131977829517233,0.208923828721901,-1.06075148050315
"CXorf50B",-4.90526211050581,-2.6704647321059,-3.29898793137464,0.00132738383593483,0.208923828721901,-1.06561434233308
"RAB40AL",4.33108964153861,-0.0827904385485644,3.29721029281153,0.00133500910016921,0.208923828721901,-1.07046163103055
"BTLA",-6.22207708589324,-0.764985173972665,-3.28676400132982,0.0013806535992227,0.214430147255035,-1.09890480591111
"PIM2",-2.9307017512349,-0.208831680924492,-3.28350283527079,0.00139519946988271,0.21506003257192,-1.10776962455636
"GAPT",-5.06890598090943,-1.25625644070986,-3.26587087497776,0.0014763577578797,0.225871719360387,-1.15557722886793
"RGS13",-7.06854550767733,-1.39596719569562,-3.25789098144899,0.00151452063985101,0.229993982500633,-1.17714661878321
"CSF2RB",-4.0684605707635,-0.76710702586068,-3.25412194757998,0.00153286431107213,0.231068023833013,-1.18731955383497
"CD72",-4.77428561461493,-0.186613661420083,-3.24076789691717,0.00159954161586932,0.234841439912921,-1.22328751952763
"OR5B12",-1.95565074513099,-0.225447027248281,-3.23907231507461,0.001608198881622,0.234841439912921,-1.22784595929384
"SELL",-5.91824111538436,-0.964947061971094,-3.23736990200427,0.00161693502292828,0.234841439912921,-1.23242084394412
"SPINK2",-5.34831119308572,-1.54759965425255,-3.23670718259458,0.0016203478139049,0.234841439912921,-1.23420124545433
"GP1BA",-5.92424596045965,-0.183075451754732,-3.236379788711,0.00162203626723251,0.234841439912921,-1.23508068433829
"ARHGDIB",-3.39225054926187,-0.919542550703531,-3.23549120297236,0.00162662721172795,0.234841439912921,-1.23746722663137
"BCAS4",-3.39930775407662,-1.81790721937879,-3.22890181758059,0.00166105215417119,0.238134477011634,-1.25514846431048
"ARHGAP25",-3.99752750097253,-0.976388220871484,-3.22622757715744,0.00167521620167624,0.23849727326781,-1.26231599065035
"PLA2G2D",-9.51713371143809,-0.70574428224379,-3.21915559907942,0.00171321773031339,0.24222535647693,-1.28124743109342
"PKHD1L1",-5.54898951640562,-2.7828552682016,-3.20917911561147,0.00176819569037364,0.248286163344863,-1.30789743120656
"MADCAM1",-5.27841753697867,-0.84275435862373,-3.20567381576177,0.00178789999959997,0.249345155726524,-1.31724529936271
"RHOH",-5.77990632596331,-1.71147581317416,-3.19556788549455,0.00184586028342491,0.249669275354467,-1.34414961311257
"LOC285780",-3.24273867585679,-0.961440574965985,-3.19487239442727,0.00184991283609791,0.249669275354467,-1.34599865630701
"CLDN16",-4.34983749176868,-2.72285290979708,-3.19445482635307,0.00185234994297147,0.249669275354467,-1.34710865351164
"SIX2",4.51468878240036,-1.03592891004604,3.19258411826805,0.00186330497287337,0.249669275354467,-1.35208001524929
"EAF2",-4.14168773935152,-1.90110138702558,-3.19133687621841,0.00187064244363704,0.249669275354467,-1.35539322794519
"ICAM2",-3.21500517589016,-1.31253226645339,-3.19115439458025,0.00187171823013017,0.249669275354467,-1.35587789042289
"BCORL2",-5.54711401246665,-0.338480929177236,-3.19051828136535,0.00187547282593961,0.249669275354467,-1.35756720206664
"CD48",-5.29330294059117,-0.611626886603823,-3.18636261334419,0.00190017444260298,0.250655111795587,-1.36859663977505
"XKRY2",-1.34071106060926,-0.222789235818117,-3.18221033704403,0.00192515833985919,0.250655111795587,-1.37960550174147
"TNFRSF13C",-4.67628334169797,0.113739674614675,-3.18157258581968,0.0019290226319297,0.250655111795587,-1.38129533556363
"FAM159A",-5.32978912010842,-1.68007193135122,-3.1811175552667,0.00193178418924456,0.250655111795587,-1.38250085190446
"RPS4Y2",-3.35280317993735,-0.277492242604284,-3.17437347133273,0.00197314778116929,0.254411966426111,-1.40035169811588
"TMIGD2",-5.2797896622237,-1.8267649780623,-3.16575047393881,0.00202723688722963,0.256255772080197,-1.42313125124651
"NCR2",-1.9663258487577,-0.457317592481409,-3.16530578886296,0.00203006332270418,0.256255772080197,-1.42430462747172
"TRAF3IP3",-5.06475955220046,-0.769099913462776,-3.16431233894431,0.00203639098373752,0.256255772080197,-1.42692553048907
"GIMAP7",-4.18683352851384,-1.20270230422008,-3.16232491919258,0.00204910474708721,0.256255772080197,-1.43216671167323
"LTA",-5.35197585374081,-0.205032026117692,-3.1621937914577,0.00204994617926698,0.256255772080197,-1.43251242531385
"LY86",-3.82645738770107,-0.589369761357876,-3.15816903032243,0.00207592955896603,0.257931102353713,-1.44311792556738
"GPA33",-4.58508188583995,-2.53988859125681,-3.15338319209775,0.00210722511647944,0.25887160960549,-1.45571468497455
"EGOT",-3.59458615205142,-3.24090911212914,-3.15048313219558,0.00212640216666894,0.25887160960549,-1.46334037868425
"DNAJC5B",-6.11659139842251,-1.64050308085942,-3.15039078737574,0.00212701546815725,0.25887160960549,-1.46358310559206
"IRF8",-4.71194361509719,-1.17688773209746,-3.14753231398499,0.00214608138162055,0.25887160960549,-1.47109370725726
"C7",-9.01104177847923,-4.7866351558295,-3.14619445931154,0.00215505931903673,0.25887160960549,-1.47460700508942
"DNTT",-2.68278664019271,-0.787495421639669,-3.14556986502832,0.00215926273072234,0.25887160960549,-1.47624681786641
"RBP5",-5.96810199422679,-2.48006894461074,-3.14340041531651,0.0021739220567549,0.259113814450768,-1.48194045096917
"C14orf73",-6.25966293765227,-2.53185327009025,-3.13732276200597,0.00221548398178578,0.259193271986206,-1.49787404177797
"HMHB1",-2.87706767662351,-0.364573085932023,-3.13687004231701,0.00221860927214493,0.259193271986206,-1.49905992141166
"EVI2B",-4.12871831457622,-0.750965135284026,-3.13616857109798,0.0022234598812654,0.259193271986206,-1.50089712059821
"NAA11",-8.99395608001936,0.783614702114366,-3.13365339122584,0.00224093327693206,0.259193271986206,-1.50748180002321
"HLA-DOB",-5.84428699397559,-0.857149825763394,-3.13301738618729,0.00224537188783728,0.259193271986206,-1.50914616629088
"SSTR3",-4.54161240975127,-1.36600267734189,-3.13226206981924,0.00225065377334166,0.259193271986206,-1.51112240293222
"GIMAP4",-3.82909965354709,-1.01160112600659,-3.13049024492701,0.00226308939493346,0.259193271986206,-1.51575675012867
"LOC283663",-5.33593821848825,-0.800965650762038,-3.1243770170044,0.00230648721682806,0.261504751099544,-1.53173002123383
"MMP23A",-4.37216901304804,-1.04419070327347,-3.12405660865284,0.00230878298370896,0.261504751099544,-1.53256651728542
"ODF1",-1.9402627596871,-0.331882705239542,-3.12010283887619,0.00233728752274699,0.262156659918589,-1.54288295634888
"BTK",-4.01267142128268,-0.342383011636961,-3.11971328809684,0.00234011359275654,0.262156659918589,-1.54389882315208
"CD53",-4.55536336255654,-1.02048325759529,-3.1145314642003,0.00237800927432429,0.26328585691319,-1.5574021166602
"MFAP2",4.65567816826788,1.09056243948889,3.11204913137608,0.0023963642395728,0.26328585691319,-1.56386434457176
"AADACL4",-1.97103873057489,-0.459060837610959,-3.11171810560272,0.0023988218405617,0.26328585691319,-1.56472578306022
"LTB",-5.63182266822505,-0.527527904836697,-3.11134917740105,0.00240156359410598,0.26328585691319,-1.56568576827299
"IRX3",3.52732340814576,0.331951398585863,3.10709940526892,0.00243335700521597,0.265352404063472,-1.57673738212294
"DNASE1L3",-6.20737988373679,-1.02525809469494,-3.10156244736193,0.00247536639209419,0.268505219070492,-1.5911178789031
"LOC100240734",-3.32518031166214,-1.11113578766398,-3.09823148240913,0.00250096195677758,0.269853795136301,-1.59975893094655
"PCDH11X",-5.25522852456012,-2.03841914034531,-3.09314865056597,0.00254049276460338,0.271283294367193,-1.61293000306356
"CCR7",-5.66635866814065,-0.293208439715193,-3.09312530000529,0.00254067569964885,0.271283294367193,-1.61299047032006
"CLECL1",-5.45726013211887,-1.15949226784925,-3.0860156550757,0.00259694652330823,0.275854925773793,-1.63138385694201
"GHRL",-4.77154102224168,-1.55189755145412,-3.07007904602694,0.00272730490944975,0.288187525486377,-1.67248776469892
