"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ESM1",5.21545784969355,-0.405364416867879,19.530620329627,5.49746830970021e-62,1.12703597817164e-57,130.22999537608
"MTHFD1L",2.38580819547808,0.116298918666754,19.1268068090676,3.9615948360432e-60,4.06083278668608e-56,125.996591598865
"CLSPN",3.6050235166291,2.05609702728542,17.7610680581554,7.02835676503403e-54,4.80294473466542e-50,111.754246121321
"KIF14",3.88046735299941,1.48350080401434,17.51215292376,9.50951126765514e-53,4.87386226245495e-49,109.175617827211
"LOC541471",2.3642116654858,0.286483700437784,16.7164950494792,3.74411781986708e-49,1.5351631885019e-45,100.980782175804
"CST1",8.23709984330218,4.74295575727945,16.6643629910703,6.42175657840568e-49,2.19420719356491e-45,100.44671026658
"NFE2L3",2.91901094033242,1.54664686386389,16.5726158047448,1.65803937453945e-48,4.85592360249046e-45,99.507735983104
"KIF23",3.05123508876619,1.13486219524083,16.2743704839169,3.58860984265864e-47,9.1962612980431e-44,96.4640174992425
"ECT2",2.88738080656655,1.63083046165863,16.250938995121,4.5664798321468e-47,1.04019336709824e-43,96.2254710485286
"KIF18B",3.84559819992379,1.47534426874527,16.0793015896716,2.66077692558412e-46,5.45485877514001e-43,94.4808042615548
"ASPM",3.50644083371749,1.67723631447196,15.968019780313,8.32022724340212e-46,1.5506634428817e-42,93.3522560195247
"HELLS",2.87567085315158,1.31300637579332,15.9317304625353,1.20614057641683e-45,2.06059066309345e-42,92.984690460044
"ACAN",4.38161609859792,1.71241008855015,15.8989053196853,1.6872549434513e-45,2.6608010458227e-42,92.6524094603899
"CENPF",3.25120295757439,1.18137345597846,15.8474425062361,2.85477033939666e-45,4.1804033377122e-42,92.1318440160881
"GABRD",3.79951279796153,0.0375884367607521,15.8312740979266,3.36731657901321e-45,4.60222381242333e-42,91.9683912453429
"STIL",2.9392232312905,1.47861676712408,15.8179586102094,3.85769371586848e-45,4.94291117931373e-42,91.8338147165955
"E2F3",1.71938989939279,0.00194792910567305,15.8064377985712,4.33912745910514e-45,5.23273247288908e-42,91.717402122871
"RUNX1",2.10849850221683,1.00150419996525,15.7889050337399,5.18931062353959e-45,5.91033650517695e-42,91.54028713181
"INHBA",4.04675589957761,2.5427258137477,15.7827837555239,5.52375250542191e-45,5.96012895335024e-42,91.4784633492127
"FAM72A",3.6564616132507,0.994847158383729,15.7686630762466,6.37961364717638e-45,6.53942296903814e-42,91.3358728760801
"TPX2",3.34829462219293,1.31470811032273,15.7375826882811,8.7586516132392e-45,8.5505293677627e-42,91.0221507358559
"CEP55",3.23160102189868,1.6174407159723,15.7302191747174,9.44139448598922e-45,8.7980921980575e-42,90.9478499751069
"MKI67",3.30071719998802,2.09442187261048,15.7191575926824,1.056814049699e-44,9.41988905777354e-42,90.836252869606
"IQGAP3",3.35658386487698,1.93039095044863,15.6510817111213,2.11402527565692e-44,1.80581800734343e-41,90.1499509268565
"BUB1",3.44291523728355,1.40463172891408,15.473517540978,1.28446161717469e-43,1.05330990454794e-40,88.3639531127958
"BUB1B",3.30032510628833,1.17145134528903,15.4681131001054,1.35684491938796e-43,1.0698722189374e-40,88.3096884378518
"NUF2",3.25526350233151,1.10596880668562,15.4492272710464,1.64328014857208e-43,1.24773653058801e-40,88.1201051974631
"ARHGAP11A",2.64417781669452,1.42128617636038,15.4083101749115,2.48784773534866e-43,1.82154880079939e-40,87.7096036682489
"MTBP",2.52580019231206,0.651041068671181,15.3381903299862,5.0599606365367e-43,3.57704320722893e-40,87.006896914638
"RCC2",1.74561392842033,0.106850832085072,15.238502395669,1.38593116655336e-42,9.47099161517016e-40,86.0095799148046
"ANLN",2.68150976026972,1.45185974165634,15.2311826482292,1.49223739106976e-42,9.86850282397458e-40,85.9364303863617
"ZWILCH",1.87468666724046,0.679373832089211,15.1737789298831,2.66305025987898e-42,1.70609979305559e-39,85.3631539933606
"KIAA1524",2.25690438731286,0.842543186575695,15.1571837341876,3.14806281463147e-42,1.95571017462909e-39,85.1975499674399
"DTL",2.80374821908799,0.893196171193356,15.1526596227934,3.29494667683875e-42,1.98675593593739e-39,85.1524137239926
"COL10A1",6.90539030389585,1.99938991880222,15.0650140087551,7.96451609710705e-42,4.66515841447976e-39,84.2788434875878
"KIF20A",3.16235405985759,1.02963683448104,15.0139792172704,1.33053737874262e-41,7.57704077822288e-39,83.7709327009593
"HJURP",3.42894276894405,1.07562771761697,15.0095621222868,1.39092887139932e-41,7.70687372771821e-39,83.7269991615271
