"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"KLHDC8A",5.30030287093098,4.22629159734836,21.8312128620661,6.52967407562119e-77,1.3386484822431e-72,164.412482138398
"SLC6A15",-5.14496757085337,-2.95788477365324,-20.7320201822818,2.77633194998112e-71,2.23641448241166e-67,151.551941897261
"GABRB2",6.85849530687689,6.02618386788993,20.7180306597093,3.2726420405029e-71,2.23641448241166e-67,151.388732141184
"TSPAN19",-4.07394890636889,-0.367486086116971,-20.3932649080217,1.48343763136256e-69,7.60298872014098e-66,147.603906581737
"P4HA2",1.90016481858408,0.746229396423659,20.2600101252534,7.07670668432508e-69,2.90159127470697e-65,146.053362211232
"SERINC2",1.81143876310013,0.536094965032372,19.9607402956545,2.35125717369209e-67,8.03385388631027e-64,142.57669819451
"PIK3C2G",-2.24255805228597,-3.56392893862596,-19.887407856631,5.54067947392704e-67,1.6227067127854e-63,141.726044235788
"BBC3",2.16719209358173,0.410583636935726,19.8575180307126,7.8565061168586e-67,2.01332789877148e-63,141.3794722459
"HAPLN1",5.6021800334729,0.269299937223317,19.7387121544315,3.14548606915727e-66,7.16506776708813e-63,140.002795176652
"PMP2",-3.84847189805816,-2.29133589815354,-19.51412153347,4.31348435565292e-65,8.84307427752405e-62,137.404304457993
"METTL7B",3.9787391815275,3.0587429787378,19.5013817925205,5.00334704142247e-65,9.32487433601837e-62,137.257069001239
"PTP4A3",1.98094323016831,0.23104627080963,19.2773422376371,6.77726138602806e-64,1.15783863062468e-60,134.670786620599
"GRIA1",-3.8187178931219,-2.57001066427,-19.1538684999991,2.84261615321681e-63,4.48280567362291e-60,133.247924453471
"ETV4",3.68960800472631,1.6159681800069,19.1096699591231,4.74689844388418e-63,6.95115464271925e-60,132.73904716161
"SRCIN1",3.45605231114358,1.10201664836847,19.0178902214762,1.37561717116042e-62,1.88010184173065e-59,131.683121992329
"TFF2",-5.16657542569843,-0.975509433763435,-18.6733538106107,7.39400832024185e-61,9.47403528582989e-58,127.729007309706
"PLXND1",1.51075781341721,0.612571197276612,18.6229798478774,1.32216335596587e-60,1.59445123297978e-57,127.152236648069
