"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SEMG1",-6.25530723057159,-0.818569959411638,-11.4775199158528,3.88759207403274e-21,7.96995251097452e-17,35.9653771922221
"DEFB132",-4.58288682842692,-1.16511539149087,-10.7521354230552,2.20839418778781e-19,2.26371446219189e-15,32.2775736260599
"MRAP",-9.0963399166958,-0.736648881878998,-9.54704012563102,1.78375140333849e-16,1.21895625066141e-12,26.1311699214741
"GLP2R",-4.71939307962218,-1.19810759976867,-9.31839091806941,6.29746766243436e-16,3.22760961368917e-12,24.9687005831579
"MMP27",-4.53686346604968,-0.621401337960651,-8.71863700140515,1.68190545653827e-14,6.89614875289821e-11,21.9361543967419
"GPAM",-3.58952982604536,-0.437377718403316,-8.66829199066208,2.21171086318375e-14,7.55704740102167e-11,21.6830435758999
"GLYAT",-8.11412272132137,-1.65254164364112,-8.16379206805036,3.36978126664765e-13,9.86912653536334e-10,19.1633305825298
"KCNIP2",-5.22380985873689,0.331618818059724,-8.1019851530593,4.69116503412132e-13,1.20216967955652e-09,18.8570263513264
"KIAA1239",-7.23926917463324,-1.7907221486982,-7.64692977789465,5.23999980537428e-12,1.18817184048311e-08,16.6214735621356
"AADACL3",-2.4667494296561,-0.366636965164095,-7.62774577377304,5.79567748150389e-12,1.18817184048311e-08,16.5280632938421
"MYOC",-10.6463489311947,-1.61163776532148,-7.22598746781152,4.69017144907555e-11,8.7412004434089e-08,14.5897657661696
"UCP1",-4.90375180622845,-0.387641088261917,-7.04740924446239,1.17247434424865e-10,2.00307471095347e-07,13.7402559224555
"LHX8",-4.12678898562801,-1.11919126861189,-7.00468818767188,1.45791318647186e-10,2.29912909506613e-07,13.5382305749018
"SEMG2",-4.288540654392,-0.651446420909204,-6.88721781097435,2.64704549397501e-10,3.87621997657012e-07,12.985226946907
"PNPLA2",-2.39543572226102,-0.200737715706953,-6.62253751401679,9.99501525075185e-10,1.36605205103776e-06,11.7534818691133
"CAV3",-3.61055890532228,-0.892689232547477,-6.57049131608793,1.29453865997694e-09,1.65870856676171e-06,11.5137324008582
"TTPA",-3.87072487204645,-2.56071657817662,-6.51881789056172,1.67208501194957e-09,2.0164361664693e-06,11.2765368917695
"PLIN1",-9.65988370922523,-0.573266258391831,-6.47606102888274,2.06504507835939e-09,2.35197161952477e-06,11.0809126804325
"ITGA7",-3.51568403973596,-0.783665879269625,-6.42536942110809,2.6501038573895e-09,2.85946206212327e-06,10.8497511312197
"LGALS12",-8.58771703459552,-1.65936379930782,-6.20907120818438,7.60510884078052e-09,7.79561681724208e-06,9.87308984741255
