"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"MYBL2",6.60962540898697,1.77340829096307,19.1353471653477,1.04848924857852e-57,1.78282155505434e-53,120.396157849414
"AURKB",6.12222915190486,1.83821835421314,19.0836600193843,1.73925326086956e-57,1.78282155505434e-53,119.896432231887
"KIF20A",5.57179564035533,1.46101148989725,18.6673387430456,1.02383761116829e-55,6.99656495552041e-52,115.872205029175
"CCNB2",5.75240058326626,1.20982813900606,18.3247840712798,2.91985977139688e-54,1.49650112933519e-50,112.563200333951
"PKMYT1",5.5205365264179,1.38526636248549,18.1199888424266,2.16066155190193e-53,8.85914449510829e-50,110.586398974903
"PRAME",7.26620663420899,7.24775903335881,17.7742257701722,6.31725006816193e-52,2.1584990607898e-48,107.252286023974
"CDC25C",5.49591975718655,1.45239758052022,17.5204316970845,7.49863498312716e-51,2.19613593984414e-47,104.808381819627
"CDC45",5.42882076818487,1.1800953605645,17.4793034274106,1.11933044165865e-50,2.86842417305549e-47,104.41265029226
"C9orf140",5.35675530231242,1.61461598122217,17.2040028316433,1.63062065610031e-49,3.71437267452361e-46,101.766267291339
"HJURP",5.572299132575,1.21625358441455,17.1335419842505,3.23421178772675e-49,6.6304575860186e-46,101.089710479549
"CDC20",5.35817692121983,1.7906706487169,16.9838658420445,1.38370351021139e-48,2.57884596934943e-45,99.6536665722333
"SLITRK3",-7.60784035823717,-1.03674635183089,-16.8185403256996,6.87801994669954e-48,1.17505239106073e-44,98.0693844126101
"ASF1B",4.74447130974511,1.45511518479348,16.7054172892808,2.05793103908053e-47,3.24535724863e-44,96.9865859174728
"MKI67",5.3717782772433,0.888653623777919,16.5642348852785,8.06837206435557e-47,1.18149782636681e-43,95.6367130099115
"MELK",5.50324767725462,1.10245127048296,16.4147481849089,3.42120783092018e-46,4.67587878277964e-43,94.2093771384608
"C16orf59",3.88994268363711,1.46231723620339,16.2542190998955,1.61015146429505e-45,2.06310719809455e-42,92.678971060633
"RRM2",5.68261497795626,0.584365217303843,16.2134637871294,2.38488752651832e-45,2.87603406947953e-42,92.2908388765717
"TK1",4.4059150958492,1.18299723248087,16.1871328768574,3.07360807136812e-45,3.50066883728433e-42,92.0401679361879
"GTSE1",4.97061188096438,1.15186485913476,16.1760465565482,3.42002424797325e-45,3.5066553137929e-42,91.934647429898
"UHRF1",5.09520405209194,1.80120869127026,16.1760181476999,3.4209602592975e-45,3.5066553137929e-42,91.9343770486316
"IQGAP3",4.98635509734284,1.06935239475855,15.4737783631732,2.88008236925834e-42,2.81164612629358e-39,85.2790112618167
"UBE2C",5.56392203078136,1.64693907380974,15.4329054312894,4.25431580134563e-42,3.96444219288122e-39,84.8935430809411
"TROAP",5.02308184528726,1.73929726940575,15.0644129112461,1.41777861810816e-40,1.26373388912327e-37,81.4290004087394
"NCAPG",5.0536365979843,0.720859821411821,15.0158947126922,2.24620540990868e-40,1.91872737952241e-37,80.9743375877452
"TPX2",4.98134442040499,0.720562815024117,14.9205275858363,5.54352800766922e-40,4.54591470740907e-37,80.0817281169349
"CEP55",5.21928272357918,1.16059274742929,14.9100045537672,6.1240520896154e-40,4.82881507266175e-37,79.9833240293027
"CENPA",5.21013632216001,1.10273413823779,14.8826251480434,7.93486274686058e-40,6.02491189531069e-37,79.7273743907357
"DLGAP5",5.48344088427411,1.05361382713374,14.8264404343095,1.34968571815983e-39,9.8821096099981e-37,79.2025269398094
"FOXM1",4.94726029876561,0.831965027542158,14.7073761079694,4.15290870374604e-39,2.93582004605164e-36,78.0920214383603
"NCAPH",4.54303818410381,1.05722217752599,14.6951881872559,4.65864237105628e-39,3.18356090830083e-36,77.9784804868234
"ZWINT",4.06553576702736,0.963640679294345,14.6754599727934,5.61072189551963e-39,3.71049708322735e-36,77.7947491390867
"TBC1D7",2.34854572305503,0.619225566468305,14.6393876913415,7.88149126871879e-39,5.04932664062512e-36,77.4589769168943
"BIRC5",5.61822987489532,1.15713461114166,14.6268710555817,8.86741743318085e-39,5.50881590295881e-36,77.3425208629406
"BUB1B",4.81624417286147,1.07085639345758,14.5419742014584,1.97096608200996e-38,1.14000822867934e-35,76.5533583661104
"NEK2",4.8649440373261,1.32639661722792,14.5404784437895,1.99887530162838e-38,1.14000822867934e-35,76.5394659409014
"KIFC1",4.48314337057984,1.41787311680722,14.5403192920724,2.00186801777749e-38,1.14000822867934e-35,76.5379877815966
"KIF18B",4.58854289366028,1.24608802247355,14.5262655072452,2.28455934041207e-38,1.2658311091294e-35,76.4074778018469
"HN1",3.01998412234388,0.662910036829034,14.3096011024886,1.74270938096704e-37,9.40191711031719e-35,74.4000021658359
"E2F2",4.76266943626596,0.777572904065133,14.2086221480381,4.47889664910747e-37,2.30475821229918e-34,73.4674174287838
"SPC25",4.7078412789895,0.725573364298636,14.2081932729747,4.49686983522595e-37,2.30475821229918e-34,73.4634607962333
"PBK",5.65161332090752,0.920672973412222,14.1742901941216,6.1709551028392e-37,3.08562806251967e-34,73.1507985164108
"SKA3",4.33732057478445,1.13432420423016,14.1214112807265,1.01047235794788e-36,4.93230805006894e-34,72.6635901869089
"CKS2",3.59756754860609,0.850280690314229,14.1008444450687,1.22393783450106e-36,5.83533710351308e-34,72.4742450783134
"POC1A",3.31635724141303,1.13743576927511,14.0353933922456,2.25110286881344e-36,1.04886045258055e-33,71.8722495387291
"MTP18",2.87766531262024,0.936095886813711,14.0239658234401,2.50357789763655e-36,1.14057445509882e-33,71.7672322872401
"KIF4A",4.32781435566515,0.896157068085393,14.0072261863815,2.92526911884538e-36,1.30371613490107e-33,71.613446511049
"PLK1",4.39998336160363,1.27250497523589,13.9894534125876,3.45076570595829e-36,1.49587413897774e-33,71.4502326011919
"ECE2",3.04724148110411,0.77200832174091,13.9878564155019,3.50236372230289e-36,1.49587413897774e-33,71.4355699881859
"RAD54L",4.13652563402727,1.38508823877866,13.9849362491413,3.59871104957073e-36,1.50565663729081e-33,71.4087602414531
"EXO1",4.90044748092914,0.734603001864138,13.944715863716,5.22874148595312e-36,2.1438885840705e-33,71.0396814209588
"CDT1",3.97615332745736,1.03953560113375,13.9354134983742,5.70035966719887e-36,2.29143281445577e-33,70.9543671945087
"CDC6",4.08846103832607,0.735562308580328,13.8646728969986,1.09863406747505e-35,4.33136481102038e-33,70.3061854940761
"CDCA8",4.16566686303227,1.10693299080789,13.8475363844585,1.28768952358385e-35,4.98092885339481e-33,70.1493272907289
"EZH2",3.35125693830811,0.441555160582024,13.8326353062326,1.47826234595124e-35,5.61219562117527e-33,70.0129822345208
"PRSS8",5.64204434716968,3.14501261463314,13.6446720230355,8.39524644826111e-35,3.1292899533782e-32,68.297281530229
"ESPL1",4.64299672290665,1.15013773347354,13.5483242698886,2.03862591908895e-34,7.46319106557905e-32,67.4209004065989
"TACC3",3.60494835232463,1.10630256367421,13.511307339609,2.86500684787632e-34,1.03044746295285e-31,67.084760817273
"FAM64A",4.77490401337472,1.10523411715917,13.4575396122442,4.69400374322293e-34,1.65916846103126e-31,66.5970814867164
"BUB1",4.54924979558054,0.945136175133944,13.4413990971532,5.44316937597888e-34,1.89136297249056e-31,66.4508178928449
"FAM54A",4.48358334408866,0.968441858880338,13.399942699769,7.95981675836961e-34,2.71973672272226e-31,66.0754277893896
"CSRP1",-2.71759513119595,-0.0230181652178447,-13.2701167939066,2.60988031861897e-33,8.77133711672254e-31,64.9025235510343
"RCC2",1.97863391010048,1.05991875377694,13.2477672292143,3.20052546787854e-33,1.058289880919e-30,64.7010233803607
"SHCBP1",3.84047216337621,0.48577652238831,13.2206571235016,4.09847458850433e-33,1.33369567522107e-30,64.4567690401434
"TRAF4",2.42448992183818,0.945128963839573,13.2111410190312,4.46995337109107e-33,1.41262195115295e-30,64.3710750221157
"MCM10",5.05390890140428,0.828887976288167,13.2109234804939,4.47882673162002e-33,1.41262195115295e-30,64.3691163176187
"OIP5",4.23957711090283,0.990903242977665,13.2077838698614,4.60886404164518e-33,1.43161093511769e-30,64.3408487604951
"PAQR4",3.3785828212492,0.491848604981446,13.1964693793937,5.10950466276771e-33,1.5634321655433e-30,64.2389989361176
"FAM110A",2.58719805063278,0.616570876709583,13.1449287756578,8.1697699009841e-33,2.46306548147169e-30,63.7754522718983
"TOP2A",4.71756585115934,0.704068481691768,13.1258611761085,9.71726237329245e-33,2.8871535639836e-30,63.6041320796973
"KIAA0101",4.35395654064664,1.25332103606903,13.1034916968323,1.19089168574468e-32,3.4877814927788e-30,63.4032629325521
"SPAG5",3.63616239569432,0.728665525479473,13.0559702048228,1.83371386757121e-32,5.29478422522216e-30,62.9769644252175
"RAD51",3.75439480373702,0.667203791756827,13.0132837485687,2.70086140922875e-32,7.69032774313869e-30,62.594537201433
"FAM83H",3.77777667359409,0.774650031858582,13.0055473905686,2.89707022838675e-32,8.13600503454203e-30,62.5252781107478
"NEIL3",4.90729874394437,0.620625737959945,12.9865955998966,3.43985642906765e-32,9.52979684490755e-30,62.355680023295
"PTTG1",4.29993763434094,0.858382559833475,12.8447829271976,1.23967971162873e-31,3.38862316908008e-29,61.0896315751256
"DPP3",1.93894165043052,0.479721499385261,12.8325923426588,1.38376297920684e-31,3.73270063641045e-29,60.981050798766
"CENPM",3.75214106493796,1.80947915286634,12.7979333745891,1.89116776474487e-31,5.03517277208241e-29,60.6725665143548
"C6orf129",2.04347348248379,0.856775307465859,12.7912474133749,2.00856134500742e-31,5.27916873512782e-29,60.6130954701776
"SLC25A10",2.77733167000925,1.54631144083133,12.7872864550335,2.08150572271822e-31,5.40163909132232e-29,60.5778688702628
"KIF2C",4.07661635818936,1.04525364136413,12.7710964184864,2.40814349083746e-31,6.17116871320735e-29,60.4339283329205
"CDCA3",3.5878305257966,1.191787821518,12.7545157390809,2.79564608619271e-31,7.07574573000454e-29,60.286589531246
"CBX7",-3.66255467353729,-1.42982263863299,-12.7241970437039,3.67186904127384e-31,9.18012039209207e-29,60.0173690123654
"KIF14",4.67174633055929,0.807285606014631,12.6824044099052,5.34466352409062e-31,1.32013189045038e-28,59.6466830285428
"EME1",3.7413726734876,1.16251969855372,12.6253762085902,8.91343405561639e-31,2.17540847112133e-28,59.1416546384914
"NUSAP1",3.97405327978167,0.582327133518413,12.6220145371008,9.18599767558084e-31,2.21555456878921e-28,59.1119131909792
"SFN",6.72768306274184,2.19892392775273,12.6183363392061,9.49374831484154e-31,2.26315504886705e-28,59.0793750455073
"UBE2T",3.50227738628476,0.936261833883681,12.5881198638544,1.24435101215735e-30,2.93223449428022e-28,58.8122194443815
"ASPM",4.91785649600823,0.443526843078876,12.5826486805477,1.30679378218698e-30,3.04438401461537e-28,58.7638744918275
"CENPF",4.21356699337356,1.08100644662084,12.5318916774845,2.05731319653954e-30,4.73898627441092e-28,58.3157813492722
"TNS1",-3.56972253789938,-1.01525164342238,-12.4946121073979,2.86981878897645e-30,6.53712833253402e-28,57.9871447250647
"NUDT5",1.91996552504273,0.350502427311139,12.440549621122,4.6470077055114e-30,1.04690445022735e-27,57.5112807481554
"SGOL1",4.46046102258536,1.04791404853683,12.3967937635239,6.85984322440633e-30,1.52862658634298e-27,57.1267683451448
"NME1",2.21918121360221,0.656903348869308,12.3434153279529,1.10234507397066e-29,2.43001896359919e-27,56.6584687920145
"PAFAH1B3",2.60422580643174,1.56404032573591,12.3034047159764,1.57212666409906e-29,3.42874135539306e-27,56.3080100920383
"ZFPM2",-6.00188814662552,-1.68127375330528,-12.2176590564376,3.35873237856214e-29,7.2481444729371e-27,55.558594099274
"CCNB1",3.32052989742891,1.15233883379556,12.2075255773413,3.67344561151331e-29,7.84471963350358e-27,55.4701769819888
"HAPLN1",6.06690940617622,2.39802712769832,12.2030085264488,3.82303497152341e-29,8.08000411868055e-27,55.4307748354145
"EPCAM",4.77457308823081,3.12389624010106,12.1805596510592,4.66141339683382e-29,9.75139143351941e-27,55.2350476586838
"HIST1H2AM",4.27246471979832,1.71624293220933,12.1228746496644,7.75307778638343e-29,1.60551361311764e-26,54.7328251484574
"PPP1R12B",-4.14377000891999,-0.656451793058859,-12.1076148730156,8.8684900662431e-29,1.8181291484805e-26,54.6001438587484
"SMPDL3B",4.01679836716833,3.34286383933256,12.0604177664338,1.34337881699009e-28,2.72679298288256e-26,54.1902392422765
"STAT5B",-1.82858904172308,-0.388098242615871,-12.0139561237211,2.02040050703728e-28,4.06080694066385e-26,53.7874158487063
"PPP1CA",1.59823855083791,0.531818638215555,11.9885474729504,2.52486491826761e-28,5.02546171741789e-26,53.5674157465617
"FAM111B",4.71869104054916,0.00437105852436373,11.9666273909805,3.05967890516148e-28,6.03139204179958e-26,53.3777890432212
"ASPA",-4.96463000443937,-3.00286187872774,-11.8800872824997,6.52267737240873e-28,1.27353722677858e-25,52.630676792526
"SEL1L2",-4.53422749529955,1.27318769649162,-11.8785559193507,6.61049083773964e-28,1.27850634589151e-25,52.6174784833892
"DEPDC1B",4.64892478617639,0.628198123553854,11.8662434658213,7.36067182675641e-28,1.41029096374143e-25,52.5113897242222
"STXBP2",2.46208475906365,0.733913597387367,11.8534061646139,8.23319007322226e-28,1.56285768232527e-25,52.400832144107
"NUF2",4.70142353584721,0.590451179066587,11.835652161323,9.6119873539803e-28,1.80784727288028e-25,52.2480210650408
"TMEM132A",3.30579862049038,2.14776693510073,11.8296042816526,1.01323410209451e-27,1.88839202973087e-25,52.1959901170711
"SYNM",-3.98743513407074,-2.37202699403863,-11.8051448017105,1.25388282685759e-27,2.31584250751418e-25,51.9856855971766
"CDCA2",4.28717564059404,0.824099455384632,11.7772384289383,1.5986023623196e-27,2.92615598481376e-25,51.7459893303695
"HMGB3",2.55005590963478,0.92471128982066,11.7318656600244,2.37139259892249e-27,4.30229377615132e-25,51.3568296120518
"KPNA2",2.87249146938937,0.664756003658416,11.7066499261046,2.95156208302978e-27,5.30789247931522e-25,51.1408577130766
"MAS1",-2.34093198530008,0.876492630323259,-11.6963137922371,3.22839026381064e-27,5.75523728681582e-25,51.0523917582562
"TCF23",-6.70855915852741,2.26937557972547,-11.6754198230155,3.86937819999915e-27,6.83845883432609e-25,50.8736740237533
"TMPRSS4",6.49299276811539,4.80155867809181,11.6597878769868,4.43042334417046e-27,7.76308623750758e-25,50.7400633249515
"DIXDC1",-3.13960556921973,-0.876069269662319,-11.6527742566427,4.70779106942333e-27,8.17918853510573e-25,50.6801432552546
"CDKN3",3.79950525700122,0.78725286539358,11.6435437239722,5.09933809598514e-27,8.78500254670516e-25,50.6013091114201
"KLHL4",-5.59932686377753,-2.02877954684852,-11.5765125335018,9.10112395871838e-27,1.55485118564738e-24,50.0297099808133
"DIAPH3",4.35199296498492,0.772070615691599,11.5712414080935,9.52467057569683e-27,1.61376257415174e-24,49.9848276170188
"PYCR1",3.3074812474413,1.10433532601231,11.5164084491376,1.52792277827119e-26,2.56753646535555e-24,49.5185171273385
"CKAP2L",4.44520026557156,0.124161221855014,11.4999814206685,1.75995765416793e-26,2.93340584293469e-24,49.3790249954671
"LMNB1",3.23593034375251,1.11378094812337,11.494474506547,1.84534123043119e-26,3.05091456169917e-24,49.3322837783059
"KIF4B",3.34632141769243,2.86555913133828,11.4139677741534,3.68405899125578e-26,6.04215147037877e-24,48.6501999497329
"POLQ",3.93645835918972,0.93543601586402,11.4013161883091,4.10600511920767e-26,6.6807310276886e-24,48.5432224938387
"TTK",4.22302808774737,0.965686088328198,11.3821644618689,4.83793895194828e-26,7.80965247668438e-24,48.3813922008322
"CDCA5",3.67700015704027,0.787398077553471,11.3656412217028,5.57285507838808e-26,8.9257110907839e-24,48.2418792518779
"SLC25A39",1.56179550345188,0.784075019594906,11.3492805534635,6.40986190009224e-26,1.01867115359528e-23,48.1038368280687
"TACC1",-3.34767937396046,-1.44674294063207,-11.3005655017659,9.71737109874646e-26,1.53242942227232e-23,47.693385200113
"FANCA",3.21134080820257,0.835070844997973,11.2450700291099,1.55934084264478e-25,2.44030890191303e-23,47.2268695991018
"MYLK",-4.2019662725145,-0.435847214273397,-11.2026249874657,2.23717668092107e-25,3.47457266178506e-23,46.8708330088223
"PRC1",2.92667645005153,0.641596465718163,11.1823404344612,2.65774472588419e-25,4.09672365604148e-23,46.7009206032689
"RERG",-5.64947221335036,-1.12871565280511,-11.1744823847947,2.84103928152804e-25,4.34657808288107e-23,46.6351396430235
"DEPDC1",4.21636827886728,0.640829987630211,11.1585909914625,3.25102787658249e-25,4.9369868516902e-23,46.502181398541
"SKA1",3.28815005434515,1.32948405597732,11.1455779173112,3.63019479515163e-25,5.4722517276032e-23,46.3933761410519
"E2F8",4.1184127694726,1.05155367982213,11.1441258505773,3.67514249320979e-25,5.4995690695835e-23,46.3812390546993
"GLRA4",-3.60212649429253,0.724200746431482,-11.1240305251576,4.35711083472396e-25,6.47283545091855e-23,46.2133545167843
"ORC1L",3.49651190492727,0.699912120596994,11.0999123435173,5.34360856969945e-25,7.88124599189988e-23,46.0120640174745
"RPS6KA1",2.14497824620182,0.679394620581863,11.0726025894959,6.73107701074256e-25,9.85670069980237e-23,45.7844046314186
"SYNE1",-3.74904333568311,-1.34827072864938,-11.0693666359105,6.91759455789087e-25,1.00579862433561e-22,45.7574480189062
"EZH1",-1.83468110241174,-0.407093188877317,-11.0670844366234,7.05222117290865e-25,1.01815201595634e-22,45.7384389249845
"KIF15",3.81326493462654,1.04501043228917,11.0641372551061,7.22993749019883e-25,1.03651012927669e-22,45.7138939603761
"NUP210",2.88711928159167,0.9989416109298,11.0439304151054,8.5743905473134e-25,1.22071930979495e-22,45.5456955744349
"KIAA1543",3.59777937083107,1.18172211077113,11.0337505506277,9.34312572370209e-25,1.32098910663184e-22,45.4610196345419
"GMIP",1.76837255870085,0.508472060474089,11.0183073714426,1.06421116531771e-24,1.4943419931629e-22,45.3326399320513
"CDK5",1.65499928942638,0.279851417445728,11.0149664856479,1.094594264038e-24,1.52654945626143e-22,45.3048791655953
"KRT8",3.75086374230477,2.30853589688897,11.0123211213129,1.11926280687332e-24,1.55040586511554e-22,45.2829008337478
"C1orf172",3.40275985072006,2.3630955682177,10.9905076313347,1.34492823005776e-24,1.85049487546403e-22,45.1017725236737
"BNC2",-5.32001358291795,-0.769121609196622,-10.9870775655276,1.38431476593132e-24,1.89198913442387e-22,45.0733077944172
